Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,26,1990,24.3,34.8,45.9,75.7,624.8,292.6,14.9,16.9,88.3,15.5,19.4,80.0,3.62,7.53,48.1,0.04,0.06,-0.02,0.70,2.39,1.15,0.29,4.16,Matches
2,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,21,1995,1.5,18.0,27.3,65.9,272.0,58.7,11.3,14.7,77.3,5.33,7.33,72.7,0.67,2.67,25.0,0.00,0.00,0.00,0.00,0.00,0.67,0.67,0.67,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,19,1997,19.2,10.8,16.1,67.3,161.1,35.6,6.41,8.28,77.4,3.28,4.95,66.3,0.68,1.46,46.4,0.05,0.04,0.02,0.52,0.99,0.36,0.16,0.99,Matches
4,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,31,1985,4.6,36.7,61.1,60.1,952.6,340.2,6.74,9.78,68.9,17.6,21.1,83.5,12.4,28.3,43.8,0.00,0.28,-0.28,1.52,6.09,1.52,0.87,5.87,Matches
5,Adrián\Adrian,es ESP,GK,West Ham,30,1987,19.0,9.84,22.6,43.5,466.8,356.3,0.47,0.47,100.0,2.16,2.32,93.2,7.21,19.8,36.3,0.00,0.00,0.00,0.00,0.74,0.00,0.00,0.00,Matches
6,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,31,1986,1.8,38.9,45.0,86.4,763.3,122.2,15.6,18.3,84.8,16.7,18.9,88.2,6.67,7.78,85.7,0.00,0.00,0.00,0.00,3.89,0.00,0.00,2.22,Matches
7,Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,24,1993,6.8,15.6,21.3,73.1,186.8,21.0,11.0,14.7,75.0,3.38,4.26,79.3,0.44,0.59,75.0,0.00,0.01,-0.01,0.29,1.03,0.44,0.00,0.88,Matches
8,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,29,1988,21.8,24.3,29.7,81.9,310.6,52.7,16.1,18.2,88.9,6.56,8.21,79.9,0.50,0.73,68.8,0.28,0.27,0.00,1.70,0.92,1.24,0.05,1.97,Matches
9,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,22,1995,37.3,35.5,43.3,82.0,746.8,269.0,10.5,12.0,87.2,18.7,21.9,85.5,6.06,8.58,70.6,0.08,0.05,0.03,0.19,2.12,0.08,0.00,1.96,Matches
10,Marc Albrighton\Marc-Albrighton,eng ENG,MFFW,Leicester City,27,1989,28.2,26.5,44.7,59.3,557.8,243.8,10.2,12.8,79.5,10.2,14.6,69.9,5.53,14.6,38.0,0.25,0.17,0.08,1.49,3.72,1.35,0.57,3.65,Matches
11,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,28,1989,13.1,59.7,70.5,84.7,1480.7,490.2,12.9,14.0,92.3,30.7,33.0,93.1,15.8,22.7,69.5,0.00,0.02,-0.02,0.23,8.55,0.61,0.15,5.27,Matches
12,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,17.5,52.4,71.8,73.0,1034.7,371.0,20.5,23.1,88.9,23.3,29.4,79.4,7.89,16.2,48.6,0.06,0.12,-0.06,1.43,3.77,1.66,0.46,5.89,Matches
13,Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,27,1990,34.9,30.9,39.1,79.1,547.7,156.8,13.7,16.1,85.1,13.3,16.0,83.3,3.32,5.30,62.7,0.17,0.07,0.10,0.92,3.04,0.80,0.11,3.41,Matches
14,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,21,1996,32.9,29.5,38.2,77.4,475.3,128.8,14.9,17.7,84.0,10.9,13.1,83.1,2.46,4.19,58.7,0.30,0.24,0.06,1.82,2.64,1.64,0.06,4.10,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DFMF,Chelsea,26,1990,31.7,40.3,51.9,77.6,722.8,228.9,17.8,20.6,86.1,17.3,20.8,83.3,4.48,7.82,57.3,0.06,0.07,-0.01,0.98,1.67,0.95,0.41,3.72,Matches
16,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,22,1994,5.4,41.7,53.9,77.3,805.2,341.5,16.3,18.1,89.8,18.9,23.1,81.6,5.93,11.3,52.5,0.00,0.00,0.00,0.00,3.70,0.00,0.00,4.63,Matches
17,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,Chelsea,16,2000,0.1,190.0,190.0,100.0,4320.0,940.0,60.0,60.0,100.0,100.0,100.0,100.0,30.0,30.0,100.0,0.00,0.00,0.00,0.00,10.0,0.00,0.00,20.0,Matches
18,Nordin Amrabat\Nordin-Amrabat,ma MAR,FW,Watford,30,1987,2.2,20.5,35.5,57.7,326.4,99.5,12.7,16.4,77.8,5.91,11.8,50.0,1.82,5.00,36.4,0.00,0.05,-0.05,0.91,2.27,1.36,0.91,3.18,Matches
19,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,27,1990,15.0,19.1,32.1,59.5,337.1,105.7,10.5,14.0,74.8,5.40,9.13,59.1,2.67,7.07,37.7,0.07,0.04,0.03,0.80,1.73,0.87,0.47,1.73,Matches
