Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Arsenal,30,26.8,61.5,38,418,3420,38.0,1.92,1.61,1.82,0.11,0.13,,,1.92,1.61,3.53,1.82,3.42,1.66,1.56,1.21,2.77,1.66,1.21,2.87,1.56,2.77
Bournemouth,22,26.9,47.8,38,418,3420,38.0,1.18,0.95,1.11,0.08,0.08,,,1.18,0.95,2.13,1.11,2.05,1.12,1.07,0.78,1.85,1.12,0.78,1.91,1.07,1.85
Brighton,24,27.5,43.7,38,418,3420,38.0,0.87,0.66,0.74,0.13,0.18,,,0.87,0.66,1.53,0.74,1.39,0.96,0.82,0.59,1.41,0.96,0.60,1.55,0.82,1.41
Burnley,24,27.5,43.9,38,418,3420,38.0,0.92,0.68,0.92,0.00,0.00,,,0.92,0.68,1.61,0.92,1.61,0.91,0.91,0.61,1.52,0.91,0.61,1.52,0.91,1.52
Chelsea,26,26.7,55.4,38,418,3420,38.0,1.58,1.11,1.50,0.08,0.08,,,1.58,1.11,2.68,1.50,2.61,1.47,1.41,1.05,2.46,1.47,1.05,2.52,1.41,2.46
Crystal Palace,28,27.1,45.3,38,418,3420,38.0,1.16,0.68,0.95,0.21,0.26,,,1.16,0.68,1.84,0.95,1.63,1.39,1.20,0.80,2.00,1.40,0.80,2.19,1.20,2.00
Everton,30,26.7,45.9,38,418,3420,38.0,1.11,0.68,0.97,0.13,0.21,,,1.11,0.68,1.79,0.97,1.66,1.04,0.88,0.60,1.48,1.04,0.60,1.64,0.88,1.48
Huddersfield,25,26.4,45.7,38,418,3420,38.0,0.66,0.50,0.61,0.05,0.05,,,0.66,0.50,1.16,0.61,1.11,0.86,0.82,0.59,1.41,0.86,0.60,1.45,0.82,1.41
Leicester City,27,27.2,47.9,38,418,3420,38.0,1.39,1.00,1.26,0.13,0.16,,,1.39,1.00,2.39,1.26,2.26,1.20,1.08,0.78,1.87,1.20,0.78,1.99,1.08,1.87
Liverpool,27,25.6,60.5,38,418,3420,38.0,2.16,1.53,2.11,0.05,0.08,,,2.16,1.53,3.68,2.11,3.63,1.85,1.79,1.30,3.09,1.85,1.30,3.16,1.79,3.10
Manchester City,25,26.4,71.1,38,418,3420,38.0,2.71,2.24,2.55,0.16,0.21,,,2.71,2.24,4.95,2.55,4.79,2.11,1.95,1.49,3.44,2.11,1.49,3.60,1.95,3.44
Manchester Utd,27,26.7,54.8,38,418,3420,38.0,1.76,1.39,1.74,0.03,0.08,,,1.76,1.39,3.16,1.74,3.13,1.50,1.43,1.11,2.54,1.50,1.11,2.61,1.44,2.54
Newcastle Utd,27,25.6,41.7,38,418,3420,38.0,1.00,0.76,1.00,0.00,0.03,,,1.00,0.76,1.76,1.00,1.76,1.12,1.09,0.72,1.82,1.11,0.72,1.84,1.09,1.82
Southampton,26,26.2,51.5,38,418,3420,38.0,0.95,0.61,0.87,0.08,0.08,,,0.95,0.61,1.55,0.87,1.47,1.06,1.00,0.77,1.77,1.06,0.77,1.83,1.00,1.77
Stoke City,30,27.5,41.3,38,418,3420,38.0,0.89,0.74,0.89,0.00,0.08,,,0.89,0.74,1.63,0.89,1.63,0.98,0.92,0.69,1.61,0.98,0.69,1.67,0.92,1.61
Swansea City,26,27.2,45.2,38,418,3420,38.0,0.71,0.53,0.68,0.03,0.03,,,0.71,0.53,1.24,0.68,1.21,0.80,0.78,0.48,1.26,0.80,0.48,1.27,0.78,1.26
Tottenham,25,25.8,61.9,38,418,3420,38.0,1.84,1.34,1.79,0.05,0.08,,,1.84,1.34,3.18,1.79,3.13,1.76,1.70,1.25,2.95,1.76,1.25,3.01,1.70,2.95
Watford,29,27.9,49.6,38,418,3420,38.0,1.11,0.71,1.03,0.08,0.16,,,1.11,0.71,1.82,1.03,1.74,1.18,1.06,0.73,1.78,1.18,0.73,1.91,1.06,1.78
West Brom,24,29.1,40.6,38,418,3420,38.0,0.82,0.63,0.79,0.03,0.03,,,0.82,0.63,1.45,0.79,1.42,0.91,0.89,0.60,1.48,0.91,0.60,1.51,0.89,1.49
West Ham,27,28.0,45.0,38,418,3420,38.0,1.26,0.76,1.21,0.05,0.11,,,1.26,0.76,2.03,1.21,1.97,0.98,0.90,0.63,1.53,0.98,0.63,1.61,0.90,1.53
