Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG
Arsenal,30,38.0,25.3,25.29,19.7,1.24,1.47,1.29,1.37,0.24,3.26,3.26,2.42,0.18,0.13,0.29,0.18,0.05,0.00
Bournemouth,22,38.0,18.6,18.55,13.4,1.87,1.18,0.74,0.97,0.34,1.89,1.89,1.24,0.18,0.13,0.13,0.18,0.03,0.00
Brighton,24,38.0,15.2,15.18,10.9,1.82,0.76,0.76,0.74,0.21,1.61,1.61,1.16,0.08,0.11,0.08,0.18,0.00,0.00
Burnley,24,38.0,14.8,14.82,9.61,2.18,0.71,1.08,1.08,0.16,1.50,1.50,1.00,0.11,0.05,0.29,0.03,0.03,0.00
Chelsea,26,38.0,26.6,26.63,20.0,1.92,1.50,1.39,1.24,0.55,2.61,2.61,1.95,0.13,0.13,0.13,0.21,0.05,0.00
Crystal Palace,28,38.0,18.8,18.79,12.7,1.92,1.26,1.21,1.29,0.45,2.00,2.00,1.26,0.08,0.16,0.24,0.24,0.03,0.00
Everton,30,38.0,14.6,14.63,10.3,1.53,0.76,0.82,0.87,0.37,1.84,1.84,1.08,0.08,0.16,0.26,0.16,0.11,0.00
Huddersfield,25,38.0,13.7,13.66,9.92,1.03,0.71,0.63,0.87,0.50,1.18,1.18,0.84,0.08,0.08,0.08,0.08,0.03,0.00
Leicester City,27,38.0,15.9,15.92,11.3,1.55,1.00,0.92,0.89,0.21,2.39,2.39,1.82,0.16,0.08,0.11,0.21,0.03,0.00
Liverpool,27,38.0,27.2,27.21,20.6,1.66,1.82,1.42,1.21,0.50,3.47,3.47,2.53,0.13,0.42,0.18,0.13,0.08,0.00
Manchester City,25,38.0,29.1,29.05,22.7,1.79,1.39,1.18,1.50,0.47,4.95,4.95,3.92,0.18,0.26,0.18,0.29,0.08,0.03
Manchester Utd,27,38.0,21.9,21.89,16.8,1.24,1.37,1.05,1.08,0.32,3.03,3.03,2.16,0.16,0.21,0.29,0.21,0.00,0.00
Newcastle Utd,27,38.0,17.8,17.76,12.8,1.42,1.03,1.03,0.84,0.66,1.53,1.53,1.00,0.16,0.11,0.24,0.03,0.00,0.00
Southampton,26,38.0,18.3,18.29,13.7,1.61,1.24,0.68,0.74,0.29,1.71,1.71,1.18,0.13,0.11,0.13,0.16,0.00,0.00
Stoke City,30,38.0,15.8,15.76,11.1,1.50,0.76,1.03,0.87,0.47,1.63,1.63,1.00,0.21,0.08,0.16,0.13,0.05,0.00
Swansea City,26,38.0,12.2,12.24,8.45,1.24,0.89,0.74,0.71,0.21,0.87,0.87,0.50,0.13,0.03,0.16,0.03,0.03,0.00
Tottenham,25,38.0,25.9,25.89,19.4,1.79,1.26,1.42,1.39,0.55,2.97,2.97,2.05,0.24,0.16,0.29,0.18,0.03,0.03
Watford,29,38.0,17.6,17.58,12.4,1.58,1.21,1.16,0.84,0.42,1.66,1.66,1.00,0.16,0.13,0.21,0.13,0.03,0.00
West Brom,24,38.0,15.4,15.39,10.7,1.71,0.74,0.82,0.97,0.42,1.24,1.24,0.84,0.13,0.05,0.13,0.08,0.00,0.00
West Ham,27,38.0,15.1,15.08,10.7,1.55,0.95,0.47,1.24,0.18,1.87,1.87,1.24,0.08,0.13,0.24,0.16,0.03,0.00
