Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Arsenal,30,61.5,38.0,752.5,55.6,212.6,346.7,243.6,33.1,720.1,8.74,13.7,63.7,9.82,0.24,525.5,2829.1,1428.2,65.2,19.5,5.32,12.6,9.58,590.6,529.8,89.7,54.1
Bournemouth,22,47.8,38.0,578.8,62.3,210.9,243.7,163.9,23.3,538.0,8.84,15.1,58.4,9.79,0.58,355.2,2073.2,1117.8,43.3,13.2,4.16,13.4,12.2,397.6,341.8,86.0,40.0
Brighton,24,43.7,38.0,531.0,67.0,207.6,226.8,129.8,17.6,492.8,6.76,11.1,61.2,7.29,0.26,313.3,1820.0,907.3,31.8,9.97,3.00,11.7,8.00,359.9,306.1,85.1,34.9
Burnley,24,43.9,38.0,506.9,62.8,177.1,221.4,134.9,17.0,465.5,5.79,9.71,59.6,6.61,0.29,275.0,1502.4,709.2,26.7,8.92,1.92,10.8,8.55,326.2,270.8,83.0,34.8
Chelsea,26,55.4,38.0,700.7,59.8,225.6,315.4,208.9,28.9,666.8,10.0,16.3,61.7,11.0,0.39,469.4,2659.8,1466.1,61.2,17.6,5.61,11.9,10.6,539.4,481.5,89.3,51.4
Crystal Palace,28,45.3,38.0,536.1,56.2,181.0,234.0,157.0,23.9,495.1,9.79,16.3,60.0,10.9,0.32,321.1,1833.9,948.1,39.5,12.6,4.79,13.5,11.9,358.7,301.1,83.9,38.4
Everton,30,45.9,38.0,548.3,63.3,195.0,241.3,145.0,17.4,507.5,6.74,11.7,57.4,7.29,0.39,309.5,1699.6,812.6,29.8,9.18,2.63,13.8,9.97,373.1,309.7,83.0,35.1
Huddersfield,25,45.7,38.0,553.1,58.8,196.3,240.8,151.7,15.6,511.3,6.45,12.2,52.9,7.21,0.42,316.9,1839.3,882.4,33.6,11.8,3.03,13.2,11.2,368.8,307.9,83.5,33.8
Leicester City,27,47.9,38.0,548.6,57.4,188.0,247.5,151.4,19.8,507.4,8.92,15.8,56.5,10.2,0.45,322.3,1919.9,967.6,34.8,11.1,3.05,12.3,9.87,378.5,312.6,82.6,36.2
Liverpool,27,60.5,38.0,748.8,48.4,206.7,375.2,221.2,32.2,713.3,10.4,16.7,62.3,11.5,0.42,518.7,2901.9,1572.8,65.8,19.7,5.32,14.1,10.1,596.5,520.6,87.3,56.4
Manchester City,25,71.1,38.0,868.8,47.1,203.2,436.8,292.9,37.1,836.8,9.08,14.7,61.7,10.2,0.37,635.2,3504.1,1953.8,87.3,26.9,7.21,12.7,10.5,723.4,666.7,92.2,59.2
Manchester Utd,27,54.8,38.0,672.4,56.1,196.9,316.2,204.8,26.2,636.0,10.6,16.9,62.5,11.4,0.47,453.3,2477.6,1337.0,57.6,16.6,5.03,11.6,11.9,514.1,455.7,88.6,45.2
Newcastle Utd,27,41.7,38.0,520.3,58.2,194.9,221.8,136.2,17.8,480.9,7.74,13.3,58.1,8.63,0.58,295.5,1618.6,828.8,29.9,10.6,2.21,12.3,10.2,341.1,281.7,82.6,34.6
Southampton,26,51.5,38.0,601.5,53.5,194.9,269.4,178.1,20.7,559.8,8.95,13.7,65.5,9.87,0.32,376.5,2096.8,1092.9,42.3,13.8,3.13,10.7,9.58,426.4,369.3,86.6,43.1
Stoke City,30,41.3,38.0,486.4,63.5,173.5,212.2,131.8,17.9,446.7,8.11,13.6,59.6,9.08,0.50,272.2,1562.3,755.8,28.7,9.79,2.34,12.2,9.00,318.5,257.0,80.7,35.2
Swansea City,26,45.2,38.0,552.7,62.3,199.7,244.7,145.6,15.8,514.0,8.42,13.0,64.6,8.87,0.29,345.4,2016.4,993.3,35.9,10.8,2.21,11.7,10.9,392.3,337.8,86.1,34.3
Tottenham,25,61.9,38.0,722.8,53.0,197.0,342.2,236.8,27.9,682.2,10.7,18.3,58.7,11.7,0.53,499.4,2755.8,1445.1,63.2,20.5,4.24,13.6,12.0,562.7,492.6,87.6,56.2
Watford,29,49.6,38.0,564.0,52.5,185.4,245.4,166.8,23.2,521.9,7.92,14.3,55.3,8.79,0.42,335.8,1815.3,930.9,38.8,12.7,3.71,12.4,10.8,385.0,325.7,84.6,39.7
West Brom,24,40.6,38.0,495.4,58.7,181.6,211.3,133.0,17.0,456.2,7.71,14.3,54.0,8.76,0.76,286.5,1658.9,828.2,29.0,9.08,2.05,12.3,10.4,331.8,267.1,80.5,34.8
West Ham,27,45.0,38.0,527.5,57.9,176.7,241.0,143.7,17.6,486.1,7.92,12.9,61.3,8.71,0.39,316.9,1785.0,855.9,33.1,10.7,2.63,12.1,11.2,358.5,302.1,84.3,34.3
