Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,27,1990,35.5,0.08,0.00,0.00,0.34,0.39,0.31,1.52,1.01,0.90,0.00,0.00,0.00,9.32,0.25,0.28,47.4,Matches
2,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,30,1988,27.3,0.15,0.00,0.00,0.81,0.92,0.95,0.55,0.26,0.51,0.00,0.00,0.00,4.73,0.40,0.51,44.0,Matches
3,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,23,1995,37.9,0.08,0.00,0.00,0.74,0.55,0.05,0.21,0.71,0.98,0.03,0.03,0.00,9.31,1.98,1.21,62.0,Matches
4,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,28,1989,18.1,0.17,0.00,0.00,0.55,1.10,0.11,4.48,1.27,1.27,0.00,0.00,0.00,8.67,0.50,0.66,42.9,Matches
5,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,29,1989,32.5,0.09,0.00,0.00,0.31,0.06,0.03,0.09,0.62,0.71,0.00,0.03,0.03,11.0,1.02,1.11,47.8,Matches
6,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,27.4,0.11,0.00,0.00,0.51,0.29,0.15,4.05,1.20,1.02,0.00,0.00,0.00,10.6,0.22,0.55,28.6,Matches
7,Alisson\Alisson,br BRA,GK,Liverpool,25,1992,38.0,0.03,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.87,0.03,0.00,100.0,Matches
8,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,22,1996,20.3,0.20,0.00,0.00,1.13,0.99,0.15,0.84,0.79,1.28,0.00,0.00,0.00,8.87,0.54,0.89,37.9,Matches
9,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,24,1994,8.4,0.00,0.00,0.00,0.71,2.02,0.48,2.26,0.48,1.31,0.00,0.00,0.00,10.0,0.48,0.95,33.3,Matches
10,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,27,1990,30.7,0.20,0.00,0.00,0.91,1.21,0.07,2.51,1.01,1.24,0.07,0.03,0.00,11.5,1.82,1.17,60.9,Matches
11,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,23,1994,7.1,0.28,0.00,0.00,0.85,0.14,0.14,0.56,1.55,1.13,0.00,0.14,0.00,13.0,1.41,0.42,76.9,Matches
12,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,21,1997,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches
13,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,25,1993,33.8,0.09,0.00,0.00,0.80,1.57,0.15,2.25,1.12,1.30,0.00,0.03,0.00,8.73,0.15,0.53,21.7,Matches
14,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,25,1993,9.8,0.51,0.00,0.00,2.86,2.04,0.41,0.92,0.10,0.92,0.00,0.00,0.00,5.41,2.86,6.33,31.1,Matches
15,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,28,1990,23.4,0.13,0.00,0.00,1.50,1.88,0.43,1.92,0.56,0.94,0.09,0.00,0.00,6.58,2.48,3.08,44.6,Matches
16,Stuart Armstrong\Stuart-Armstrong,sco SCO,MFFW,Southampton,26,1992,15.9,0.13,0.00,0.00,1.19,1.32,0.19,0.82,0.75,0.88,0.00,0.06,0.00,7.86,0.82,1.01,44.8,Matches
17,Marko Arnautović\Marko-Arnautovic,at AUT,FW,West Ham,29,1989,22.1,0.14,0.00,0.00,1.40,0.54,0.95,1.27,0.09,0.27,0.00,0.05,0.00,3.57,0.50,0.90,35.5,Matches
18,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,23,1994,36.0,0.06,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,,Matches
19,Harry Arter\Harry-Arter,ie IRL,MF,Cardiff City,28,1989,22.2,0.45,0.00,0.00,1.13,0.63,0.09,0.63,0.90,1.80,0.00,0.00,0.00,10.3,0.23,0.54,29.4,Matches
20,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,26,1992,16.6,0.12,0.00,0.00,0.84,1.51,0.24,1.81,0.18,0.96,0.00,0.00,0.00,7.65,0.36,2.83,11.3,Matches
21,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,29,1989,30.3,0.00,0.00,0.00,0.43,0.76,0.76,1.39,0.17,0.40,0.03,0.00,0.00,3.30,0.76,1.91,28.4,Matches
22,Serge Aurier\Serge-Aurier,ci CIV,DFMF,Tottenham,25,1992,6.3,0.16,0.00,0.00,2.70,0.32,0.16,2.70,1.11,1.90,0.00,0.00,0.00,11.4,1.43,1.43,50.0,Matches
