Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,27,1990,35.5,0.08,1.24,0.34,27.3,1.24,0.34,0.07,0.25,19.7,0.00,0.00,0.00,0.08,0.08,0.06,0.01,0.01,Matches
2,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,30,1988,27.3,0.77,4.32,1.50,34.7,4.32,1.50,0.16,0.46,14.0,0.11,0.07,0.07,0.76,0.70,0.16,0.01,-0.01,Matches
3,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,23,1995,37.9,0.11,0.58,0.21,36.4,0.58,0.21,0.18,0.50,7.4,0.00,0.00,0.00,0.09,0.09,0.15,0.02,0.02,Matches
4,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,28,1989,18.1,0.11,1.05,0.39,36.8,1.05,0.39,0.11,0.29,21.3,0.00,0.00,0.00,0.06,0.06,0.06,0.05,0.05,Matches
5,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,29,1989,32.5,0.00,0.52,0.18,35.3,0.52,0.18,0.00,0.00,12.0,0.00,0.00,0.00,0.03,0.03,0.07,-0.03,-0.03,Matches
6,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,27.4,0.04,1.06,0.33,31.0,1.06,0.33,0.03,0.11,24.6,0.33,0.00,0.00,0.05,0.05,0.05,-0.02,-0.02,Matches
7,Alisson\Alisson,br BRA,GK,Liverpool,25,1992,38.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
8,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,22,1996,20.3,0.25,1.97,0.89,45.0,1.97,0.89,0.13,0.28,13.8,0.05,0.00,0.00,0.26,0.26,0.13,-0.01,-0.01,Matches
9,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,24,1994,8.4,0.00,2.26,0.95,42.1,2.25,0.95,0.00,0.00,19.1,0.00,0.00,0.00,0.20,0.19,0.09,-0.20,-0.19,Matches
10,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,27,1990,30.7,0.07,1.40,0.23,16.3,1.40,0.23,0.05,0.29,18.8,0.26,0.00,0.00,0.09,0.09,0.06,-0.02,-0.02,Matches
11,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,23,1994,7.1,0.00,0.56,0.14,25.0,0.56,0.14,0.00,0.00,20.5,0.00,0.00,0.00,0.06,0.06,0.09,-0.06,-0.06,Matches
12,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,21,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
13,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,25,1993,33.8,0.27,1.72,0.71,41.4,1.72,0.71,0.16,0.38,18.1,0.15,0.00,0.00,0.15,0.15,0.09,0.11,0.11,Matches
14,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,25,1993,9.8,0.31,1.94,0.71,36.8,1.94,0.72,0.16,0.43,11.4,0.00,0.00,0.00,0.22,0.22,0.12,0.08,0.08,Matches
15,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,28,1990,23.4,0.26,2.78,1.07,38.5,2.78,1.07,0.09,0.24,15.7,0.00,0.00,0.00,0.32,0.32,0.11,-0.06,-0.06,Matches
16,Stuart Armstrong\Stuart-Armstrong,sco SCO,MFFW,Southampton,26,1992,15.9,0.19,2.01,0.75,37.5,2.01,0.75,0.09,0.25,20.1,0.00,0.00,0.00,0.14,0.14,0.07,0.04,0.04,Matches
17,Marko Arnautović\Marko-Arnautovic,at AUT,FW,West Ham,29,1989,22.1,0.45,2.81,1.36,48.4,2.80,1.36,0.15,0.30,16.8,0.14,0.05,0.05,0.43,0.39,0.14,0.02,0.01,Matches
18,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,23,1994,36.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
19,Harry Arter\Harry-Arter,ie IRL,MF,Cardiff City,28,1989,22.2,0.00,1.04,0.18,17.4,1.04,0.18,0.00,0.00,22.3,0.00,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,Matches
20,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,26,1992,16.6,0.06,1.69,0.84,50.0,1.69,0.84,0.04,0.07,18.2,0.00,0.00,0.00,0.12,0.12,0.07,-0.06,-0.06,Matches
21,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,29,1989,30.3,0.73,2.94,1.12,38.2,2.94,1.12,0.20,0.53,13.6,0.00,0.13,0.17,0.68,0.55,0.19,0.04,0.04,Matches
