Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,27,1990,35.5,2.00,2.00,1.66,0.20,0.03,0.06,0.06,0.00,0.17,0.17,0.14,0.03,0.00,0.00,0.00,0.00,0.00,Matches
2,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,30,1988,27.3,2.71,2.71,1.87,0.04,0.22,0.29,0.26,0.04,0.62,0.62,0.44,0.00,0.07,0.04,0.07,0.00,0.00,Matches
3,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,23,1995,37.9,0.45,0.45,0.37,0.00,0.00,0.03,0.03,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.03,0.00,0.03,Matches
4,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,28,1989,18.1,2.38,2.38,2.04,0.17,0.00,0.11,0.00,0.06,0.22,0.22,0.22,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,29,1989,32.5,0.92,0.92,0.74,0.00,0.03,0.15,0.00,0.00,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,27.4,3.07,3.07,1.90,0.84,0.18,0.07,0.04,0.04,0.62,0.62,0.47,0.15,0.00,0.00,0.00,0.00,0.00,Matches
7,Alisson\Alisson,br BRA,GK,Liverpool,25,1992,38.0,0.11,0.11,0.03,0.08,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,0.00,0.00,0.00,0.00,0.00,Matches
8,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,22,1996,20.3,3.10,3.11,2.32,0.05,0.25,0.15,0.25,0.10,0.25,0.25,0.15,0.00,0.00,0.05,0.05,0.00,0.00,Matches
9,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,24,1994,8.4,3.33,3.32,2.62,0.00,0.12,0.24,0.24,0.12,0.24,0.24,0.00,0.00,0.00,0.12,0.12,0.00,0.00,Matches
10,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,27,1990,30.7,1.99,1.99,1.69,0.03,0.00,0.16,0.10,0.00,0.36,0.36,0.20,0.00,0.00,0.10,0.07,0.00,0.00,Matches
