Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,27,1990,35.5,64.7,3.89,19.1,30.2,19.2,2.20,54.9,0.76,1.21,62.8,0.79,0.03,41.4,206.1,115.9,5.86,1.75,0.56,0.76,0.54,41.3,38.1,92.1,2.00,Matches
2,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,30,1988,27.3,41.8,0.18,1.03,15.6,28.5,8.83,39.9,1.06,2.01,52.7,1.17,0.18,33.1,168.2,87.4,5.16,1.94,1.32,2.42,2.38,50.9,32.7,64.2,13.1,Matches
3,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,23,1995,37.9,56.6,9.45,35.5,20.6,3.75,1.16,54.6,0.08,0.16,50.0,0.08,0.00,33.3,173.0,89.3,1.48,0.55,0.00,0.42,0.13,35.4,33.9,95.6,1.11,Matches
4,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,28,1989,18.1,54.8,2.32,10.9,23.7,23.6,1.49,53.2,1.22,2.49,48.9,1.33,0.17,42.3,210.6,91.8,4.64,1.66,0.17,1.49,1.99,46.1,37.3,81.0,5.69,Matches
5,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,29,1989,32.5,81.0,9.14,42.7,40.3,3.54,0.62,78.6,0.06,0.12,50.0,0.06,0.00,56.3,286.9,151.0,3.78,0.71,0.00,0.09,0.09,59.2,58.4,98.6,0.58,Matches
6,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,27.4,90.9,3.07,21.4,42.7,31.5,1.61,75.0,0.73,1.42,51.3,0.84,0.11,58.7,215.3,125.3,5.84,2.01,0.18,1.02,0.58,60.1,56.3,93.7,3.43,Matches
7,Alisson\Alisson,br BRA,GK,Liverpool,25,1992,38.0,35.3,29.8,35.1,0.21,0.00,0.00,27.6,0.03,0.03,100.0,0.03,0.00,20.4,74.3,41.6,0.03,0.00,0.00,0.05,0.03,17.7,17.7,100.0,0.00,Matches
8,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,22,1996,20.3,64.7,1.53,8.28,32.9,27.9,5.12,63.2,1.38,2.81,49.1,1.63,0.30,49.3,224.0,114.9,5.22,1.82,0.64,2.02,1.63,59.8,47.5,79.5,10.8,Matches
9,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,24,1994,8.4,45.7,1.07,7.14,20.0,23.7,3.57,45.2,0.83,1.90,43.8,1.19,0.48,35.0,261.3,165.2,7.74,2.86,1.07,2.50,1.67,46.5,28.8,61.9,7.38,Matches
10,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,27,1990,30.7,85.1,3.88,23.5,37.7,29.4,2.87,76.1,0.72,1.17,61.1,0.81,0.00,58.6,282.2,167.8,8.31,2.28,0.23,0.91,1.37,60.8,55.6,91.4,4.59,Matches
