Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,11,9,875,9.7,1.03,1.03,2.89,1.75,64.3,0.93,0.00,0.00,0.21,22.2,0.00,0.00,0.00,0.00,,Matches
2,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,29,29,2543,28.3,0.81,0.81,2.79,2.05,72.2,0.81,0.11,0.11,0.46,44.8,0.04,0.04,0.00,0.00,0.0,Matches
3,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,33,33,2970,33.0,1.42,1.42,3.00,1.67,54.5,0.55,0.12,0.33,0.24,24.2,0.06,0.06,0.00,0.00,0.0,Matches
4,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,4,3,347,3.9,1.79,1.82,3.85,2.05,53.3,0.51,0.00,0.26,0.26,33.3,0.00,0.00,0.00,0.00,,Matches
5,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,5,5,450,5.0,1.40,1.40,3.20,2.00,56.3,0.40,0.40,0.20,0.20,20.0,0.00,0.00,0.00,0.00,,Matches
6,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,38,38,3420,38.0,1.53,1.53,5.00,3.53,70.5,0.29,0.29,0.42,0.29,28.9,0.05,0.05,0.00,0.00,0.0,Matches
7,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,35,35,3071,34.1,0.82,0.82,2.70,1.91,72.8,0.70,0.09,0.23,0.47,45.7,0.09,0.09,0.00,0.00,0.0,Matches
8,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,25,25,2117,23.5,1.45,1.45,4.17,2.94,68.4,0.34,0.30,0.43,0.21,20.0,0.17,0.13,0.04,0.00,25.0,Matches
9,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,1,1,21,0.2,5.00,4.29,5.00,5.00,100.0,0.00,0.00,5.00,0.00,0.0,5.00,5.00,0.00,0.00,0.0,Matches
10,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,38,38,3420,38.0,1.68,1.68,4.37,2.87,66.3,0.21,0.26,0.53,0.24,23.7,0.24,0.21,0.03,0.00,11.1,Matches
11,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,18,17,1613,17.9,1.45,1.45,4.41,3.13,70.9,0.28,0.28,0.39,0.11,11.8,0.22,0.17,0.06,0.00,25.0,Matches
12,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,38,38,3420,38.0,0.95,0.95,3.29,2.42,73.6,0.47,0.32,0.21,0.34,34.2,0.08,0.08,0.00,0.00,0.0,Matches
13,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,35,35,3150,35.0,1.20,1.20,4.20,3.03,71.4,0.31,0.26,0.43,0.29,28.6,0.03,0.00,0.00,0.03,,Matches
14,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10,10,900,10.0,2.50,2.50,5.30,3.00,56.6,0.20,0.20,0.60,0.20,20.0,0.20,0.20,0.00,0.00,0.0,Matches
15,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,20,20,1794,19.9,1.76,1.76,4.97,3.37,67.7,0.30,0.15,0.55,0.20,20.0,0.15,0.15,0.00,0.00,0.0,Matches
16,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,36,36,3240,36.0,0.92,0.92,3.58,2.69,75.2,0.39,0.31,0.31,0.36,36.1,0.08,0.03,0.03,0.03,50.0,Matches
17,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,3,3,270,3.0,2.67,2.67,7.33,4.67,63.6,0.00,0.33,0.67,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
18,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,36,36,3240,36.0,1.89,1.89,5.25,3.42,65.6,0.14,0.17,0.69,0.14,13.9,0.14,0.08,0.06,0.00,40.0,Matches
19,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,30,30,2649,29.4,1.33,1.33,5.00,3.74,77.6,0.31,0.44,0.27,0.24,23.3,0.24,0.20,0.03,0.00,14.3,Matches
20,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,21,21,1807,20.1,1.04,1.05,4.63,3.68,79.6,0.55,0.30,0.20,0.30,28.6,0.15,0.10,0.05,0.00,33.3,Matches
21,David Martin\David-Martin,eng ENG,GK,West Ham,33,1986,5,4,436,4.8,1.25,1.24,4.17,2.92,70.0,0.42,0.00,0.42,0.42,50.0,0.00,0.00,0.00,0.00,,Matches
22,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Arsenal,26,1992,9,8,771,8.6,1.05,1.05,4.88,3.84,81.0,0.58,0.12,0.23,0.35,37.5,0.12,0.12,0.00,0.00,0.0,Matches
23,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,29,1989,28,28,2520,28.0,1.25,1.25,3.93,2.75,69.1,0.46,0.18,0.36,0.25,25.0,0.07,0.04,0.04,0.00,50.0,Matches
24,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,35,1984,2,1,159,1.8,3.33,3.40,6.11,2.78,45.5,0.00,0.00,0.56,0.00,0.0,0.56,0.00,0.56,0.00,100.0,Matches
25,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,29,1990,2,2,180,2.0,3.00,3.00,6.00,3.00,50.0,0.00,0.50,0.50,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
26,Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,28,1990,7,5,539,6.0,2.00,2.00,4.33,2.33,53.8,0.00,0.33,0.50,0.17,20.0,0.00,0.00,0.00,0.00,,Matches
27,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,38,38,3420,38.0,1.05,1.05,3.16,2.11,67.5,0.39,0.37,0.24,0.34,34.2,0.08,0.03,0.05,0.00,66.7,Matches
28,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,38,38,3420,38.0,1.47,1.47,3.82,2.50,63.4,0.34,0.26,0.39,0.24,23.7,0.11,0.08,0.00,0.03,0.0,Matches
29,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,38,38,3420,38.0,1.32,1.32,4.18,2.95,71.1,0.39,0.24,0.37,0.39,39.5,0.13,0.11,0.03,0.00,20.0,Matches
30,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,37,37,3330,37.0,1.68,1.68,4.78,3.24,67.8,0.24,0.19,0.57,0.14,13.5,0.16,0.14,0.03,0.00,16.7,Matches
31,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2,2,180,2.0,2.50,2.50,4.50,2.50,55.6,0.00,0.50,0.50,0.00,0.0,0.50,0.50,0.00,0.00,0.0,Matches
32,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,12,12,1080,12.0,1.67,1.67,4.17,2.67,64.0,0.25,0.25,0.50,0.17,16.7,0.25,0.17,0.08,0.00,33.3,Matches
33,Roberto\Roberto,es ESP,GK,West Ham,33,1986,8,7,687,7.6,2.24,2.23,6.71,4.74,68.6,0.00,0.13,0.79,0.00,0.0,0.13,0.13,0.00,0.00,0.0,Matches
34,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,38,38,3420,38.0,1.42,1.42,4.32,3.00,68.3,0.24,0.37,0.39,0.24,23.7,0.05,0.05,0.00,0.00,0.0,Matches
35,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,38,38,3420,38.0,1.08,1.08,3.32,2.50,73.8,0.47,0.21,0.32,0.34,34.2,0.26,0.21,0.05,0.00,20.0,Matches
36,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,1,1,7,0.1,0.00,0.00,0.00,0.00,,0.00,0.00,10.0,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
37,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1,1,90,1.0,3.00,3.00,5.00,2.00,40.0,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
