Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,29,2507,86,73.3,27.9,1.04,86,0.90,0.00,,0.00,1.24,0.75,1.36,-0.61,-0.61,-0.41,0.95,1.33,-0.38,-0.38,+0.28,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,36,3240,90,94.7,36.0,1.00,90,1.00,0.00,,0.00,0.50,0.64,1.97,-1.33,-1.33,-0.83,1.00,1.62,-0.62,-0.62,+0.14,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,34,2215,65,64.8,24.6,1.02,81,0.37,0.37,20,0.00,1.82,1.83,1.38,0.45,+0.45,+0.15,1.79,1.09,0.70,+0.69,-0.17,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,30,1111,37,32.5,12.3,0.98,73,0.00,1.46,13,0.49,1.47,1.38,1.38,0.00,0.00,+0.35,1.45,1.34,0.11,+0.11,+0.13,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,11,875,80,25.6,9.7,0.93,90,0.93,0.21,33,2.78,3.00,2.47,1.03,1.44,+1.44,+0.10,1.93,0.99,0.95,+0.94,+0.16,Matches
6,Daniel Adshead\Daniel-Adshead,eng ENG,MF,Norwich City,17,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
7,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,24,1452,61,42.5,16.1,1.12,75,0.50,0.37,16,0.12,2.08,2.67,1.12,1.55,+1.55,-0.37,2.46,0.99,1.48,+1.47,-0.10,Matches
8,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,9,139,15,4.1,1.5,0.00,,0.00,6.00,15,12.7,0.22,1.33,2.00,-0.67,-0.65,-0.32,1.87,1.00,0.93,+0.88,+1.32,Matches
9,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,29,2503,86,73.2,27.8,1.04,86,0.97,0.00,,0.04,0.93,1.08,1.69,-0.61,-0.61,+0.17,1.15,1.49,-0.33,-0.34,+0.20,Matches
10,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,20,867,43,25.4,9.6,0.94,69,0.21,1.15,22,1.67,1.45,1.67,1.15,0.52,+0.52,-0.22,1.47,1.23,0.24,+0.24,-0.28,Matches
