Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,2,38,38,3420,38.0,1.26,1.26,4.97,3.76,78.3,0.37,0.37,0.26,0.26,26.3,0.21,0.18,0.03,0.00,12.5
Aston Villa,4,38,38,3420,38.0,1.76,1.76,4.61,2.97,64.6,0.24,0.21,0.55,0.18,18.4,0.16,0.13,0.03,0.00,16.7
Bournemouth,2,38,38,3420,38.0,1.71,1.71,4.79,3.21,67.0,0.24,0.18,0.58,0.13,13.2,0.16,0.13,0.03,0.00,16.7
Brighton,1,38,38,3420,38.0,1.42,1.42,4.32,3.00,68.3,0.24,0.37,0.39,0.24,23.7,0.05,0.05,0.00,0.00,0.0
Burnley,1,38,38,3420,38.0,1.32,1.32,4.18,2.95,71.1,0.39,0.24,0.37,0.39,39.5,0.13,0.11,0.03,0.00,20.0
Chelsea,2,38,38,3420,38.0,1.42,1.42,3.03,1.71,54.8,0.53,0.16,0.32,0.24,23.7,0.05,0.05,0.00,0.00,0.0
Crystal Palace,2,38,38,3420,38.0,1.32,1.32,4.45,3.16,70.4,0.29,0.26,0.45,0.26,26.3,0.03,0.00,0.00,0.03,
Everton,1,38,38,3420,38.0,1.47,1.47,3.82,2.50,63.4,0.34,0.26,0.39,0.24,23.7,0.11,0.08,0.00,0.03,0.0
Leicester City,1,38,38,3420,38.0,1.08,1.08,3.32,2.50,73.8,0.47,0.21,0.32,0.34,34.2,0.26,0.21,0.05,0.00,20.0
Liverpool,2,38,38,3418,38.0,0.87,0.87,2.82,1.97,70.1,0.84,0.08,0.08,0.39,39.5,0.03,0.03,0.00,0.00,0.0
Manchester City,2,38,38,3418,38.0,0.92,0.92,2.82,1.92,70.1,0.68,0.08,0.24,0.45,44.7,0.08,0.08,0.00,0.00,0.0
Manchester Utd,1,38,38,3420,38.0,0.95,0.95,3.29,2.42,73.6,0.47,0.32,0.21,0.34,34.2,0.08,0.08,0.00,0.00,0.0
Newcastle Utd,1,38,38,3420,38.0,1.53,1.53,5.00,3.53,70.5,0.29,0.29,0.42,0.29,28.9,0.05,0.05,0.00,0.00,0.0
Norwich City,3,38,38,3420,38.0,1.97,1.97,5.29,3.39,64.7,0.13,0.16,0.71,0.13,13.2,0.18,0.11,0.08,0.00,42.9
Sheffield Utd,2,38,38,3420,38.0,1.03,1.03,3.71,2.71,73.0,0.37,0.32,0.32,0.34,34.2,0.08,0.03,0.03,0.03,50.0
Southampton,2,38,38,3420,38.0,1.58,1.58,4.29,2.82,65.0,0.39,0.18,0.42,0.24,23.7,0.11,0.08,0.03,0.00,25.0
Tottenham,2,38,38,3420,38.0,1.24,1.24,4.53,3.42,75.6,0.42,0.29,0.29,0.21,21.1,0.18,0.13,0.05,0.00,28.6
Watford,1,38,38,3420,38.0,1.68,1.68,4.37,2.87,66.3,0.21,0.26,0.53,0.24,23.7,0.24,0.21,0.03,0.00,11.1
West Ham,4,38,38,3420,38.0,1.63,1.63,4.68,3.26,68.0,0.26,0.24,0.50,0.18,18.4,0.16,0.13,0.03,0.00,16.7
Wolves,1,38,38,3420,38.0,1.05,1.05,3.16,2.11,67.5,0.39,0.37,0.24,0.34,34.2,0.08,0.03,0.05,0.00,66.7
