Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Arsenal,29,38.0,430.2,521.1,82.6,8453.2,2496.4,165.8,185.0,89.6,194.5,218.6,89.0,63.9,99.4,64.3,0.92,0.79,0.13,7.50,29.5,8.42,1.84,32.6
Aston Villa,28,38.0,303.4,404.0,75.1,6391.2,2301.3,112.9,131.6,85.9,130.5,155.9,83.7,54.8,101.2,54.2,0.84,0.80,0.04,9.50,23.4,7.53,2.50,27.2
Bournemouth,27,38.0,314.3,420.3,74.8,6170.3,2273.1,125.8,148.6,84.6,135.7,163.9,82.8,46.7,89.0,52.4,0.63,0.72,-0.09,7.03,23.7,6.79,1.39,28.1
Brighton,25,38.0,413.1,514.4,80.3,8364.7,2732.6,157.3,180.1,87.3,184.5,211.5,87.2,66.0,105.6,62.5,0.63,0.70,-0.07,8.61,28.7,8.16,2.24,34.2
Burnley,22,38.0,261.2,374.4,69.8,5342.3,2067.1,110.1,129.0,85.3,98.4,125.7,78.3,46.7,102.8,45.4,0.79,0.72,0.07,6.92,20.5,5.47,2.05,21.4
Chelsea,27,38.0,543.8,645.6,84.2,10634.7,3006.3,212.6,237.6,89.5,242.0,270.7,89.4,79.8,115.9,68.9,1.21,1.22,-0.01,11.9,39.0,11.3,2.76,40.0
Crystal Palace,25,38.0,319.5,419.5,76.2,6200.1,2361.8,134.9,156.2,86.4,128.9,153.7,83.9,47.9,90.4,53.0,0.53,0.62,-0.09,6.66,22.7,6.74,1.50,27.4
Everton,24,38.0,348.4,452.0,77.1,7415.7,2649.5,123.6,146.2,84.6,156.6,183.8,85.2,63.2,104.8,60.3,0.84,0.81,0.03,8.32,27.2,7.82,2.24,33.1
Leicester City,24,38.0,456.0,556.6,81.9,8774.6,2732.3,183.4,205.4,89.3,204.4,232.5,87.9,61.1,99.0,61.7,1.26,1.16,0.11,10.5,32.6,8.50,2.21,35.2
Liverpool,24,38.0,549.7,660.8,83.2,11189.9,3308.2,202.7,226.4,89.5,250.4,281.6,88.9,89.0,132.7,67.1,1.82,1.36,0.45,11.5,45.6,13.2,2.66,47.8
Manchester City,24,38.0,638.6,728.2,87.7,12398.1,3306.9,251.1,274.4,91.5,291.1,317.9,91.6,88.7,115.6,76.7,1.82,1.74,0.07,14.7,50.4,15.7,2.53,52.8
Manchester Utd,29,38.0,461.6,557.1,82.9,8550.5,2569.2,203.5,227.0,89.6,193.9,220.1,88.1,56.7,89.3,63.5,1.13,0.97,0.16,10.6,35.8,9.29,1.39,39.5
Newcastle Utd,28,38.0,276.3,373.8,73.9,5721.1,2150.6,109.1,126.6,86.2,114.5,139.7,81.9,47.5,92.5,51.3,0.76,0.61,0.15,7.71,20.1,4.95,1.76,19.8
Norwich City,30,38.0,384.5,481.2,79.9,7112.8,2321.8,175.1,196.3,89.2,151.2,174.3,86.8,50.0,90.7,55.2,0.47,0.69,-0.21,7.87,23.2,5.89,1.11,26.2
Sheffield Utd,26,38.0,317.2,431.8,73.5,6401.8,2259.3,135.9,156.6,86.8,123.0,150.9,81.5,52.2,105.5,49.5,0.66,0.83,-0.17,7.00,26.2,7.68,2.42,27.9
Southampton,25,38.0,328.4,444.7,73.9,6298.6,2224.3,141.8,166.2,85.3,134.4,165.7,81.1,45.0,94.4,47.7,0.84,0.83,0.02,8.76,25.8,8.00,1.84,29.4
Tottenham,29,38.0,415.6,518.5,80.2,8057.5,2487.6,169.1,191.0,88.6,181.2,208.9,86.8,58.3,99.7,58.5,1.03,0.81,0.22,8.61,30.1,7.95,1.32,33.7
Watford,26,38.0,294.9,405.5,72.7,5840.0,2233.5,127.7,151.2,84.5,112.7,140.4,80.3,47.1,95.8,49.2,0.55,0.74,-0.19,7.55,23.4,7.05,2.11,25.9
West Ham,29,38.0,326.0,433.9,75.1,6336.9,2388.3,145.2,168.0,86.4,121.6,149.1,81.5,51.3,95.0,54.0,0.95,0.84,0.11,8.37,25.6,6.82,2.24,27.6
Wolves,21,38.0,370.3,470.9,78.6,7833.9,2573.4,136.1,157.6,86.4,158.0,186.1,84.9,70.7,109.9,64.3,0.89,0.85,0.04,8.61,26.7,6.03,2.16,28.4
