Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Arsenal,29,38.0,521.1,471.8,49.3,12.9,0.95,92.4,13.9,12.6,6.08,1.74,1.97,0.95,361.4,73.1,86.7,167.4,302.9,16.0,19.8,7.53,430.2,1.66,8.45,6.79,13.5
Aston Villa,28,38.0,404.0,351.6,52.4,14.7,0.53,71.5,15.5,12.9,5.26,2.79,0.97,0.34,230.4,66.5,107.1,143.3,202.5,18.3,20.7,6.66,303.4,1.58,9.97,5.74,10.6
Bournemouth,27,38.0,420.3,371.9,48.4,12.0,1.24,79.4,9.34,10.5,5.11,2.42,1.45,0.42,238.4,76.8,105.2,124.0,231.6,23.4,20.8,6.66,314.3,1.42,9.55,6.34,13.1
Brighton,25,38.0,514.4,467.3,47.1,10.4,0.76,92.3,16.9,12.9,4.68,1.71,1.74,0.82,322.1,87.1,105.3,104.9,345.7,20.8,22.3,8.92,413.1,1.74,9.79,8.11,13.3
Burnley,22,38.0,374.4,325.9,48.5,11.1,0.74,72.7,12.5,10.8,4.47,3.97,0.13,0.11,180.8,65.9,127.8,116.1,188.6,22.3,22.7,6.71,261.2,2.08,10.4,4.71,10.8
Chelsea,27,38.0,645.6,597.3,48.3,10.5,1.08,113.6,19.5,14.9,6.53,2.24,2.29,0.58,450.3,89.4,105.9,114.5,472.0,19.0,22.8,6.71,543.8,1.61,8.45,6.89,13.6
Crystal Palace,25,38.0,419.5,367.9,51.6,13.4,0.42,81.8,11.4,9.58,4.66,2.76,1.21,0.29,251.4,68.1,100.0,103.8,253.3,17.8,23.0,7.34,319.5,1.29,8.87,7.34,12.2
Everton,24,38.0,452.0,402.6,49.4,12.2,1.11,75.1,16.0,13.2,5.34,2.42,2.08,0.47,269.8,76.1,106.1,127.0,259.7,20.4,22.2,7.00,348.4,1.26,9.92,6.84,14.2
Leicester City,24,38.0,556.6,506.3,50.3,12.9,1.66,90.6,14.9,12.5,5.82,1.45,2.79,0.55,374.8,83.0,98.8,125.7,371.4,19.0,23.1,6.68,456.0,1.45,9.50,7.66,13.6
Liverpool,24,38.0,660.8,611.3,49.4,11.5,2.42,98.0,23.2,15.0,6.74,1.58,3.21,0.34,441.7,94.8,124.2,145.9,449.9,23.3,23.1,7.11,549.7,1.26,10.3,7.97,14.2
Manchester City,24,38.0,728.2,686.8,41.4,9.29,2.79,108.7,21.2,16.2,7.82,2.66,1.66,0.68,553.6,88.1,86.5,269.4,406.6,17.9,18.1,7.61,638.6,1.66,7.21,9.13,14.1
Manchester Utd,29,38.0,557.1,509.0,48.1,12.4,1.13,96.0,16.2,10.3,5.32,1.89,1.84,0.53,398.4,75.2,83.6,150.8,353.5,15.7,21.5,6.55,461.6,1.37,8.11,8.87,14.8
Newcastle Utd,28,38.0,373.8,327.3,46.6,12.5,0.63,73.5,14.8,10.1,3.97,1.61,1.53,0.32,210.9,56.4,106.5,107.9,210.4,18.1,18.7,5.24,276.3,1.84,8.13,6.00,10.1
Norwich City,30,38.0,481.2,432.4,48.8,12.2,1.00,95.4,12.3,6.82,4.26,1.74,2.05,0.26,318.6,76.8,85.8,142.9,284.1,17.1,20.2,7.50,384.5,1.16,9.16,7.24,11.8
Sheffield Utd,26,38.0,431.8,384.1,47.7,9.84,0.58,81.4,16.5,13.9,5.58,3.74,0.76,0.39,231.5,76.9,123.4,134.4,226.5,25.1,23.2,4.87,317.2,1.89,11.8,5.37,13.1
Southampton,25,38.0,444.7,393.2,51.5,11.8,1.05,83.5,12.6,11.2,5.50,2.34,2.21,0.68,247.1,75.4,122.3,82.1,289.2,27.5,24.9,5.61,328.4,1.34,10.6,6.45,11.7
Tottenham,29,38.0,518.5,470.6,47.9,12.2,1.26,87.2,13.1,10.2,5.24,2.42,1.37,0.63,344.7,77.6,96.2,142.3,317.9,19.4,20.6,5.92,415.6,1.63,7.00,8.26,12.8
Watford,26,38.0,405.5,358.1,47.4,10.7,0.76,71.5,13.0,12.8,4.39,1.79,1.32,0.66,214.5,75.4,115.6,100.7,237.9,22.7,22.0,5.50,294.9,1.63,7.84,6.47,11.3
West Ham,29,38.0,433.9,385.6,48.3,11.6,0.92,83.0,13.2,12.4,5.00,2.47,1.39,0.66,245.2,72.2,116.5,121.8,248.1,20.2,21.5,5.87,326.0,1.47,8.11,6.58,14.0
Wolves,21,38.0,470.9,424.2,46.8,10.6,0.89,80.1,18.6,12.5,5.08,1.08,2.18,0.32,266.2,87.2,117.5,101.1,305.3,22.7,21.6,6.24,370.3,1.18,8.63,6.71,12.4
