Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Arsenal,29,38.0,15.8,9.82,8.55,5.24,2.03,5.32,15.7,33.9,10.4,161.2,43.2,26.8,59.1,70.1,32.1,16.2,4.03,0.05,12.1,6.42,22.2,25.7,0.37
Aston Villa,28,38.0,15.9,10.2,8.92,5.11,1.92,5.05,16.1,31.3,11.1,153.6,42.0,27.3,56.1,65.4,32.1,19.1,5.61,0.11,13.5,6.68,22.6,25.9,0.76
Bournemouth,27,38.0,14.7,9.18,7.34,5.79,1.58,4.84,15.3,31.6,10.5,178.7,46.8,26.2,58.5,78.1,42.1,18.5,4.63,0.08,13.9,7.58,22.3,29.9,0.37
Brighton,25,38.0,17.4,10.8,8.92,6.24,2.29,5.63,16.9,33.2,11.3,152.5,45.9,30.1,53.1,63.7,35.7,16.6,4.26,0.13,12.3,7.87,25.3,24.6,0.42
Burnley,22,38.0,15.3,8.95,6.95,6.29,2.11,5.37,16.1,33.3,10.7,152.7,39.0,25.5,46.9,66.7,39.1,18.7,4.97,0.08,13.8,6.63,22.0,32.5,0.13
Chelsea,27,38.0,19.4,11.8,9.24,7.79,2.42,5.71,16.5,34.7,10.8,163.1,50.4,30.9,47.7,74.8,40.6,15.2,2.68,0.05,12.5,7.05,26.5,24.5,0.24
Crystal Palace,25,38.0,19.3,11.3,10.3,6.95,2.00,6.84,17.8,38.3,11.0,164.5,44.7,27.2,63.9,69.6,31.0,17.8,4.03,0.08,13.7,7.29,26.6,26.3,0.34
Everton,24,38.0,19.4,11.1,9.71,7.03,2.71,6.45,19.4,33.3,12.9,159.7,43.7,27.3,54.4,69.4,35.8,15.5,3.42,0.03,12.1,7.34,26.8,27.3,0.26
Leicester City,24,38.0,20.6,12.6,10.0,8.18,2.34,7.45,20.7,36.0,13.2,168.2,52.2,31.0,55.6,76.2,36.4,15.8,2.82,0.05,13.0,8.13,28.7,26.7,0.34
Liverpool,24,38.0,15.9,9.87,5.92,6.79,3.24,5.58,16.0,34.9,10.4,148.4,47.7,32.2,39.4,61.7,47.3,12.7,1.97,0.05,10.7,6.47,22.4,22.7,0.26
Manchester City,24,38.0,14.9,9.61,5.89,6.05,2.97,6.00,16.8,35.7,10.8,131.7,41.7,31.7,31.2,56.8,43.6,11.7,1.95,0.08,9.74,5.97,20.9,17.2,0.50
Manchester Utd,29,38.0,16.3,9.45,7.68,6.45,2.13,5.45,16.5,33.1,11.0,154.2,43.4,28.2,49.6,68.8,35.8,16.6,3.08,0.00,13.6,7.89,24.2,23.2,0.18
Newcastle Utd,28,38.0,17.7,10.3,10.9,5.21,1.61,5.92,16.4,36.2,10.4,157.7,40.1,25.4,68.2,63.2,26.4,16.8,4.55,0.13,12.2,7.71,25.4,29.8,0.29
Norwich City,30,38.0,18.8,11.4,11.0,5.76,2.05,6.66,20.4,32.6,13.8,170.8,46.8,27.4,70.9,68.7,31.3,18.8,5.18,0.16,13.6,7.11,25.9,27.3,0.42
Sheffield Utd,26,38.0,17.2,10.3,8.92,6.05,2.18,5.55,16.9,32.9,11.3,167.6,46.5,27.7,56.2,71.2,40.2,16.3,3.29,0.05,13.0,6.84,24.0,32.7,0.32
Southampton,25,38.0,20.8,12.7,9.82,8.16,2.82,7.63,22.6,33.8,14.9,179.6,55.4,30.9,57.8,76.8,45.1,18.3,3.87,0.00,14.4,7.76,28.6,33.6,0.53
Tottenham,29,38.0,18.7,11.7,9.29,7.74,1.63,5.61,18.1,30.9,12.5,163.4,46.1,28.2,60.2,71.9,31.3,17.4,4.42,0.05,12.9,6.82,25.5,28.3,0.29
Watford,26,38.0,17.9,11.3,9.29,6.45,2.18,6.26,20.4,30.7,14.1,177.8,48.3,27.2,61.2,77.6,39.0,16.4,4.08,0.13,12.3,8.18,26.1,29.0,0.32
West Ham,29,38.0,18.9,12.4,10.5,6.66,1.76,6.05,20.1,30.1,14.0,170.1,47.2,27.8,64.2,73.3,32.7,16.7,3.34,0.03,13.3,7.66,26.6,24.4,0.29
Wolves,21,38.0,18.8,11.1,10.5,6.68,1.68,7.00,19.2,36.4,12.2,164.5,45.0,27.4,62.8,73.9,27.7,16.0,3.37,0.03,12.6,6.92,25.8,25.6,0.34
