Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,29,27.0,1.48,0.19,0.04,9.22,11.0,1.74,14.0,8.00,8.44,0.15,0.04,0.11,83.1,13.4,16.3,45.1
Aston Villa,21,26.0,1.73,0.08,0.08,11.2,15.2,1.92,14.8,8.58,8.77,0.15,0.12,0.00,89.8,21.2,19.4,52.2
Brighton,26,27.0,1.37,0.11,0.04,11.9,9.63,1.52,13.6,8.85,11.0,0.22,0.26,0.07,93.3,15.0,17.3,46.4
Burnley,24,28.0,1.25,0.00,0.00,10.8,10.6,2.43,10.9,8.68,8.18,0.04,0.11,0.04,94.9,25.0,21.9,53.3
Chelsea,27,28.0,1.25,0.04,0.00,11.8,9.57,1.75,13.5,10.9,10.8,0.32,0.07,0.04,85.8,16.5,14.3,53.6
Crystal Palace,22,28.0,1.36,0.07,0.04,10.6,11.5,1.79,9.61,10.7,9.82,0.04,0.14,0.00,84.8,18.1,19.1,48.7
Everton,26,27.0,1.70,0.07,0.00,10.5,10.6,1.89,11.0,9.70,11.2,0.07,0.15,0.04,86.6,17.8,13.3,57.3
Fulham,25,28.0,1.86,0.11,0.00,12.7,9.82,1.07,12.8,12.8,10.1,0.14,0.14,0.04,89.9,17.9,18.1,49.7
Leeds United,22,27.0,1.48,0.00,0.00,11.1,10.6,1.85,14.2,10.6,13.1,0.11,0.30,0.07,95.0,15.7,16.5,48.7
Leicester City,26,28.0,1.79,0.00,0.00,10.3,11.5,1.93,10.4,9.89,11.5,0.32,0.07,0.04,95.4,15.4,16.9,47.7
Liverpool,28,28.0,1.11,0.00,0.00,10.2,8.29,1.57,15.4,7.79,9.07,0.14,0.29,0.00,100.7,14.1,16.4,46.2
Manchester City,23,28.0,1.04,0.00,0.00,9.43,9.61,1.64,11.3,7.82,10.0,0.18,0.21,0.04,84.1,13.9,10.9,56.0
Manchester Utd,25,28.0,1.57,0.04,0.00,12.3,10.3,2.29,11.5,10.3,10.0,0.25,0.14,0.07,87.1,14.3,11.6,55.2
Newcastle Utd,27,27.0,1.89,0.07,0.07,10.7,11.4,1.67,10.3,9.37,9.30,0.11,0.15,0.07,80.0,17.7,20.3,46.6
Sheffield Utd,24,28.0,1.89,0.11,0.00,12.5,8.04,2.11,11.5,10.1,10.3,0.11,0.14,0.04,85.1,21.5,23.0,48.3
Southampton,29,27.0,1.59,0.07,0.00,11.6,11.4,2.30,7.96,10.4,12.5,0.07,0.15,0.04,98.8,14.7,18.9,43.8
Tottenham,24,27.0,1.41,0.04,0.04,11.9,12.6,0.89,8.37,8.63,10.7,0.11,0.22,0.07,85.4,18.9,18.5,50.5
West Brom,30,28.0,1.36,0.14,0.00,10.7,10.5,2.00,10.3,10.4,10.5,0.07,0.21,0.11,88.3,19.7,21.0,48.4
West Ham,24,27.0,1.22,0.04,0.00,10.7,9.48,1.93,12.7,10.8,9.26,0.07,0.15,0.00,87.6,19.9,17.9,52.6
Wolves,25,28.0,1.50,0.04,0.04,11.4,10.3,0.89,12.9,9.43,10.1,0.11,0.25,0.11,78.3,15.8,14.9,51.5
