Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,3,27.0,1.04,0.04,0.00,0.19,0.11,1.17,0.31,0.25,+0.25,3.07,9.26,33.2,27.7,5.00,19.9,27.7,6.33,59.1,45.8,8.96,0.48,5.4,0.74,0.74,0.55
Aston Villa,1,26.0,1.04,0.08,0.08,0.08,0.00,1.33,0.28,0.30,+0.30,8.00,19.9,40.2,27.6,3.92,54.3,42.7,6.69,74.1,54.9,10.1,0.92,9.1,0.54,0.54,0.54
Brighton,2,27.0,1.30,0.22,0.00,0.30,0.07,1.20,0.34,-0.03,-0.03,5.96,15.7,38.0,30.8,4.89,39.9,36.7,6.30,54.1,44.4,8.19,0.52,6.3,0.59,0.59,0.55
Burnley,2,28.0,1.29,0.11,0.00,0.21,0.04,1.43,0.28,0.18,+0.18,9.29,23.6,39.3,22.8,3.93,74.9,52.8,7.64,86.0,61.8,9.57,1.14,11.9,1.21,1.21,0.57
Chelsea,3,28.0,0.89,0.07,0.04,0.14,0.04,0.77,0.27,-0.09,-0.09,5.11,10.0,50.9,27.4,4.00,27.5,29.8,6.25,40.0,35.3,7.32,0.57,7.8,0.68,0.68,0.56
Crystal Palace,1,28.0,1.68,0.11,0.04,0.25,0.00,1.69,0.35,0.01,+0.01,6.50,18.8,34.6,20.2,3.89,58.4,43.5,8.29,84.5,59.9,10.1,0.54,5.3,0.36,0.36,0.47
Everton,2,27.0,1.30,0.11,0.04,0.19,0.04,1.25,0.28,-0.01,-0.01,8.67,20.1,43.1,28.6,3.85,54.1,43.9,6.85,67.6,54.0,8.85,0.67,7.5,0.44,0.44,0.51
Fulham,2,28.0,1.18,0.18,0.00,0.11,0.04,1.38,0.30,0.24,+0.24,4.57,11.9,38.3,19.9,4.21,39.1,34.6,6.75,61.4,45.2,9.93,1.07,10.8,0.61,0.61,0.50
Leeds United,2,27.0,1.70,0.26,0.04,0.37,0.07,1.68,0.28,0.05,+0.05,4.93,10.0,49.1,31.2,7.63,24.9,28.7,7.11,31.8,31.1,5.37,0.48,9.0,0.63,0.63,0.51
Leicester City,1,28.0,1.14,0.07,0.00,0.21,0.04,1.30,0.34,0.19,+0.19,6.43,14.9,43.2,26.9,4.46,43.8,38.8,6.07,51.2,42.9,8.14,0.75,9.2,0.36,0.36,0.46
Liverpool,3,28.0,1.29,0.14,0.04,0.18,0.00,1.35,0.35,0.06,+0.06,3.57,8.04,44.4,28.1,4.96,22.5,30.7,5.43,31.6,34.3,6.21,0.54,8.6,1.29,1.29,0.66
Manchester City,2,28.0,0.68,0.21,0.00,0.07,0.04,0.76,0.28,0.12,+0.12,3.89,8.21,47.4,25.1,3.89,23.9,31.0,4.54,48.8,44.0,5.32,0.36,6.7,0.71,0.71,0.58
Manchester Utd,2,28.0,1.14,0.14,0.04,0.21,0.07,1.13,0.28,0.05,+0.05,3.29,8.18,40.2,15.6,3.32,35.2,33.3,7.29,36.8,33.7,7.93,0.39,5.0,0.43,0.43,0.51
Newcastle Utd,2,27.0,1.63,0.11,0.04,0.15,0.07,1.46,0.29,-0.09,-0.09,7.33,20.9,35.2,20.5,3.44,65.1,49.1,9.04,83.2,59.8,9.74,0.89,9.1,0.22,0.22,0.45
Sheffield Utd,1,28.0,1.61,0.11,0.00,0.29,0.04,1.57,0.29,-0.00,0.00,7.82,23.4,33.5,22.1,2.61,75.0,55.1,7.04,95.9,72.2,9.61,0.96,10.0,0.57,0.57,0.55
Southampton,2,27.0,1.63,0.19,0.04,0.07,0.04,1.41,0.32,-0.19,-0.19,5.26,18.7,28.2,30.3,3.96,48.1,38.3,5.67,71.9,51.4,8.44,0.74,8.8,0.74,0.74,0.57
Tottenham,1,27.0,1.04,0.22,0.00,0.07,0.07,1.14,0.27,0.18,+0.18,5.48,13.1,41.8,20.1,3.85,49.8,38.5,7.41,41.5,35.3,9.85,0.37,3.8,0.37,0.37,0.48
West Brom,2,28.0,2.00,0.14,0.00,0.29,0.11,1.99,0.32,0.10,+0.10,9.14,25.4,36.0,26.4,4.43,69.9,49.9,7.93,87.4,60.3,10.0,0.71,7.1,0.68,0.68,0.51
West Ham,2,27.0,1.15,0.07,0.00,0.19,0.00,1.20,0.32,0.06,+0.06,8.11,18.6,43.5,20.1,3.67,62.5,46.5,7.81,77.3,55.2,10.7,0.70,6.6,0.33,0.33,0.46
Wolves,1,28.0,1.32,0.21,0.04,0.21,0.11,1.11,0.26,-0.11,-0.11,6.07,13.1,46.2,14.7,3.07,56.8,41.9,7.07,67.7,46.2,10.0,0.68,6.8,0.18,0.18,0.42
