Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,29,27.0,1.30,11.7,3.63,30.9,11.74,3.63,0.09,0.31,16.7,0.67,0.19,0.19,1.39,1.25,0.11,-0.09,-0.14
Aston Villa,21,26.0,1.42,13.8,4.88,35.4,13.81,4.88,0.09,0.27,16.0,0.42,0.12,0.15,1.49,1.38,0.10,-0.07,-0.07
Brighton,26,27.0,0.96,12.8,3.37,26.4,12.78,3.37,0.06,0.23,16.1,0.33,0.19,0.30,1.43,1.21,0.10,-0.47,-0.43
Burnley,24,28.0,0.68,9.25,3.07,33.2,9.25,3.07,0.07,0.21,17.1,0.43,0.04,0.04,0.91,0.88,0.10,-0.23,-0.24
Chelsea,27,28.0,1.50,14.1,4.82,34.3,14.07,4.82,0.09,0.26,16.6,0.39,0.25,0.32,1.59,1.35,0.10,-0.09,-0.10
Crystal Palace,22,28.0,1.00,8.71,3.04,34.8,8.71,3.04,0.11,0.31,16.7,0.46,0.07,0.07,0.79,0.74,0.09,0.21,0.19
Everton,26,27.0,1.41,9.52,3.81,40.1,9.52,3.81,0.14,0.34,16.4,0.30,0.11,0.11,1.18,1.10,0.12,0.23,0.19
Fulham,25,28.0,0.75,11.8,3.43,29.1,11.79,3.43,0.06,0.20,17.4,0.36,0.07,0.18,1.12,1.01,0.09,-0.37,-0.33
Leeds United,22,27.0,1.56,14.3,5.19,36.4,14.26,5.19,0.10,0.28,16.0,0.22,0.11,0.11,1.54,1.46,0.10,0.01,-0.01
Leicester City,26,28.0,1.61,11.8,4.14,35.3,11.75,4.14,0.11,0.32,18.3,0.54,0.29,0.36,1.43,1.16,0.10,0.18,0.16
Liverpool,28,28.0,1.57,14.8,4.96,33.5,14.82,4.96,0.09,0.27,16.4,0.54,0.21,0.21,1.81,1.65,0.11,-0.24,-0.29
Manchester City,23,28.0,1.96,15.5,5.57,36.0,15.46,5.57,0.12,0.33,16.6,0.50,0.14,0.25,1.90,1.71,0.11,0.07,0.11
Manchester Utd,25,28.0,1.89,13.6,5.29,38.8,13.61,5.29,0.12,0.30,17.5,0.54,0.29,0.32,1.57,1.33,0.10,0.32,0.28
Newcastle Utd,27,27.0,0.96,9.85,3.26,33.1,9.85,3.26,0.08,0.25,18.1,0.74,0.15,0.15,0.94,0.82,0.08,0.03,-0.01
Sheffield Utd,24,28.0,0.54,8.54,2.71,31.8,8.54,2.71,0.05,0.16,16.7,0.11,0.11,0.14,0.87,0.76,0.09,-0.34,-0.34
Southampton,29,27.0,1.22,10.3,3.81,37.2,10.26,3.81,0.11,0.29,17.5,0.48,0.11,0.11,0.99,0.91,0.09,0.23,0.20
Tottenham,24,27.0,1.67,11.3,4.37,38.7,11.30,4.37,0.14,0.36,17.4,0.93,0.11,0.11,1.37,1.29,0.12,0.30,0.27
West Brom,30,28.0,0.68,8.00,2.64,33.0,8.00,2.64,0.08,0.23,17.7,0.29,0.07,0.07,0.72,0.66,0.09,-0.04,-0.06
West Ham,24,27.0,1.48,11.9,4.22,35.5,11.89,4.22,0.12,0.34,15.1,0.48,0.04,0.07,1.39,1.32,0.12,0.10,0.12
Wolves,25,28.0,0.93,11.8,3.75,31.8,11.79,3.75,0.07,0.21,17.8,0.36,0.14,0.14,1.04,0.93,0.08,-0.11,-0.15
