Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Brenden Aaronson\Brenden-Aaronson,us USA,MF,Philadelphia,19,2000,23,23,1904,21.2,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.19,0.19,0.38,0.19,0.38,0.24,0.24,0.13,0.37,0.24,0.13,0.37,0.24,0.37,Matches
2,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,FC Cincinnati,28,1991,8,5,424,4.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.01,0.01,0.03,0.01,0.03,Matches
3,Mohammed Abu\Mohammed-Abu,gh GHA,MF,D.C. United,28,1991,6,4,333,3.7,0.00,0.00,0.00,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.02,0.02,0.04,0.02,0.04,Matches
4,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Colorado,25,1994,17,17,1514,16.8,0.06,0.00,0.06,0.00,0.00,0.30,0.00,0.06,0.00,0.06,0.06,0.06,0.02,0.02,0.01,0.04,0.03,0.01,0.04,0.03,0.04,Matches
5,David Accam\David-Accam,gh GHA,FWMF,Nashville,29,1990,7,2,207,2.3,0.43,0.00,0.43,0.00,0.00,0.00,0.00,0.43,0.00,0.43,0.43,0.43,0.30,0.30,0.04,0.35,0.30,0.04,0.34,0.30,0.34,Matches
6,Nicolás Acevedo\Nicolas-Acevedo,uy URU,MF,NYCFC,20,1999,12,1,134,1.5,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
7,Ifunanyachi Achara\Ifunanyachi-Achara,us USA,MF,Toronto FC,22,1997,1,1,89,1.0,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.01,0.00,1.01,1.01,1.01,0.80,0.80,0.20,1.00,0.85,0.16,1.01,0.85,1.01,Matches
8,Bryan Acosta\Bryan-Acosta,hn HON,MF,FC Dallas,26,1993,11,10,752,8.4,0.00,0.24,0.00,0.00,0.00,0.36,0.12,0.00,0.24,0.24,0.00,0.24,0.10,0.10,0.20,0.30,0.10,0.20,0.30,0.10,0.30,Matches
9,Kellyn Acosta\Kellyn-Acosta,us USA,MF,Colorado,24,1995,15,14,1146,12.7,0.16,0.08,0.16,0.00,0.00,0.39,0.00,0.16,0.08,0.24,0.16,0.24,0.25,0.25,0.08,0.32,0.25,0.08,0.32,0.25,0.32,Matches
10,Mo Adams\Mo-Adams,eng ENG,MF,Atlanta,23,1996,13,9,779,8.7,0.00,0.11,0.00,0.00,0.00,0.34,0.00,0.00,0.12,0.12,0.00,0.12,0.00,0.00,0.07,0.07,0.00,0.07,0.07,0.00,0.07,Matches
11,Fanendo Adi\Fanendo-Adi,ng NGA,FW,Columbus,29,1990,11,1,181,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.25,0.22,0.02,0.24,0.22,0.24,Matches
