Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Brenden Aaronson\Brenden-Aaronson,us USA,MF,Philadelphia,19,2000,21.2,0.00,0.00,0.00,0.80,1.32,0.19,0.71,0.42,1.42,0.00,0.00,0.00,6.46,0.66,1.32,33.3,Matches
2,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,FC Cincinnati,28,1991,4.7,0.00,0.00,0.00,0.85,1.06,0.21,0.85,1.28,1.28,0.00,0.00,0.00,10.6,1.91,0.21,90.0,Matches
3,Mohammed Abu\Mohammed-Abu,gh GHA,MF,D.C. United,28,1991,3.7,0.54,0.00,0.00,1.89,1.08,0.00,0.27,0.81,1.08,0.00,0.00,0.00,11.6,0.81,1.62,33.3,Matches
4,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Colorado,25,1994,16.8,0.30,0.00,0.00,1.25,0.30,0.06,0.00,0.89,1.07,0.00,0.00,0.06,10.6,2.92,2.08,58.3,Matches
5,David Accam\David-Accam,gh GHA,FWMF,Nashville,29,1990,2.3,0.00,0.00,0.00,3.04,1.74,0.00,2.17,0.43,0.43,0.00,0.00,0.00,6.09,0.43,0.43,50.0,Matches
6,Nicolás Acevedo\Nicolas-Acevedo,uy URU,MF,NYCFC,20,1999,1.5,0.67,0.00,0.00,3.33,1.33,0.00,0.00,0.67,4.67,0.00,0.67,0.00,18.0,2.67,0.67,80.0,Matches
7,Ifunanyachi Achara\Ifunanyachi-Achara,us USA,MF,Toronto FC,22,1997,1.0,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,2.00,0.00,0.00,0.00,15.0,0.00,1.00,0.0,Matches
8,Bryan Acosta\Bryan-Acosta,hn HON,MF,FC Dallas,26,1993,8.4,0.36,0.12,0.12,2.86,1.19,0.12,1.07,0.48,1.43,0.00,0.00,0.00,8.57,1.55,0.71,68.4,Matches
9,Kellyn Acosta\Kellyn-Acosta,us USA,MF,Colorado,24,1995,12.7,0.39,0.00,0.00,1.10,0.94,0.00,0.47,0.08,1.57,0.00,0.00,0.00,7.72,0.63,0.79,44.4,Matches
10,Mo Adams\Mo-Adams,eng ENG,MF,Atlanta,23,1996,8.7,0.34,0.00,0.00,2.99,0.69,0.00,0.11,1.03,1.38,0.00,0.00,0.00,10.3,0.34,0.80,30.0,Matches
11,Fanendo Adi\Fanendo-Adi,ng NGA,FW,Columbus,29,1990,2.0,0.00,0.00,0.00,2.00,3.00,0.50,1.00,0.00,1.00,0.00,0.00,0.00,4.00,3.00,4.50,40.0,Matches
12,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Vancouver,26,1993,19.6,0.10,0.00,0.00,1.02,1.53,0.15,2.14,1.17,1.38,0.00,0.00,0.00,8.16,1.99,0.71,73.6,Matches
13,Harrison Afful\Harrison-Afful,gh GHA,DF,Columbus,33,1986,20.0,0.25,0.00,0.00,1.50,0.85,0.15,2.95,1.20,0.95,0.00,0.10,0.00,9.95,0.90,0.55,62.1,Matches
14,Juan Agudelo\Juan-Agudelo,us USA,FWMF,Miami,27,1992,9.4,0.43,0.11,0.11,1.91,1.49,0.74,0.64,0.32,0.64,0.00,0.00,0.00,5.64,2.66,2.55,51.0,Matches
