Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Jeff Attinella\Jeff-Attinella,us USA,GK,Portland,31,1988,1.0,3.00,0.00,0.00,0.00,0.00,3.00,0.48,0.00,-0.04,6.00,13.0,46.2,27.0,5.00,33.3,36.7,6.00,66.7,51.5,3.00,0.00,0.0,0.00,0.00,11.6,Matches
2,Joe Bendik\Joe-Bendik,us USA,GK,Philadelphia,30,1989,1.0,2.00,0.00,0.00,0.00,0.00,1.00,0.33,-1.00,-0.99,7.00,22.0,31.8,19.0,1.00,73.7,54.4,8.00,100.0,65.6,11.0,0.00,0.0,0.00,0.00,8.70,Matches
3,David Bingham\David-Bingham,us USA,GK,LA Galaxy,30,1989,18.0,1.94,0.17,0.11,0.17,0.00,1.60,0.31,-0.34,-0.34,6.61,16.4,40.2,18.4,3.78,59.3,46.5,7.94,69.2,52.4,8.83,1.00,11.3,0.22,0.22,0.66,Matches
4,Andre Blake\Andre-Blake,jm JAM,GK,Philadelphia,29,1990,21.0,0.86,0.05,0.10,0.14,0.00,1.13,0.29,0.28,+0.27,7.29,19.6,37.2,22.1,4.10,57.2,44.0,8.00,86.3,60.2,10.7,0.86,8.0,0.33,0.33,0.63,Matches
5,Alex Bono\Alex-Bono,us USA,GK,Toronto FC,25,1994,3.0,0.00,0.00,0.00,0.00,0.00,0.77,0.14,0.77,+0.75,7.67,23.3,32.9,28.3,4.67,60.0,44.9,7.33,86.4,57.6,10.3,1.00,9.7,0.67,0.67,4.13,Matches
6,Evan Bush\Evan-Bush,us USA,GK,Vancouver,33,1986,8.0,1.25,0.13,0.00,0.00,0.00,1.26,0.30,0.01,+0.02,6.88,14.3,48.2,26.6,4.63,38.0,36.2,6.38,64.7,46.4,11.8,0.75,6.4,0.63,0.63,1.63,Matches
7,Steve Clark\Steve-Clark,us USA,GK,Portland,33,1986,20.0,1.30,0.05,0.00,0.30,0.00,1.45,0.31,0.00,0.00,8.25,17.9,46.1,29.9,5.30,38.5,36.1,9.75,65.6,47.4,13.2,1.05,8.0,0.40,0.40,0.57,Matches
8,Maxime Crépeau\Maxime-Crepeau,ca CAN,GK,Vancouver,25,1994,3.6,2.78,0.28,0.00,0.83,0.00,1.97,0.33,-0.81,-0.80,10.3,18.1,56.9,27.2,3.61,45.9,37.6,8.33,66.7,48.2,9.44,0.28,2.9,0.56,0.55,3.36,Matches
9,Mario Daniel Vega\Mario-Daniel-Vega,ar ARG,GK,San Jose,35,1984,12.0,3.08,0.25,0.00,0.33,0.17,2.35,0.34,-0.57,-0.56,5.25,12.4,42.3,25.9,3.25,38.3,34.4,7.17,34.9,32.5,5.75,0.67,11.6,0.00,0.00,1.01,Matches
10,Clément Diop\Clement-Diop,sn SEN,GK,Montreal,26,1993,20.0,1.80,0.10,0.00,0.30,0.05,1.84,0.33,0.09,+0.09,3.90,9.75,40.0,22.3,5.30,32.1,32.7,7.80,33.3,33.3,10.8,0.55,5.1,0.40,0.40,0.65,Matches
11,Bobby Edwards\Bobby-Edwards,us USA,GK,FC Cincinnati,24,1995,2.0,1.50,0.50,0.00,0.00,0.00,1.70,0.52,0.20,+0.22,6.50,15.5,41.9,11.0,2.50,54.5,38.4,10.0,95.0,60.1,9.50,0.00,0.0,0.50,0.50,6.60,Matches
12,Matt Freese\Matt-Freese,us USA,GK,Philadelphia,21,1998,1.0,0.00,0.00,0.00,0.00,0.00,0.10,0.11,0.10,+0.11,7.00,24.0,29.2,18.0,1.00,94.4,60.1,7.00,100.0,62.1,13.0,1.00,7.7,0.00,0.00,11.5,Matches
13,Stefan Frei\Stefan-Frei,ch SUI,GK,Seattle,33,1986,22.0,1.05,0.09,0.05,0.18,0.05,1.07,0.28,0.07,+0.07,6.55,12.1,53.9,28.0,4.50,35.7,35.4,6.50,32.9,31.7,7.95,0.91,11.4,0.55,0.55,0.62,Matches
14,Pedro Gallese\Pedro-Gallese,pe PER,GK,Orlando City,29,1990,19.0,1.05,0.05,0.00,0.21,0.05,0.94,0.23,-0.06,-0.06,4.21,9.68,43.5,16.6,3.74,34.5,33.5,8.16,48.4,38.0,11.1,0.68,6.2,0.47,0.47,0.74,Matches
15,Jesse Gonzalez\Jesse-Gonzalez,mx MEX,GK,FC Dallas,24,1995,2.0,1.00,0.00,0.00,0.00,0.00,0.80,0.32,-0.20,-0.19,2.50,7.00,35.7,22.5,5.50,24.4,32.2,8.50,17.6,23.1,6.00,0.00,0.0,0.50,0.50,6.20,Matches
16,Brad Guzan\Brad-Guzan,us USA,GK,Atlanta,35,1984,23.0,1.30,0.00,0.04,0.17,0.00,1.20,0.32,-0.11,-0.11,8.78,16.2,54.2,34.2,4.48,42.2,36.5,6.26,28.5,30.5,6.22,0.43,7.0,0.70,0.70,0.65,Matches
17,Bill Hamid\Bill-Hamid,us USA,GK,D.C. United,29,1990,17.0,1.88,0.12,0.00,0.41,0.06,1.52,0.29,-0.30,-0.30,4.24,12.9,32.9,20.8,3.41,39.5,36.8,7.65,60.8,44.9,10.3,0.65,6.3,0.18,0.18,0.74,Matches
18,Thomas Hasal\Thomas-Hasal,ca CAN,GK,Vancouver,20,1999,8.4,1.79,0.12,0.00,0.00,0.00,1.39,0.25,-0.27,-0.27,7.14,16.9,42.3,22.1,4.52,46.2,39.2,11.1,60.2,43.7,11.2,0.36,3.2,0.24,0.24,1.31,Matches
19,Clint Irwin\Clint-Irwin,us USA,GK,Colorado,30,1989,4.0,2.00,0.00,0.00,0.75,0.00,1.80,0.30,-0.20,-0.20,5.50,12.5,44.0,24.0,6.00,43.8,36.4,6.25,32.0,32.0,7.25,1.00,13.8,1.50,1.50,4.03,Matches
20,Aljaž Ivačič\Aljaz-Ivacic,si SVN,GK,Portland,26,1993,2.0,1.50,0.00,0.00,0.50,0.00,1.20,0.33,-0.30,-0.30,4.50,17.5,25.7,26.5,1.00,52.8,41.9,7.50,46.7,41.8,8.00,1.00,12.5,1.50,1.50,7.70,Matches
21,David Jensen\David-Jensen,dk DEN,GK,NY Red Bulls,27,1992,10.3,1.46,0.00,0.10,0.19,0.10,1.11,0.32,-0.25,-0.25,5.92,17.3,34.3,17.5,3.40,66.1,48.2,6.60,86.8,57.3,7.77,0.49,6.3,0.97,0.97,1.50,Matches
22,Sean Johnson\Sean-Johnson,us USA,GK,NYCFC,30,1989,23.0,1.09,0.13,0.00,0.04,0.00,1.26,0.27,0.17,+0.17,4.78,12.7,37.8,26.7,4.00,33.5,34.5,6.83,54.1,42.4,8.04,0.43,5.4,0.39,0.39,0.56,Matches
23,Jonathan Klinsmann\Jonathan-Klinsmann,us USA,GK,LA Galaxy,22,1997,4.0,2.75,0.25,0.00,0.50,0.00,2.27,0.31,-0.47,-0.47,6.75,17.8,38.0,18.3,4.00,67.1,47.7,6.50,84.6,62.5,7.00,0.50,7.1,0.25,0.25,2.88,Matches
24,Brad Knighton\Brad-Knighton,us USA,GK,New England,34,1985,1.0,1.00,0.00,0.00,0.00,0.00,1.90,0.32,0.90,+0.93,12.0,22.0,54.5,24.0,9.00,75.0,54.8,8.00,50.0,46.6,13.0,1.00,7.7,1.00,1.00,16.3,Matches
25,Kenneth Kronholm\Kenneth-Kronholm,de GER,GK,Chicago,34,1985,5.0,1.60,0.00,0.00,0.40,0.00,1.36,0.49,-0.24,-0.23,5.20,9.80,53.1,23.0,3.20,31.3,32.6,5.60,46.4,39.6,8.00,0.60,7.5,0.20,0.20,2.46,Matches
26,Zac MacMath\Zac-MacMath,us USA,GK,Real Salt Lake,28,1991,6.0,1.17,0.00,0.00,0.17,0.00,1.37,0.39,0.20,+0.20,7.33,21.2,34.6,33.7,5.17,45.0,38.8,7.17,83.7,63.5,6.50,1.33,20.5,1.50,1.50,2.77,Matches
27,J.T. Marcinkowski\JT-Marcinkowski,us USA,GK,San Jose,22,1997,11.0,1.27,0.00,0.09,0.00,0.09,1.06,0.31,-0.12,-0.11,6.55,13.9,47.1,29.9,3.45,38.0,35.1,6.36,40.0,34.8,5.91,0.36,6.2,0.36,0.36,1.19,Matches
28,Marko Marić\Marko-Maric,hr CRO,GK,Houston,24,1996,23.0,1.74,0.13,0.04,0.13,0.04,1.73,0.33,0.03,+0.03,4.39,12.0,36.7,21.3,4.78,40.9,36.8,8.43,38.7,35.2,10.9,0.52,4.8,0.43,0.43,0.54,Matches
29,Jimmy Maurer\Jimmy-Maurer,us USA,GK,FC Dallas,31,1988,15.5,0.84,0.13,0.00,0.06,0.00,1.01,0.21,0.17,+0.17,5.10,11.0,46.5,22.0,4.71,32.3,32.0,9.10,42.6,36.1,10.4,0.58,5.6,0.32,0.32,0.91,Matches
30,John McCarthy\John-McCarthy,us USA,GK,Miami,27,1992,8.0,1.25,0.25,0.00,0.13,0.00,1.13,0.27,-0.13,-0.12,4.25,11.1,38.2,14.3,3.75,47.4,40.4,6.88,63.6,44.1,7.63,0.75,9.8,0.13,0.13,1.45,Matches
