Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Brenden Aaronson\Brenden-Aaronson,us USA,MF,Philadelphia,19,2000,21.2,0.19,1.70,0.80,47.2,1.70,0.80,0.11,0.24,14.9,0.00,0.00,0.00,0.24,0.24,0.14,-0.05,-0.05,Matches
2,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,FC Cincinnati,28,1991,4.7,0.00,0.43,0.00,0.0,0.42,0.00,0.00,,18.5,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
3,Mohammed Abu\Mohammed-Abu,gh GHA,MF,D.C. United,28,1991,3.7,0.00,0.27,0.00,0.0,0.27,0.00,0.00,,23.0,0.00,0.00,0.00,0.03,0.03,0.06,-0.03,-0.03,Matches
4,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Colorado,25,1994,16.8,0.06,0.24,0.06,25.0,0.24,0.06,0.25,1.00,9.5,0.00,0.00,0.00,0.02,0.02,0.11,0.04,0.04,Matches
5,David Accam\David-Accam,gh GHA,FWMF,Nashville,29,1990,2.3,0.43,2.61,1.30,50.0,2.61,1.30,0.17,0.33,22.0,0.00,0.00,0.00,0.30,0.30,0.12,0.13,0.13,Matches
6,Nicolás Acevedo\Nicolas-Acevedo,uy URU,MF,NYCFC,20,1999,1.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
7,Ifunanyachi Achara\Ifunanyachi-Achara,us USA,MF,Toronto FC,22,1997,1.0,1.00,2.00,2.00,100.0,2.02,2.02,0.50,0.50,13.7,0.00,0.00,0.00,0.80,0.80,0.42,0.20,0.20,Matches
8,Bryan Acosta\Bryan-Acosta,hn HON,MF,FC Dallas,26,1993,8.4,0.00,2.02,0.95,47.1,2.03,0.96,0.00,0.00,21.5,0.12,0.00,0.00,0.10,0.10,0.05,-0.10,-0.10,Matches
9,Kellyn Acosta\Kellyn-Acosta,us USA,MF,Colorado,24,1995,12.7,0.16,2.05,0.87,42.3,2.04,0.86,0.08,0.18,20.0,0.00,0.00,0.00,0.25,0.25,0.12,-0.09,-0.09,Matches
10,Mo Adams\Mo-Adams,eng ENG,MF,Atlanta,23,1996,8.7,0.00,0.11,0.00,0.0,0.12,0.00,0.00,,24.0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
