Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Brenden Aaronson\Brenden-Aaronson,us USA,MF,Philadelphia,19,2000,21.2,21.3,26.8,79.4,331.1,72.7,11.5,13.0,88.0,7.83,9.29,84.3,1.56,3.11,50.0,0.19,0.13,0.06,1.27,1.46,0.61,0.05,1.84,Matches
2,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,FC Cincinnati,28,1991,4.7,40.4,47.7,84.8,772.1,222.8,14.9,16.6,89.7,18.7,21.3,88.0,5.32,7.45,71.4,0.00,0.02,-0.02,0.43,0.85,0.00,0.00,2.34,Matches
3,Mohammed Abu\Mohammed-Abu,gh GHA,MF,D.C. United,28,1991,3.7,51.4,60.0,85.6,931.4,272.7,25.1,27.8,90.3,18.4,21.9,84.0,6.76,8.11,83.3,0.00,0.03,-0.03,0.54,4.59,0.54,0.00,4.86,Matches
4,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Colorado,25,1994,16.8,50.2,55.4,90.8,1138.4,378.7,13.1,14.0,93.2,26.4,28.3,93.3,10.7,12.3,86.5,0.00,0.01,-0.01,0.18,2.62,0.00,0.00,2.32,Matches
5,David Accam\David-Accam,gh GHA,FWMF,Nashville,29,1990,2.3,18.3,25.2,72.4,327.0,66.5,9.13,11.3,80.8,7.39,10.0,73.9,1.74,2.61,66.7,0.00,0.04,-0.04,1.30,1.30,0.87,0.43,1.74,Matches
6,Nicolás Acevedo\Nicolas-Acevedo,uy URU,MF,NYCFC,20,1999,1.5,54.7,65.3,83.7,1012.0,195.3,22.0,24.0,91.7,27.3,33.3,82.0,5.33,6.00,88.9,0.00,0.00,0.00,0.00,5.33,0.00,0.00,1.33,Matches
7,Ifunanyachi Achara\Ifunanyachi-Achara,us USA,MF,Toronto FC,22,1997,1.0,25.0,29.0,86.2,395.0,126.0,13.0,16.0,81.3,5.00,6.00,83.3,4.00,4.00,100.0,0.00,0.20,-0.20,1.00,0.00,0.00,0.00,1.00,Matches
8,Bryan Acosta\Bryan-Acosta,hn HON,MF,FC Dallas,26,1993,8.4,47.9,55.4,86.5,1035.6,298.0,15.8,17.4,91.1,22.5,24.3,92.6,8.93,12.1,73.5,0.24,0.20,0.04,1.79,6.90,0.83,0.12,7.14,Matches
9,Kellyn Acosta\Kellyn-Acosta,us USA,MF,Colorado,24,1995,12.7,32.8,38.0,86.1,636.9,142.9,12.2,14.1,86.6,15.8,17.2,92.2,4.33,5.59,77.5,0.08,0.08,0.00,0.71,2.52,0.39,0.08,2.52,Matches
10,Mo Adams\Mo-Adams,eng ENG,MF,Atlanta,23,1996,8.7,46.6,51.6,90.2,925.7,177.4,18.4,19.7,93.6,20.0,21.1,94.6,7.70,9.20,83.8,0.11,0.07,0.05,0.46,4.60,0.34,0.00,2.64,Matches
11,Fanendo Adi\Fanendo-Adi,ng NGA,FW,Columbus,29,1990,2.0,16.5,27.5,60.0,233.0,31.5,8.50,13.0,65.4,6.00,9.50,63.2,0.50,2.00,25.0,0.00,0.00,0.00,0.50,1.00,0.50,0.00,1.50,Matches
12,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Vancouver,26,1993,19.6,35.9,49.2,73.0,733.9,319.3,11.5,14.1,81.5,18.6,23.7,78.7,5.41,9.74,55.5,0.20,0.18,0.03,0.82,2.60,1.07,0.31,4.64,Matches
