Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Brenden Aaronson\Brenden-Aaronson,us USA,MF,Philadelphia,19,2000,21.2,26.8,25.2,1.56,0.42,0.09,5.71,0.61,0.71,0.80,0.05,0.33,0.05,21.3,3.16,2.36,1.75,23.5,0.57,0.28,0.09,21.3,0.19,0.80,0.38,0.85,Matches
2,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,FC Cincinnati,28,1991,4.7,47.7,37.2,10.4,0.43,0.00,3.83,0.64,0.85,0.00,0.00,0.00,0.00,27.9,12.1,7.66,4.47,28.1,3.19,10.0,0.21,40.4,0.00,0.43,0.64,1.06,Matches
3,Mohammed Abu\Mohammed-Abu,gh GHA,MF,D.C. United,28,1991,3.7,60.0,58.4,1.62,0.81,0.00,5.95,2.16,0.27,0.00,0.00,0.00,0.00,43.8,8.92,7.30,50.8,7.03,1.35,0.00,0.27,51.4,0.00,0.54,0.81,1.62,Matches
4,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Colorado,25,1994,16.8,55.4,54.3,1.01,0.83,0.00,4.64,1.85,0.00,0.00,0.00,0.00,0.00,44.9,4.40,6.07,2.86,48.8,2.38,0.18,0.06,50.2,0.06,0.77,0.71,0.60,Matches
5,David Accam\David-Accam,gh GHA,FWMF,Nashville,29,1990,2.3,25.2,24.8,0.43,0.00,0.43,6.09,0.43,2.17,0.00,0.00,0.00,0.00,16.5,3.48,5.22,3.91,18.7,1.74,0.43,0.00,18.3,0.00,0.00,0.87,1.74,Matches
6,Nicolás Acevedo\Nicolas-Acevedo,uy URU,MF,NYCFC,20,1999,1.5,65.3,63.3,2.00,1.33,0.00,12.7,1.33,0.00,0.00,0.00,0.00,0.00,52.0,3.33,10.0,14.7,46.0,2.00,0.00,0.00,54.7,0.00,0.00,0.67,0.67,Matches
7,Ifunanyachi Achara\Ifunanyachi-Achara,us USA,MF,Toronto FC,22,1997,1.0,29.0,29.0,0.00,0.00,0.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,21.0,5.00,3.00,6.00,21.0,2.00,0.00,0.00,25.0,0.00,0.00,1.00,1.00,Matches
8,Bryan Acosta\Bryan-Acosta,hn HON,MF,FC Dallas,26,1993,8.4,55.4,52.1,3.21,2.50,0.00,6.07,2.50,1.07,0.12,0.00,0.12,0.00,40.5,6.31,8.57,7.98,44.8,1.31,0.60,0.12,47.9,0.12,0.95,0.36,0.71,Matches
9,Kellyn Acosta\Kellyn-Acosta,us USA,MF,Colorado,24,1995,12.7,38.0,37.3,0.71,0.55,0.08,5.98,1.10,0.47,0.00,0.00,0.00,0.00,29.9,4.25,3.86,15.0,21.2,1.02,0.16,0.16,32.8,0.00,0.55,0.55,0.87,Matches
10,Mo Adams\Mo-Adams,eng ENG,MF,Atlanta,23,1996,8.7,51.6,49.9,1.72,1.38,0.11,5.63,1.72,0.11,0.00,0.00,0.00,0.00,44.1,3.56,3.91,5.17,44.9,0.80,0.34,0.11,46.6,0.00,0.34,0.46,1.61,Matches
11,Fanendo Adi\Fanendo-Adi,ng NGA,FW,Columbus,29,1990,2.0,27.5,26.5,1.00,0.00,0.00,8.00,0.00,1.00,0.50,0.00,0.00,0.00,14.5,9.00,4.00,4.50,14.5,5.50,0.00,1.50,16.5,0.00,0.50,0.00,1.50,Matches
12,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Vancouver,26,1993,19.6,49.2,41.2,8.01,1.38,0.15,6.48,1.48,2.14,0.56,0.31,0.20,0.00,25.8,8.57,14.9,28.5,10.4,2.60,6.07,0.20,35.9,0.10,1.12,0.56,1.79,Matches
13,Harrison Afful\Harrison-Afful,gh GHA,DF,Columbus,33,1986,20.0,68.3,59.5,8.85,0.75,0.05,7.55,1.60,2.95,0.00,0.00,0.00,0.00,42.1,12.8,13.4,8.20,49.5,1.75,8.10,0.30,54.1,0.25,0.90,0.55,2.25,Matches
14,Juan Agudelo\Juan-Agudelo,us USA,FWMF,Miami,27,1992,9.4,27.4,26.6,0.85,0.11,0.11,7.66,0.53,0.64,0.00,0.00,0.00,0.00,19.0,4.89,3.51,2.45,21.4,1.38,0.00,0.43,20.3,0.53,0.64,0.21,0.96,Matches
15,Matheus Aiás\Matheus-Aias,br BRA,FW,Orlando City,23,1996,0.2,35.0,25.0,10.0,0.00,0.00,10.0,0.00,5.00,0.00,0.00,0.00,0.00,30.0,0.00,5.00,5.00,30.0,0.00,0.00,0.00,25.0,0.00,0.00,0.00,0.00,Matches
16,José Aja\Jose-Aja,uy URU,DF,Minnesota,26,1993,11.9,36.7,35.5,1.26,0.92,0.00,4.03,1.26,0.17,0.00,0.00,0.00,0.00,24.6,3.53,8.57,2.61,30.1,2.02,0.34,0.08,29.7,0.00,0.92,0.25,0.34,Matches
17,Jacob Akanyirige\Jacob-Akanyirige,us USA,DF,San Jose,18,2001,0.8,45.0,45.0,0.00,0.00,1.25,2.50,0.00,0.00,0.00,0.00,0.00,0.00,36.3,0.00,8.75,7.50,33.8,1.25,0.00,0.00,38.8,0.00,1.25,0.00,0.00,Matches
18,Tesho Akindele\Tesho-Akindele,ca CAN,FW,Orlando City,27,1992,9.1,30.1,28.8,1.32,0.00,0.00,6.70,0.44,0.44,0.00,0.00,0.00,0.00,20.5,5.49,4.07,2.64,24.2,1.87,0.00,0.33,23.6,0.11,0.11,0.33,1.43,Matches
19,Ayo Akinola\Ayo-Akinola,us USA,FW,Toronto FC,20,2000,11.8,14.4,13.2,1.19,0.00,0.00,3.90,0.17,0.34,0.00,0.00,0.00,0.00,10.5,2.46,1.44,2.97,8.98,0.93,0.00,0.59,11.2,0.00,0.00,0.25,0.68,Matches
20,Oswaldo Alanís\Oswaldo-Alanis,mx MEX,DF,San Jose,30,1989,13.2,63.3,61.1,2.20,2.05,0.15,7.12,4.47,0.15,0.00,0.00,0.00,0.00,43.1,7.50,12.7,51.1,8.71,2.05,0.15,0.00,55.3,0.08,0.68,0.83,0.91,Matches
21,Fatai Alashe\Fatai-Alashe,us USA,MF,Columbus,26,1993,4.8,47.7,46.9,0.83,0.83,0.00,6.25,1.04,0.00,0.00,0.00,0.00,0.00,36.3,6.04,5.42,4.58,40.4,1.88,0.00,0.21,39.6,0.00,1.46,0.21,0.83,Matches
22,Fatai Alashe\Fatai-Alashe,us USA,MF,FC Cincinnati,26,1993,0.3,16.7,16.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.3,3.33,0.00,0.00,16.7,0.00,0.00,0.00,16.7,0.00,0.00,0.00,0.00,Matches
23,Ignacio Aliseda\Ignacio-Aliseda,ar ARG,FWMF,Chicago,19,2000,15.5,25.4,25.1,0.32,0.13,0.19,5.55,0.26,0.71,0.06,0.06,0.00,0.00,20.5,2.90,2.06,2.26,21.5,0.90,0.00,0.45,21.6,0.06,0.13,0.13,1.16,Matches
24,Osvaldo Alonso\Osvaldo-Alonso,cu CUB,MF,Minnesota,34,1985,8.3,58.9,56.3,2.65,2.29,0.00,7.71,2.05,0.24,0.00,0.00,0.00,0.00,45.4,7.47,6.02,6.99,48.6,2.17,0.36,0.00,53.9,0.00,0.48,0.60,0.96,Matches
25,Jozy Altidore\Jozy-Altidore,us USA,FWMF,Toronto FC,30,1989,8.3,29.0,28.2,0.84,0.00,0.00,7.71,1.20,0.48,0.00,0.00,0.00,0.00,17.8,6.39,4.82,4.34,20.7,1.69,0.36,0.48,22.5,0.12,0.24,0.48,1.08,Matches
26,Alexander Alvarado\Alexander-Alvarado,ec ECU,FWMF,Orlando City,20,1999,0.3,30.0,30.0,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,30.0,0.00,0.00,3.33,26.7,0.00,0.00,0.00,30.0,0.00,0.00,0.00,0.00,Matches
27,Efrain Alvarez\Efrain-Alvarez,mx MEX,FWMF,LA Galaxy,17,2002,8.0,46.8,40.3,6.50,1.38,0.25,5.75,3.88,1.50,5.00,2.50,1.00,0.25,30.6,4.88,11.3,43.6,2.25,0.63,0.13,0.00,33.5,0.13,0.75,1.38,1.63,Matches
28,Luis Amarilla\Luis-Amarilla,py PAR,FW,Minnesota,24,1995,4.7,26.6,25.3,1.28,0.00,0.00,8.09,0.43,0.43,0.00,0.00,0.00,0.00,15.5,8.09,2.98,3.40,19.8,0.64,0.00,1.49,19.4,0.21,0.64,0.85,0.85,Matches
29,Frankie Amaya\Frankie-Amaya,us USA,MF,FC Cincinnati,19,2000,19.3,48.6,46.5,2.12,1.50,0.05,7.15,2.23,0.31,0.16,0.10,0.05,0.00,38.3,4.20,6.06,5.49,41.9,0.52,0.10,0.05,41.9,0.00,0.98,0.36,0.52,Matches
30,Mikey Ambrose\Mikey-Ambrose,us USA,DF,Miami,26,1993,3.4,40.0,31.5,8.53,1.18,0.00,3.24,0.29,1.76,0.00,0.00,0.00,0.00,21.2,7.35,11.5,28.2,1.76,1.76,7.35,0.00,32.9,0.29,1.47,0.59,1.18,Matches
31,José Andrés Martínez\Jose-Andres-Martinez,ve VEN,MF,Philadelphia,25,1994,12.7,49.0,48.1,0.87,0.87,0.00,7.72,3.86,0.24,0.00,0.00,0.00,0.00,35.4,5.28,8.27,2.52,43.1,1.97,0.00,0.31,40.8,0.16,1.02,0.94,0.94,Matches
32,Jalil Anibaba\Jalil-Anibaba,us USA,DF,Nashville,31,1988,6.5,38.5,30.6,7.85,0.92,0.00,2.31,1.85,1.69,0.00,0.00,0.00,0.00,19.4,6.62,12.5,5.69,23.2,1.85,6.92,0.15,28.9,0.31,1.69,0.62,0.31,Matches
33,Brian Anunga\Brian-Anunga,cm CMR,MF,Nashville,23,1996,8.7,44.6,44.6,0.00,0.00,0.00,7.70,0.92,0.11,0.00,0.00,0.00,0.00,34.9,5.29,4.37,2.76,39.2,1.49,0.00,0.34,39.4,0.00,0.69,0.34,1.03,Matches
34,Julian Araujo\Julian-Araujo,us USA,DFFW,LA Galaxy,18,2001,14.3,42.0,36.7,5.31,0.49,0.07,5.87,0.91,2.17,0.07,0.07,0.00,0.00,26.1,7.34,8.60,2.38,31.6,1.75,4.76,0.00,31.0,0.07,1.05,0.70,2.24,Matches
35,Luis Argudo\Luis-Argudo,us USA,MF,Miami,24,1995,0.1,120.0,120.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,110.0,10.0,0.00,0.00,120.0,0.00,0.00,0.00,90.0,0.00,0.00,0.00,20.0,Matches
36,Daniel Armando Ríos\Daniel-Armando-Rios,mx MEX,FW,Nashville,24,1995,7.8,21.8,20.8,1.03,0.00,0.00,7.31,0.38,0.51,0.00,0.00,0.00,0.00,15.9,2.82,3.08,4.23,14.0,1.15,0.00,0.51,18.1,0.00,0.51,0.26,0.64,Matches
37,Xavier Arreaga\Xavier-Arreaga,ec ECU,DF,Seattle,25,1994,12.7,57.1,55.7,1.34,1.34,0.08,5.59,2.52,0.00,0.00,0.00,0.00,0.00,45.9,5.12,6.06,19.4,35.0,1.34,0.00,0.00,52.3,0.16,0.39,0.39,0.16,Matches
38,Paul Arriola\Paul-Arriola,us USA,MF,D.C. United,24,1995,0.2,80.0,70.0,10.0,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,60.0,15.0,5.00,20.0,55.0,0.00,5.00,0.00,60.0,0.00,0.00,5.00,5.00,Matches
39,Artur\Artur,br BRA,MF,Columbus,23,1996,20.3,59.8,58.3,1.53,1.53,0.15,9.80,3.35,0.34,0.00,0.00,0.00,0.00,47.5,5.32,6.95,6.50,51.8,0.89,0.00,0.15,52.9,0.05,0.99,0.64,1.03,Matches
40,Yamil Asad\Yamil-Asad,ar ARG,MFFW,D.C. United,25,1994,17.5,46.0,43.2,2.80,1.66,0.17,5.94,1.54,1.26,0.63,0.46,0.17,0.00,33.5,5.71,6.80,5.20,37.1,2.46,0.34,0.40,35.6,0.17,1.26,0.74,1.20,Matches
41,Dairon Asprilla\Dairon-Asprilla,co COL,FW,Portland,27,1992,0.5,36.0,32.0,4.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,24.0,4.00,8.00,2.00,28.0,2.00,4.00,0.00,22.0,0.00,0.00,2.00,2.00,Matches
42,Joshua Atencio\Joshua-Atencio,us USA,MF,Seattle,18,2002,0.2,175.0,175.0,0.00,0.00,0.00,25.0,0.00,0.00,0.00,0.00,0.00,0.00,145.0,20.0,10.0,35.0,140.0,0.00,0.00,0.00,160.0,0.00,0.00,5.00,10.0,Matches
43,Jeff Attinella\Jeff-Attinella,us USA,GK,Portland,31,1988,1.0,33.0,26.0,7.00,1.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,18.0,2.00,13.0,2.00,25.0,0.00,0.00,5.00,26.0,1.00,0.00,0.00,0.00,Matches
44,Eduard Atuesta\Eduard-Atuesta,co COL,MF,Los Angeles FC,22,1997,14.7,85.7,80.8,4.90,4.63,0.20,11.3,2.31,1.22,0.27,0.20,0.00,0.07,69.0,6.73,10.0,18.6,64.7,1.36,0.00,0.48,72.3,0.61,1.09,1.02,1.97,Matches
45,Auro\Auro,br BRA,DF,Toronto FC,24,1996,16.6,73.6,63.8,9.76,1.45,0.18,8.61,2.05,2.17,0.06,0.00,0.06,0.00,49.6,11.7,12.3,5.12,57.9,1.63,8.25,0.30,61.6,0.12,1.57,1.33,2.41,Matches
46,Micheal Azira\Micheal-Azira,ug UGA,MF,Chicago,32,1987,1.4,56.4,54.3,2.14,0.71,0.00,10.7,0.71,0.00,0.00,0.00,0.00,0.00,37.9,12.1,6.43,5.00,42.1,3.57,1.43,0.71,46.4,0.00,2.14,0.71,1.43,Matches
47,Dominique Badji\Dominique-Badji,sn SEN,FW,Nashville,27,1992,8.3,17.1,16.1,0.96,0.00,0.00,5.42,0.60,0.60,0.00,0.00,0.00,0.00,12.0,2.65,2.41,6.39,8.07,1.20,0.00,0.36,13.0,0.00,0.72,0.36,0.84,Matches
48,Zico Bailey\Zico-Bailey,us USA,DF,FC Cincinnati,19,2000,3.3,52.4,43.3,9.09,0.61,0.30,5.15,0.61,0.61,0.00,0.00,0.00,0.00,39.1,7.58,5.76,6.36,36.1,0.91,8.48,0.30,47.6,0.30,0.30,0.61,1.52,Matches
49,Theo Bair\Theo-Bair,ca CAN,FWMF,Vancouver,20,1999,4.9,19.2,19.0,0.20,0.00,0.00,6.12,0.00,1.02,0.00,0.00,0.00,0.00,13.3,3.67,2.24,1.84,13.7,1.22,0.00,0.00,14.7,0.00,0.41,0.00,0.41,Matches
50,Corey Baird\Corey-Baird,us USA,FWMF,Real Salt Lake,24,1996,17.0,33.2,31.1,2.12,0.12,0.06,5.24,0.35,1.76,0.06,0.06,0.00,0.00,24.0,5.35,3.88,4.18,26.2,1.29,0.94,0.29,25.2,0.06,0.53,0.76,1.53,Matches
51,Michael Baldisimo\Michael-Baldisimo,ca CAN,MF,Vancouver,19,2000,7.8,55.1,50.1,5.00,2.44,0.00,7.31,4.87,0.26,2.18,0.77,1.03,0.13,39.4,3.33,12.4,10.1,43.5,1.15,0.00,0.26,45.6,0.13,1.03,1.15,0.77,Matches
52,Ezequiel Barco\Ezequiel-Barco,ar ARG,FWMF,Atlanta,20,1999,11.5,52.5,47.7,4.78,2.09,0.09,5.83,1.57,0.70,1.65,0.43,1.04,0.09,39.6,6.61,6.35,3.74,46.3,0.87,1.04,0.52,43.6,0.35,0.35,1.22,0.87,Matches
53,Tom Barlow\Tom-Barlow,us USA,FW,NY Red Bulls,24,1995,10.8,20.3,19.3,1.02,0.00,0.00,6.20,0.09,1.02,0.00,0.00,0.00,0.00,12.5,4.35,3.43,2.96,12.4,1.94,0.09,0.65,14.3,0.00,0.46,0.19,0.93,Matches
54,Álvaro Barreal\Alvaro-Barreal,ar ARG,FW,FC Cincinnati,19,2000,3.6,24.4,23.6,0.83,0.56,0.00,4.44,1.11,1.39,0.28,0.28,0.00,0.00,17.5,1.67,5.28,22.8,0.83,0.28,0.00,0.00,16.4,0.28,0.28,0.56,0.83,Matches
55,Michael Barrios\Michael-Barrios,co COL,FW,FC Dallas,28,1991,18.6,31.9,28.9,3.01,0.11,0.11,5.38,1.24,3.92,1.67,0.38,0.70,0.11,20.2,5.05,6.67,2.80,25.9,0.86,1.18,0.43,21.3,0.16,0.54,0.59,1.83,Matches
56,Cole Bassett\Cole-Bassett,us USA,MF,Colorado,18,2001,10.9,42.3,39.9,2.39,1.10,0.00,6.79,1.10,1.74,0.92,0.73,0.18,0.00,34.2,4.22,3.85,8.53,31.5,0.83,0.28,0.46,34.1,0.18,0.73,0.55,1.47,Matches
57,Clement Bayiha\Clement-Bayiha,ca CAN,DF,Montreal,20,1999,0.8,40.0,33.8,6.25,0.00,0.00,7.50,1.25,2.50,0.00,0.00,0.00,0.00,31.3,6.25,2.50,6.25,27.5,0.00,6.25,0.00,30.0,0.00,1.25,0.00,5.00,Matches
58,Tanner Beason\Tanner-Beason,us USA,DF,San Jose,22,1997,9.0,54.2,52.9,1.33,1.00,0.00,5.00,2.00,0.33,0.00,0.00,0.00,0.00,40.3,4.78,9.11,43.7,6.56,2.78,0.33,0.00,45.9,0.11,2.22,0.33,0.89,Matches
59,Brayan Beckeles\Brayan-Beckeles,hn HON,DF,Nashville,34,1985,0.8,45.0,35.0,10.0,3.75,0.00,3.75,0.00,1.25,0.00,0.00,0.00,0.00,27.5,11.3,6.25,6.25,28.8,3.75,6.25,0.00,37.5,0.00,0.00,3.75,0.00,Matches
60,Kyle Beckerman\Kyle-Beckerman,us USA,MF,Real Salt Lake,37,1982,4.3,50.5,49.8,0.70,0.70,0.00,7.21,1.86,0.47,0.00,0.00,0.00,0.00,37.2,6.51,6.74,8.60,39.1,1.86,0.00,0.47,42.1,0.23,0.70,1.16,1.16,Matches
61,Alejandro Bedoya\Alejandro-Bedoya,us USA,MF,Philadelphia,32,1987,20.3,51.3,48.9,2.41,0.39,0.15,8.97,1.23,1.82,0.00,0.00,0.00,0.00,35.9,8.47,6.95,7.78,37.6,1.97,2.02,0.05,40.4,0.20,0.89,0.44,2.32,Matches
62,George Bello\George-Bello,us USA,DF,Atlanta,18,2002,18.3,51.2,42.8,8.42,0.98,0.05,6.17,0.71,1.86,0.00,0.00,0.00,0.00,37.4,8.47,5.30,38.1,4.48,0.60,7.43,0.11,43.4,0.05,0.38,0.49,1.31,Matches
63,Jordan Bender\Jordan-Bender,us USA,MF,Orlando City,18,2001,0.5,22.0,22.0,0.00,0.00,0.00,4.00,0.00,2.00,0.00,0.00,0.00,0.00,18.0,2.00,2.00,6.00,16.0,0.00,0.00,0.00,14.0,0.00,0.00,2.00,2.00,Matches
64,Joe Bendik\Joe-Bendik,us USA,GK,Philadelphia,30,1989,1.0,27.0,16.0,11.0,3.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,22.0,22.0,1.00,0.00,0.00,1.00,12.0,0.00,2.00,0.00,0.00,Matches
65,Nicolas Benezet\Nicolas-Benezet,fr FRA,FWMF,Colorado,28,1991,5.5,49.8,47.8,2.00,0.73,0.00,6.73,0.91,2.91,0.73,0.36,0.18,0.00,40.2,4.36,5.27,11.6,37.3,0.18,0.36,0.36,40.0,0.00,0.55,1.27,1.82,Matches
66,Sebastian Berhalter\Sebastian-Berhalter,us USA,MF,Columbus,18,2001,4.4,64.1,61.1,2.95,2.05,0.00,11.4,3.86,0.00,0.91,0.45,0.00,0.00,50.7,4.32,9.09,7.50,55.2,0.91,0.00,0.00,53.9,0.00,1.82,0.91,2.05,Matches
67,Robert Berić\Robert-Beric,si SVN,FW,Chicago,28,1991,21.4,22.6,20.0,2.52,0.00,0.09,5.79,0.47,1.12,0.00,0.00,0.00,0.00,15.8,3.97,2.80,2.10,18.3,0.93,0.14,0.56,16.0,0.05,0.75,0.23,1.59,Matches
68,Matt Besler\Matt-Besler,us USA,DF,Sporting KC,32,1987,9.0,70.3,68.7,1.67,1.56,0.00,4.78,2.56,0.00,0.00,0.00,0.00,0.00,51.6,5.67,13.1,56.6,9.56,2.33,0.11,0.44,61.9,0.00,0.89,0.67,0.00,Matches
69,Nick Besler\Nick-Besler,us USA,MFDF,Real Salt Lake,26,1993,6.3,44.4,43.2,1.27,0.79,0.00,6.98,1.59,0.16,0.00,0.00,0.00,0.00,32.4,5.56,6.51,4.29,37.1,2.06,0.48,0.00,37.5,0.00,1.11,0.63,0.32,Matches
