Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
1,Brenden Aaronson\Brenden-Aaronson,us USA,MF,Philadelphia,19,2000,21.2,2.64,2.65,1.84,0.09,0.33,0.28,0.05,0.05,0.52,0.52,0.42,0.00,0.00,0.05,0.00,0.05,0.00,Matches
2,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,FC Cincinnati,28,1991,4.7,1.06,1.06,0.64,0.21,0.00,0.21,0.00,0.00,0.21,0.21,0.00,0.21,0.00,0.00,0.00,0.00,0.00,Matches
3,Mohammed Abu\Mohammed-Abu,gh GHA,MF,D.C. United,28,1991,3.7,0.81,0.81,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
4,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Colorado,25,1994,16.8,0.54,0.54,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,David Accam\David-Accam,gh GHA,FWMF,Nashville,29,1990,2.3,1.74,1.74,1.30,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Nicolás Acevedo\Nicolas-Acevedo,uy URU,MF,NYCFC,20,1999,1.5,2.00,2.01,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
7,Ifunanyachi Achara\Ifunanyachi-Achara,us USA,MF,Toronto FC,22,1997,1.0,1.00,1.01,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
8,Bryan Acosta\Bryan-Acosta,hn HON,MF,FC Dallas,26,1993,8.4,3.10,3.11,2.50,0.12,0.00,0.36,0.12,0.00,0.36,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.00,Matches
9,Kellyn Acosta\Kellyn-Acosta,us USA,MF,Colorado,24,1995,12.7,1.89,1.88,1.42,0.00,0.16,0.16,0.08,0.08,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,Matches
10,Mo Adams\Mo-Adams,eng ENG,MF,Atlanta,23,1996,8.7,1.15,1.16,1.15,0.00,0.00,0.00,0.00,0.00,0.11,0.12,0.11,0.00,0.00,0.00,0.00,0.00,0.00,Matches
11,Fanendo Adi\Fanendo-Adi,ng NGA,FW,Columbus,29,1990,2.0,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
12,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Vancouver,26,1993,19.6,2.14,2.14,1.33,0.26,0.26,0.00,0.20,0.10,0.51,0.51,0.36,0.05,0.10,0.00,0.00,0.00,0.00,Matches
13,Harrison Afful\Harrison-Afful,gh GHA,DF,Columbus,33,1986,20.0,1.65,1.65,1.60,0.00,0.05,0.00,0.00,0.00,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.00,0.00,Matches
14,Juan Agudelo\Juan-Agudelo,us USA,FWMF,Miami,27,1992,9.4,1.49,1.49,0.85,0.00,0.21,0.32,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
15,Matheus Aiás\Matheus-Aias,br BRA,FW,Orlando City,23,1996,0.2,5.00,4.50,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
16,José Aja\Jose-Aja,uy URU,DF,Minnesota,26,1993,11.9,0.67,0.67,0.42,0.08,0.00,0.08,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.08,0.00,Matches
17,Jacob Akanyirige\Jacob-Akanyirige,us USA,DF,San Jose,18,2001,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
18,Tesho Akindele\Tesho-Akindele,ca CAN,FW,Orlando City,27,1992,9.1,2.20,2.19,1.98,0.00,0.11,0.00,0.11,0.00,0.22,0.22,0.22,0.00,0.00,0.00,0.00,0.00,0.00,Matches
19,Ayo Akinola\Ayo-Akinola,us USA,FW,Toronto FC,20,2000,11.8,1.53,1.53,1.02,0.00,0.17,0.17,0.17,0.00,0.08,0.08,0.00,0.00,0.00,0.08,0.00,0.00,0.00,Matches
20,Oswaldo Alanís\Oswaldo-Alanis,mx MEX,DF,San Jose,30,1989,13.2,1.06,1.06,0.61,0.00,0.08,0.15,0.08,0.15,0.23,0.23,0.15,0.00,0.00,0.00,0.00,0.08,0.00,Matches
21,Fatai Alashe\Fatai-Alashe,us USA,MF,Columbus,26,1993,4.8,1.46,1.44,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
22,Fatai Alashe\Fatai-Alashe,us USA,MF,FC Cincinnati,26,1993,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
23,Ignacio Aliseda\Ignacio-Aliseda,ar ARG,FWMF,Chicago,19,2000,15.5,2.58,2.57,2.13,0.00,0.19,0.19,0.06,0.00,0.39,0.39,0.19,0.00,0.06,0.13,0.00,0.00,0.00,Matches
24,Osvaldo Alonso\Osvaldo-Alonso,cu CUB,MF,Minnesota,34,1985,8.3,1.33,1.32,1.08,0.00,0.00,0.12,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
25,Jozy Altidore\Jozy-Altidore,us USA,FWMF,Toronto FC,30,1989,8.3,2.89,2.90,2.29,0.00,0.12,0.12,0.36,0.00,0.36,0.36,0.24,0.00,0.00,0.00,0.12,0.00,0.00,Matches
26,Alexander Alvarado\Alexander-Alvarado,ec ECU,FWMF,Orlando City,20,1999,0.3,3.33,3.33,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
27,Efrain Alvarez\Efrain-Alvarez,mx MEX,FWMF,LA Galaxy,17,2002,8.0,4.75,4.72,2.50,1.50,0.38,0.13,0.13,0.13,0.38,0.37,0.38,0.00,0.00,0.00,0.00,0.00,0.00,Matches
28,Luis Amarilla\Luis-Amarilla,py PAR,FW,Minnesota,24,1995,4.7,1.91,1.91,1.06,0.00,0.00,0.64,0.21,0.00,0.64,0.64,0.43,0.00,0.00,0.21,0.00,0.00,0.00,Matches
29,Frankie Amaya\Frankie-Amaya,us USA,MF,FC Cincinnati,19,2000,19.3,1.50,1.51,0.98,0.05,0.21,0.00,0.21,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Mikey Ambrose\Mikey-Ambrose,us USA,DF,Miami,26,1993,3.4,1.47,1.48,1.18,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
31,José Andrés Martínez\Jose-Andres-Martinez,ve VEN,MF,Philadelphia,25,1994,12.7,1.34,1.34,0.79,0.00,0.31,0.00,0.08,0.16,0.39,0.39,0.24,0.00,0.08,0.00,0.08,0.00,0.00,Matches
32,Jalil Anibaba\Jalil-Anibaba,us USA,DF,Nashville,31,1988,6.5,0.62,0.61,0.31,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
33,Brian Anunga\Brian-Anunga,cm CMR,MF,Nashville,23,1996,8.7,0.69,0.69,0.57,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
34,Julian Araujo\Julian-Araujo,us USA,DFFW,LA Galaxy,18,2001,14.3,1.54,1.53,1.19,0.07,0.07,0.07,0.07,0.07,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.00,0.00,Matches
35,Luis Argudo\Luis-Argudo,us USA,MF,Miami,24,1995,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
36,Daniel Armando Ríos\Daniel-Armando-Rios,mx MEX,FW,Nashville,24,1995,7.8,1.79,1.80,1.28,0.00,0.13,0.26,0.13,0.00,0.13,0.13,0.00,0.00,0.13,0.00,0.00,0.00,0.00,Matches
37,Xavier Arreaga\Xavier-Arreaga,ec ECU,DF,Seattle,25,1994,12.7,0.31,0.31,0.16,0.00,0.08,0.00,0.08,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,Matches
38,Paul Arriola\Paul-Arriola,us USA,MF,D.C. United,24,1995,0.2,10.0,8.18,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
39,Artur\Artur,br BRA,MF,Columbus,23,1996,20.3,1.48,1.47,1.18,0.05,0.05,0.00,0.10,0.10,0.30,0.29,0.25,0.05,0.00,0.00,0.00,0.00,0.00,Matches
40,Yamil Asad\Yamil-Asad,ar ARG,MFFW,D.C. United,25,1994,17.5,2.17,2.17,1.43,0.17,0.06,0.11,0.34,0.06,0.23,0.23,0.17,0.06,0.00,0.00,0.00,0.00,0.00,Matches
41,Dairon Asprilla\Dairon-Asprilla,co COL,FW,Portland,27,1992,0.5,4.00,3.67,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
42,Joshua Atencio\Joshua-Atencio,us USA,MF,Seattle,18,2002,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
43,Jeff Attinella\Jeff-Attinella,us USA,GK,Portland,31,1988,1.0,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
44,Eduard Atuesta\Eduard-Atuesta,co COL,MF,Los Angeles FC,22,1997,14.7,3.54,3.53,2.65,0.41,0.07,0.20,0.14,0.07,0.34,0.34,0.27,0.07,0.00,0.00,0.00,0.00,0.00,Matches
45,Auro\Auro,br BRA,DF,Toronto FC,24,1996,16.6,2.17,2.17,2.05,0.06,0.06,0.00,0.00,0.00,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,Matches
