Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Brenden Aaronson\Brenden-Aaronson,us USA,MF,Philadelphia,19,2000,21.2,2.26,1.42,0.90,0.75,0.61,0.33,1.70,19.4,1.37,26.5,6.84,25.8,5.66,12.6,8.16,1.84,0.24,0.00,1.60,0.42,2.69,0.33,0.00,Matches
2,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,FC Cincinnati,28,1991,4.7,1.49,1.28,0.64,0.85,0.00,0.43,1.28,33.3,0.85,8.51,3.62,42.5,3.83,3.62,1.06,2.34,0.21,0.00,2.13,1.28,2.77,2.55,0.00,Matches
3,Mohammed Abu\Mohammed-Abu,gh GHA,MF,D.C. United,28,1991,3.7,3.24,1.08,2.70,0.54,0.00,0.54,1.08,50.0,0.54,21.1,3.78,17.9,11.9,7.03,2.16,1.89,0.00,0.00,1.89,0.81,4.05,1.08,0.00,Matches
4,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Colorado,25,1994,16.8,1.79,1.07,1.19,0.60,0.00,0.30,0.71,41.7,0.42,10.4,3.21,30.9,6.73,3.63,0.06,2.26,1.43,0.00,0.83,0.89,2.68,6.07,0.12,Matches
5,David Accam\David-Accam,gh GHA,FWMF,Nashville,29,1990,2.3,0.43,0.43,0.43,0.00,0.00,0.00,1.74,0.0,1.74,20.4,3.91,19.1,6.09,10.4,3.91,0.87,0.00,0.00,0.87,0.43,0.87,0.43,0.00,Matches
6,Nicolás Acevedo\Nicolas-Acevedo,uy URU,MF,NYCFC,20,1999,1.5,5.33,4.67,2.00,2.67,0.67,0.67,5.33,12.5,4.67,36.7,12.0,32.7,9.33,22.0,5.33,2.00,0.67,0.00,1.33,0.67,6.00,2.67,0.67,Matches
7,Ifunanyachi Achara\Ifunanyachi-Achara,us USA,MF,Toronto FC,22,1997,1.0,2.00,2.00,1.00,1.00,0.00,1.00,2.00,50.0,1.00,18.0,11.0,61.1,3.00,13.0,2.00,2.00,1.00,0.00,1.00,1.00,3.00,2.00,0.00,Matches
8,Bryan Acosta\Bryan-Acosta,hn HON,MF,FC Dallas,26,1993,8.4,1.79,1.43,0.60,1.07,0.12,0.24,0.83,28.6,0.60,14.3,4.64,32.5,4.76,7.14,2.38,1.19,0.36,0.00,0.83,0.48,2.26,1.55,0.00,Matches
9,Kellyn Acosta\Kellyn-Acosta,us USA,MF,Colorado,24,1995,12.7,2.13,1.57,1.10,0.94,0.08,0.71,1.18,60.0,0.47,13.5,3.94,29.2,3.15,8.03,2.28,1.26,0.24,0.00,1.02,0.08,2.20,0.55,0.00,Matches
10,Mo Adams\Mo-Adams,eng ENG,MF,Atlanta,23,1996,8.7,2.41,1.38,1.03,1.15,0.23,0.34,1.38,25.0,1.03,22.8,5.52,24.2,6.44,14.0,2.30,1.72,0.23,0.00,1.49,1.03,3.45,0.46,0.00,Matches
11,Fanendo Adi\Fanendo-Adi,ng NGA,FW,Columbus,29,1990,2.0,1.50,1.00,0.00,1.00,0.50,0.50,0.50,100.0,0.00,11.0,4.50,40.9,0.00,5.00,6.00,1.00,0.50,0.00,0.50,0.00,1.50,2.00,0.00,Matches
12,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Vancouver,26,1993,19.6,2.45,1.38,1.58,0.66,0.20,1.28,3.06,41.7,1.79,11.8,3.47,29.4,5.97,4.08,1.73,2.65,0.31,0.00,2.35,1.17,3.62,2.86,0.00,Matches
13,Harrison Afful\Harrison-Afful,gh GHA,DF,Columbus,33,1986,20.0,1.80,0.95,0.80,0.70,0.30,0.65,1.20,54.2,0.55,8.45,2.60,30.8,3.75,3.50,1.20,1.60,0.35,0.00,1.25,1.20,3.00,2.90,0.15,Matches
14,Juan Agudelo\Juan-Agudelo,us USA,FWMF,Miami,27,1992,9.4,1.06,0.64,0.11,0.74,0.21,0.11,1.17,9.1,1.06,18.8,4.15,22.0,1.91,10.3,6.60,1.49,0.11,0.00,1.38,0.32,1.38,0.85,0.00,Matches
15,Matheus Aiás\Matheus-Aias,br BRA,FW,Orlando City,23,1996,0.2,5.00,5.00,5.00,0.00,0.00,0.00,5.00,0.0,5.00,25.0,5.00,20.0,20.0,0.00,5.00,5.00,5.00,0.00,0.00,0.00,5.00,5.00,0.00,Matches
16,José Aja\Jose-Aja,uy URU,DF,Minnesota,26,1993,11.9,2.52,1.93,2.10,0.25,0.17,1.34,2.52,53.3,1.18,11.1,3.61,32.6,7.65,3.11,0.34,2.10,0.92,0.00,1.18,0.92,3.45,7.73,0.00,Matches
17,Jacob Akanyirige\Jacob-Akanyirige,us USA,DF,San Jose,18,2001,0.8,1.25,1.25,1.25,0.00,0.00,0.00,0.00,,0.00,5.00,2.50,50.0,1.25,3.75,0.00,0.00,0.00,0.00,0.00,2.50,3.75,2.50,0.00,Matches
18,Tesho Akindele\Tesho-Akindele,ca CAN,FW,Orlando City,27,1992,9.1,0.44,0.22,0.22,0.22,0.00,0.22,0.44,50.0,0.22,14.3,3.41,23.8,1.21,4.73,8.35,0.99,0.22,0.00,0.77,0.33,0.77,0.66,0.00,Matches
19,Ayo Akinola\Ayo-Akinola,us USA,FW,Toronto FC,20,2000,11.8,0.42,0.17,0.08,0.17,0.17,0.25,0.59,42.9,0.34,11.0,3.31,30.0,0.59,4.15,6.27,0.76,0.25,0.00,0.51,0.00,0.42,0.34,0.00,Matches
20,Oswaldo Alanís\Oswaldo-Alanis,mx MEX,DF,San Jose,30,1989,13.2,1.74,1.14,0.98,0.53,0.23,0.61,1.44,42.1,0.83,11.1,4.39,39.7,5.91,4.62,0.53,1.67,0.61,0.00,1.06,1.29,3.03,2.88,0.08,Matches
21,Fatai Alashe\Fatai-Alashe,us USA,MF,Columbus,26,1993,4.8,1.25,0.42,0.63,0.42,0.21,0.21,0.83,25.0,0.63,14.4,3.33,23.2,3.54,8.33,2.50,2.08,0.83,0.00,1.25,0.21,1.46,0.83,0.00,Matches
22,Fatai Alashe\Fatai-Alashe,us USA,MF,FC Cincinnati,26,1993,0.3,6.67,3.33,6.67,0.00,0.00,3.33,3.33,100.0,0.00,43.3,13.3,30.8,16.7,20.0,6.67,0.00,0.00,0.00,0.00,0.00,6.67,3.33,0.00,Matches
23,Ignacio Aliseda\Ignacio-Aliseda,ar ARG,FWMF,Chicago,19,2000,15.5,0.90,0.71,0.13,0.52,0.26,0.32,0.84,38.5,0.52,16.8,5.03,29.9,2.71,8.52,5.61,0.65,0.00,0.00,0.65,0.19,1.10,0.19,0.00,Matches
24,Osvaldo Alonso\Osvaldo-Alonso,cu CUB,MF,Minnesota,34,1985,8.3,2.29,1.81,0.72,1.33,0.24,0.96,2.29,42.1,1.33,11.3,3.86,34.0,5.66,4.58,1.08,1.45,0.48,0.00,0.96,0.96,3.25,1.45,0.00,Matches
25,Jozy Altidore\Jozy-Altidore,us USA,FWMF,Toronto FC,30,1989,8.3,0.72,0.48,0.00,0.60,0.12,0.12,0.48,25.0,0.36,6.27,2.17,34.6,0.60,3.01,2.65,0.60,0.24,0.00,0.36,0.12,0.84,0.12,0.00,Matches
26,Alexander Alvarado\Alexander-Alvarado,ec ECU,FWMF,Orlando City,20,1999,0.3,3.33,3.33,3.33,0.00,0.00,3.33,13.3,25.0,10.0,40.0,6.67,16.7,26.7,6.67,6.67,6.67,0.00,0.00,6.67,0.00,3.33,6.67,0.00,Matches
27,Efrain Alvarez\Efrain-Alvarez,mx MEX,FWMF,LA Galaxy,17,2002,8.0,1.63,0.75,0.25,1.13,0.25,0.38,1.88,20.0,1.50,18.3,3.75,20.5,3.75,8.75,5.75,1.13,0.00,0.00,1.13,0.63,2.25,0.25,0.00,Matches
28,Luis Amarilla\Luis-Amarilla,py PAR,FW,Minnesota,24,1995,4.7,0.43,0.43,0.00,0.43,0.00,0.00,1.06,0.0,1.06,14.9,2.98,20.0,0.85,7.87,6.17,1.28,0.00,0.00,1.28,0.00,0.43,0.21,0.00,Matches
29,Frankie Amaya\Frankie-Amaya,us USA,MF,FC Cincinnati,19,2000,19.3,3.26,2.28,1.71,1.24,0.31,0.83,2.69,30.8,1.87,25.3,7.98,31.5,11.3,10.6,3.47,2.02,0.31,0.00,1.71,0.88,4.15,0.93,0.00,Matches
30,Mikey Ambrose\Mikey-Ambrose,us USA,DF,Miami,26,1993,3.4,1.18,0.59,0.88,0.29,0.00,1.18,2.06,57.1,0.88,8.24,2.06,25.0,3.82,3.53,0.88,0.59,0.00,0.00,0.59,0.29,1.47,2.65,0.00,Matches
31,José Andrés Martínez\Jose-Andres-Martinez,ve VEN,MF,Philadelphia,25,1994,12.7,3.15,2.60,1.97,1.10,0.08,0.94,2.99,31.6,2.05,21.8,6.54,30.0,10.2,10.5,1.18,2.20,0.63,0.08,1.57,0.94,4.09,1.97,0.00,Matches
32,Jalil Anibaba\Jalil-Anibaba,us USA,DF,Nashville,31,1988,6.5,1.38,1.08,0.62,0.77,0.00,0.46,0.77,60.0,0.31,10.0,3.23,32.3,5.54,4.00,0.46,2.15,0.62,0.00,1.54,0.31,1.69,3.69,0.00,Matches
33,Brian Anunga\Brian-Anunga,cm CMR,MF,Nashville,23,1996,8.7,2.41,1.84,1.61,0.69,0.11,0.46,1.26,36.4,0.80,20.8,6.78,32.6,8.62,10.5,1.72,1.72,0.11,0.00,1.61,1.03,3.45,1.15,0.00,Matches
34,Julian Araujo\Julian-Araujo,us USA,DFFW,LA Galaxy,18,2001,14.3,2.94,1.40,1.54,0.77,0.63,0.70,2.17,32.3,1.47,18.3,4.90,26.8,6.78,6.78,4.69,2.59,0.28,0.07,2.31,1.33,4.27,2.10,0.00,Matches
