Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Brenden Aaronson\Brenden-Aaronson,us USA,MF,Philadelphia,19,2000,21.2,40.8,0.61,6.04,15.8,21.4,4.76,39.3,1.93,3.49,55.4,2.08,0.09,30.3,146.8,81.5,4.29,1.32,0.90,1.98,2.59,38.0,27.0,71.1,7.17,Matches
2,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,FC Cincinnati,28,1991,4.7,58.1,4.47,18.3,28.5,14.5,0.43,47.9,0.00,0.64,0.0,0.00,0.00,27.9,156.0,77.2,4.04,1.06,0.21,0.85,0.43,33.4,29.1,87.3,1.49,Matches
3,Mohammed Abu\Mohammed-Abu,gh GHA,MF,D.C. United,28,1991,3.7,69.7,3.78,23.2,41.6,8.92,0.81,68.4,1.35,1.35,100.0,1.35,0.00,45.9,188.6,93.8,3.51,1.35,0.00,0.81,1.08,51.9,48.4,93.2,2.70,Matches
4,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Colorado,25,1994,16.8,66.5,9.23,40.7,28.3,1.07,0.36,65.6,0.06,0.18,33.3,0.12,0.00,43.0,156.4,77.4,1.19,0.12,0.00,0.12,0.00,44.8,43.8,97.6,0.24,Matches
5,David Accam\David-Accam,gh GHA,FWMF,Nashville,29,1990,2.3,39.1,0.87,4.35,14.3,23.9,4.78,38.7,1.74,4.35,40.0,2.17,0.00,28.7,185.7,148.3,6.96,3.04,1.30,2.17,1.74,38.7,29.1,75.3,8.70,Matches
6,Nicolás Acevedo\Nicolas-Acevedo,uy URU,MF,NYCFC,20,1999,1.5,80.7,6.00,26.7,49.3,12.0,0.00,79.3,2.00,2.67,75.0,2.67,0.00,54.7,254.0,100.0,4.00,2.00,0.00,2.00,2.00,58.7,50.7,86.4,2.00,Matches
7,Ifunanyachi Achara\Ifunanyachi-Achara,us USA,MF,Toronto FC,22,1997,1.0,50.0,2.00,12.0,22.0,23.0,3.00,50.0,3.00,7.00,42.9,3.00,0.00,40.0,190.0,116.0,5.00,2.00,0.00,5.00,2.00,32.0,25.0,78.1,4.00,Matches
8,Bryan Acosta\Bryan-Acosta,hn HON,MF,FC Dallas,26,1993,8.4,65.5,1.55,13.0,42.4,13.1,1.19,62.3,0.83,1.31,63.6,0.83,0.00,44.4,227.3,101.9,4.52,1.07,0.12,1.31,1.07,51.9,48.2,92.9,3.81,Matches
9,Kellyn Acosta\Kellyn-Acosta,us USA,MF,Colorado,24,1995,12.7,47.6,1.26,9.21,26.5,16.1,2.28,47.0,0.47,1.02,46.2,0.55,0.08,31.1,185.4,83.9,3.70,1.34,0.31,0.55,1.26,39.2,34.6,88.2,5.20,Matches
10,Mo Adams\Mo-Adams,eng ENG,MF,Atlanta,23,1996,8.7,59.9,1.49,17.1,37.6,9.54,0.80,58.4,1.26,1.38,91.7,1.26,0.00,44.0,248.7,96.4,2.30,0.46,0.23,0.92,1.26,43.6,41.5,95.3,1.15,Matches
