Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Brenden Aaronson\Brenden-Aaronson,us USA,MF,Philadelphia,19,2000,23,1904,83,92.0,21.2,1.08,83,,0.00,,0.00,1.96,2.03,0.80,1.23,+1.23,+2.31,1.58,1.07,0.51,+0.51,+0.94,Matches
2,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,FC Cincinnati,28,1991,8,424,53,20.5,4.7,1.06,81,,0.64,7,0.85,1.13,0.43,1.91,-1.49,-1.49,-0.56,0.91,1.34,-0.43,-0.43,-0.09,Matches
3,Mohammed Abu\Mohammed-Abu,gh GHA,MF,D.C. United,28,1991,6,333,56,16.1,3.7,1.08,76,,0.54,16,1.08,1.00,0.27,0.81,-0.54,-0.54,+0.18,0.81,1.68,-0.84,-0.85,-0.23,Matches
4,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Colorado,25,1994,17,1514,89,93.5,16.8,1.01,89,,0.00,,0.06,1.56,1.85,1.31,0.54,+0.54,+4.78,1.45,1.26,0.19,+0.19,+0.45,Matches
5,David Accam\David-Accam,gh GHA,FWMF,Nashville,29,1990,7,207,30,10.0,2.3,0.87,62,,2.17,17,0.43,0.71,0.87,1.74,-0.87,-0.87,-1.06,1.00,0.78,0.22,+0.23,+0.33,Matches
6,Nicolás Acevedo\Nicolas-Acevedo,uy URU,MF,NYCFC,20,1999,12,134,11,6.5,1.5,0.67,73,,7.33,6,6.00,2.07,2.00,0.67,1.33,+1.34,+0.88,2.13,1.53,0.60,+0.62,+0.21,Matches
7,Ifunanyachi Achara\Ifunanyachi-Achara,us USA,MF,Toronto FC,22,1997,1,89,89,4.3,1.0,1.00,89,,0.00,,0.00,3.00,1.00,0.00,1.00,+1.01,+0.74,2.60,0.60,2.00,+2.07,+1.68,Matches
8,Bryan Acosta\Bryan-Acosta,hn HON,MF,FC Dallas,26,1993,11,752,68,38.0,8.4,1.19,72,,0.12,34,0.00,1.27,0.83,0.95,-0.12,-0.12,-0.49,1.27,0.98,0.30,+0.30,+0.39,Matches
9,Kellyn Acosta\Kellyn-Acosta,us USA,MF,Colorado,24,1995,15,1146,76,70.7,12.7,1.10,80,,0.08,33,0.08,1.56,1.57,1.42,0.16,+0.16,-0.22,1.47,1.17,0.31,+0.31,+0.51,Matches
10,Mo Adams\Mo-Adams,eng ENG,MF,Atlanta,23,1996,13,779,60,37.6,8.7,1.03,76,,0.46,24,0.46,0.85,1.15,1.38,-0.23,-0.23,+0.12,0.90,1.10,-0.22,-0.22,+0.17,Matches
11,Fanendo Adi\Fanendo-Adi,ng NGA,FW,Columbus,29,1990,11,181,16,8.7,2.0,0.50,61,,5.00,12,1.50,1.67,1.00,0.00,1.00,+0.99,+0.38,1.55,0.95,0.60,+0.58,+0.59,Matches
12,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Vancouver,26,1993,22,1767,80,85.4,19.6,1.02,86,,0.10,19,0.05,1.17,1.17,1.68,-0.51,-0.51,+1.57,1.06,1.60,-0.55,-0.54,+0.49,Matches
13,Harrison Afful\Harrison-Afful,gh GHA,DF,Columbus,33,1986,21,1796,86,86.8,20.0,1.00,89,,0.05,9,0.05,1.92,1.70,0.95,0.75,+0.75,+0.75,1.42,1.35,0.06,+0.06,+0.17,Matches
14,Juan Agudelo\Juan-Agudelo,us USA,FWMF,Miami,27,1992,14,845,60,40.8,9.4,0.96,80,,0.53,25,0.43,0.93,0.85,1.28,-0.43,-0.43,+0.01,1.24,1.23,0.01,+0.01,+0.08,Matches
15,Matheus Aiás\Matheus-Aias,br BRA,FW,Orlando City,23,1996,4,20,5,1.0,0.2,0.00,,,20.0,5,5.00,1.50,5.00,10.0,-5.00,-4.50,-5.20,2.00,3.00,-1.00,-0.90,-1.19,Matches
16,José Aja\Jose-Aja,uy URU,DF,Minnesota,26,1993,13,1070,82,56.6,11.9,1.01,85,,0.08,45,0.50,1.44,1.60,1.26,0.34,+0.34,-0.32,1.37,1.66,-0.30,-0.30,+0.01,Matches
17,Jacob Akanyirige\Jacob-Akanyirige,us USA,DF,San Jose,18,2001,1,68,68,3.3,0.8,1.25,68,,0.00,,3.75,1.00,0.00,1.25,-1.25,-1.32,-0.65,1.50,1.00,0.50,+0.53,+0.76,Matches
18,Tesho Akindele\Tesho-Akindele,ca CAN,FW,Orlando City,27,1992,17,822,48,39.7,9.1,0.88,73,,0.99,27,0.00,1.78,1.76,0.99,0.77,+0.77,+0.19,1.36,0.88,0.48,+0.48,+0.35,Matches
19,Ayo Akinola\Ayo-Akinola,us USA,FW,Toronto FC,20,2000,15,1060,71,51.2,11.8,0.93,86,,0.34,30,0.08,1.75,1.61,1.10,0.51,+0.51,+0.42,1.65,1.10,0.55,+0.55,+0.18,Matches
20,Oswaldo Alanís\Oswaldo-Alanis,mx MEX,DF,San Jose,30,1989,14,1188,85,57.4,13.2,1.06,85,,0.00,,0.30,1.06,1.29,2.27,-0.98,-0.98,-0.68,1.28,1.58,-0.30,-0.31,-0.23,Matches
21,Fatai Alashe\Fatai-Alashe,us USA,MF,Columbus,26,1993,8,436,55,21.1,4.8,1.25,69,,0.42,13,0.83,1.89,1.67,1.04,0.63,+0.62,-0.04,1.38,1.27,0.10,+0.11,+0.09,Matches
