Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Atlanta,27,25.6,54.8,23,253,2070,23.0,1.00,0.74,0.87,0.13,0.17,2.13,0.13,1.00,0.74,1.74,0.87,1.61,0.94,0.80,0.60,1.41,0.94,0.60,1.54,0.81,1.41
Chicago,25,26.7,51.0,23,253,2070,23.0,1.43,1.13,1.35,0.09,0.17,1.74,0.04,1.43,1.13,2.57,1.35,2.48,1.69,1.56,1.12,2.68,1.69,1.12,2.81,1.56,2.68
Colorado,22,25.8,52.0,18,198,1620,18.0,1.67,1.44,1.67,0.00,0.00,1.67,0.11,1.67,1.44,3.11,1.67,3.11,1.43,1.43,1.13,2.56,1.43,1.13,2.56,1.43,2.56
Columbus,26,27.4,52.2,23,253,2070,23.0,1.48,1.13,1.43,0.04,0.17,1.96,0.00,1.48,1.13,2.61,1.43,2.57,1.34,1.20,1.00,2.20,1.34,1.00,2.34,1.20,2.21
D.C. United,26,26.6,46.0,23,253,2070,23.0,1.04,0.52,0.87,0.17,0.17,1.91,0.13,1.04,0.52,1.57,0.87,1.39,0.95,0.82,0.57,1.39,0.95,0.57,1.52,0.82,1.39
FC Cincinnati,30,27.5,49.3,23,253,2070,23.0,0.48,0.22,0.43,0.04,0.09,1.74,0.00,0.48,0.22,0.70,0.43,0.65,0.97,0.90,0.60,1.50,0.97,0.60,1.57,0.90,1.50
FC Dallas,27,27.0,51.4,22,242,1980,22.0,1.27,0.82,1.14,0.14,0.14,1.86,0.05,1.27,0.82,2.09,1.14,1.95,1.45,1.34,1.02,2.36,1.45,1.02,2.47,1.34,2.36
Houston,26,27.7,48.5,23,253,2070,23.0,1.30,0.87,1.22,0.09,0.17,2.39,0.13,1.30,0.87,2.17,1.22,2.09,1.57,1.44,1.02,2.47,1.57,1.02,2.59,1.44,2.47
LA Galaxy,25,27.2,45.0,22,242,1980,22.0,1.18,0.77,1.05,0.14,0.18,1.91,0.18,1.18,0.77,1.95,1.05,1.82,1.21,1.07,0.86,1.94,1.21,0.86,2.07,1.07,1.93
Los Angeles FC,28,24.8,58.6,22,242,1980,22.0,2.05,1.45,1.95,0.09,0.09,1.64,0.05,2.05,1.45,3.50,1.95,3.41,1.89,1.82,1.34,3.16,1.89,1.34,3.23,1.82,3.16
Miami,28,26.8,47.1,23,253,2070,23.0,1.04,0.78,1.00,0.04,0.09,2.48,0.17,1.04,0.78,1.83,1.00,1.78,1.25,1.19,0.87,2.06,1.25,0.87,2.13,1.19,2.06
Minnesota,28,27.5,47.3,21,231,1890,21.0,1.57,1.29,1.48,0.10,0.14,1.90,0.10,1.57,1.29,2.86,1.48,2.76,1.42,1.31,1.01,2.32,1.42,1.01,2.44,1.31,2.32
Montreal,26,26.2,48.0,23,253,2070,23.0,1.43,0.91,1.26,0.17,0.17,1.39,0.22,1.43,0.91,2.35,1.26,2.17,1.20,1.07,0.83,1.90,1.20,0.83,2.03,1.07,1.90
Nashville,26,26.9,44.5,23,253,2070,23.0,1.04,0.87,1.04,0.00,0.04,1.48,0.04,1.04,0.87,1.91,1.04,1.91,1.04,1.01,0.79,1.80,1.04,0.79,1.83,1.01,1.80
New England,25,26.6,51.2,23,253,2070,23.0,1.09,0.74,1.04,0.04,0.13,1.57,0.09,1.09,0.74,1.83,1.04,1.78,1.43,1.33,1.09,2.42,1.44,1.09,2.52,1.33,2.42
NY Red Bulls,27,25.0,45.7,23,253,2070,23.0,1.26,0.91,1.22,0.04,0.04,1.30,0.04,1.26,0.91,2.17,1.22,2.13,1.22,1.19,0.95,2.14,1.22,0.95,2.17,1.19,2.14
NYCFC,22,26.7,56.0,23,253,2070,23.0,1.57,1.13,1.43,0.13,0.13,2.17,0.04,1.57,1.13,2.70,1.43,2.57,1.65,1.55,1.19,2.74,1.65,1.19,2.84,1.55,2.74
Orlando City,28,26.2,50.3,23,253,2070,23.0,1.70,1.30,1.65,0.04,0.04,2.09,0.09,1.70,1.30,3.00,1.65,2.96,1.39,1.36,1.05,2.40,1.39,1.05,2.44,1.36,2.40
Philadelphia,23,25.8,47.9,23,253,2070,23.0,1.87,1.30,1.78,0.09,0.09,2.39,0.00,1.87,1.30,3.17,1.78,3.09,1.54,1.48,1.18,2.65,1.54,1.18,2.72,1.48,2.65
Portland,27,27.9,46.5,23,253,2070,23.0,2.00,1.48,1.87,0.13,0.13,1.96,0.04,2.00,1.48,3.48,1.87,3.35,1.37,1.27,0.97,2.24,1.37,0.97,2.34,1.27,2.24
Real Salt Lake,26,27.0,52.3,22,242,1980,22.0,1.05,0.64,0.95,0.09,0.14,2.23,0.09,1.05,0.64,1.68,0.95,1.59,1.20,1.09,0.73,1.82,1.20,0.73,1.92,1.09,1.82
San Jose,27,27.3,55.7,23,253,2070,23.0,1.48,1.00,1.30,0.17,0.22,1.65,0.04,1.48,1.00,2.48,1.30,2.30,1.40,1.23,0.88,2.12,1.40,0.88,2.28,1.24,2.12
Seattle,27,27.9,54.5,22,242,1980,22.0,1.91,1.36,1.68,0.23,0.23,1.45,0.00,1.91,1.36,3.27,1.68,3.05,1.90,1.73,1.33,3.07,1.90,1.33,3.23,1.73,3.07
Sporting KC,23,27.9,49.7,21,231,1890,21.0,1.76,1.14,1.71,0.05,0.05,2.14,0.10,1.76,1.14,2.90,1.71,2.86,1.58,1.54,1.05,2.60,1.58,1.05,2.63,1.54,2.59
Toronto FC,29,28.0,54.5,23,253,2070,23.0,1.43,0.96,1.22,0.22,0.26,1.52,0.00,1.43,0.96,2.39,1.22,2.17,1.56,1.37,1.00,2.37,1.56,1.01,2.57,1.37,2.37
Vancouver,27,25.5,41.8,23,253,2070,23.0,1.04,0.78,0.96,0.09,0.17,1.96,0.17,1.04,0.78,1.83,0.96,1.74,1.03,0.91,0.71,1.62,1.04,0.71,1.75,0.91,1.62
