Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Atlanta,1,23,23,2070,23.0,1.30,1.30,3.78,2.48,65.5,0.26,0.17,0.57,0.26,26.1,0.00,0.00,0.00,0.00,
Chicago,3,23,23,2070,23.0,1.70,1.70,4.35,2.70,62.0,0.22,0.35,0.43,0.17,17.4,0.09,0.04,0.00,0.04,0.0
Colorado,2,18,18,1620,18.0,1.56,1.56,4.89,3.50,70.5,0.44,0.22,0.33,0.22,22.2,0.17,0.11,0.06,0.00,33.3
Columbus,2,23,23,2070,23.0,0.91,0.91,3.30,2.57,80.3,0.52,0.22,0.26,0.39,39.1,0.26,0.26,0.00,0.00,0.0
D.C. United,2,23,23,2070,23.0,1.78,1.78,5.00,3.35,66.1,0.22,0.26,0.52,0.17,17.4,0.13,0.09,0.00,0.04,0.0
FC Cincinnati,3,23,23,2070,23.0,1.61,1.61,3.74,2.26,60.5,0.17,0.17,0.65,0.30,30.4,0.13,0.13,0.00,0.00,0.0
FC Dallas,4,22,22,1980,22.0,1.09,1.09,4.32,3.32,77.9,0.41,0.32,0.27,0.36,36.4,0.14,0.14,0.00,0.00,0.0
Houston,1,23,23,2070,23.0,1.74,1.74,5.04,3.43,68.1,0.17,0.39,0.43,0.13,13.0,0.17,0.13,0.04,0.00,25.0
LA Galaxy,2,22,22,1980,22.0,2.09,2.09,4.95,3.05,61.5,0.27,0.18,0.55,0.18,18.2,0.27,0.18,0.09,0.00,33.3
Los Angeles FC,2,22,22,1980,22.0,1.77,1.77,3.86,2.41,58.8,0.41,0.23,0.36,0.14,13.6,0.23,0.18,0.05,0.00,20.0
Miami,2,23,23,2070,23.0,1.52,1.52,3.61,2.30,62.7,0.30,0.13,0.57,0.13,13.0,0.30,0.17,0.09,0.04,33.3
Minnesota,3,21,21,1890,21.0,1.29,1.29,4.67,3.48,75.5,0.43,0.33,0.24,0.33,33.3,0.24,0.14,0.05,0.05,25.0
Montreal,2,23,23,2070,23.0,1.87,1.87,5.70,3.91,68.7,0.35,0.09,0.57,0.13,13.0,0.13,0.09,0.04,0.00,33.3
Nashville,1,23,23,2070,23.0,0.96,0.96,4.00,3.04,76.1,0.35,0.35,0.30,0.39,39.1,0.00,0.00,0.00,0.00,
New England,2,23,23,2070,23.0,1.09,1.09,4.35,3.39,76.0,0.35,0.35,0.30,0.26,26.1,0.04,0.04,0.00,0.00,0.0
NY Red Bulls,2,23,23,2070,23.0,1.35,1.35,3.87,2.57,68.5,0.39,0.22,0.39,0.22,21.7,0.13,0.13,0.00,0.00,0.0
NYCFC,1,23,23,2070,23.0,1.09,1.09,4.30,3.30,77.8,0.52,0.13,0.35,0.30,30.4,0.17,0.13,0.04,0.00,25.0
Orlando City,2,23,23,2070,23.0,1.09,1.09,3.96,2.96,73.6,0.48,0.35,0.17,0.17,17.4,0.09,0.04,0.04,0.00,50.0
Philadelphia,3,23,23,2070,23.0,0.87,0.87,3.74,2.87,77.9,0.61,0.22,0.17,0.39,39.1,0.09,0.04,0.00,0.04,0.0
Portland,3,23,23,2070,23.0,1.39,1.39,4.52,3.00,70.2,0.48,0.26,0.26,0.22,21.7,0.09,0.04,0.04,0.00,50.0
Real Salt Lake,3,22,22,1980,22.0,1.59,1.59,4.14,2.59,62.6,0.23,0.32,0.45,0.32,31.8,0.05,0.05,0.00,0.00,0.0
San Jose,2,23,23,2070,23.0,2.22,2.22,4.91,2.83,57.5,0.35,0.26,0.39,0.30,30.4,0.17,0.13,0.04,0.00,25.0
Seattle,1,22,22,1980,22.0,1.05,1.05,3.64,2.64,73.8,0.50,0.27,0.23,0.27,27.3,0.09,0.09,0.00,0.00,0.0
Sporting KC,2,21,21,1888,21.0,1.19,1.19,3.90,2.71,69.5,0.57,0.14,0.29,0.33,33.3,0.10,0.00,0.05,0.05,100.0
Toronto FC,2,23,23,2070,23.0,1.13,1.13,3.87,2.83,73.0,0.57,0.22,0.22,0.39,39.1,0.13,0.09,0.00,0.04,0.0
Vancouver,4,23,23,2070,23.0,1.96,1.96,5.35,3.61,65.9,0.39,0.00,0.61,0.13,13.0,0.13,0.13,0.00,0.00,0.0
