Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Atlanta,27,23.0,2.13,0.13,0.09,13.7,14.6,1.78,13.4,4.74,10.4,0.13,0.00,0.00,83.1,11.8,13.0,47.5
Chicago,25,23.0,1.74,0.04,0.00,14.1,12.4,2.43,12.1,7.17,11.9,0.13,0.09,0.04,93.7,12.6,13.8,47.6
Colorado,22,18.0,1.67,0.11,0.00,11.2,10.3,1.50,12.6,6.39,10.1,0.00,0.17,0.06,85.2,14.2,12.1,54.0
Columbus,26,23.0,1.96,0.00,0.00,13.6,13.8,1.87,13.8,5.74,10.6,0.17,0.26,0.00,83.0,13.8,13.7,50.2
D.C. United,26,23.0,1.91,0.13,0.09,11.7,12.1,2.13,9.22,6.35,11.0,0.04,0.13,0.04,85.4,15.6,17.7,46.8
FC Cincinnati,30,23.0,1.74,0.00,0.00,13.7,13.3,1.57,8.17,6.09,10.8,0.09,0.13,0.00,80.5,13.6,11.6,54.0
FC Dallas,27,22.0,1.86,0.05,0.05,11.7,13.0,1.27,12.7,6.27,11.9,0.14,0.14,0.00,85.8,15.8,13.1,54.7
Houston,26,23.0,2.39,0.13,0.09,11.9,11.0,1.96,11.9,5.43,11.0,0.09,0.13,0.04,86.9,11.6,13.9,45.5
LA Galaxy,25,22.0,1.91,0.18,0.09,13.2,9.00,1.59,14.5,6.50,12.2,0.09,0.27,0.00,89.3,14.0,13.3,51.4
Los Angeles FC,28,22.0,1.64,0.05,0.00,11.9,11.5,1.95,13.0,6.09,14.0,0.05,0.23,0.14,108.1,12.0,13.2,47.6
Miami,28,23.0,2.48,0.17,0.13,14.5,14.0,2.17,13.7,6.78,10.5,0.04,0.26,0.04,90.2,12.5,12.8,49.3
Minnesota,28,21.0,1.90,0.10,0.00,13.3,12.3,1.24,13.0,6.48,13.2,0.14,0.24,0.05,92.3,14.4,13.7,51.3
Montreal,26,23.0,1.39,0.22,0.00,11.8,9.48,2.09,10.5,6.48,9.61,0.13,0.13,0.04,80.3,10.5,10.7,49.5
Nashville,26,23.0,1.48,0.04,0.04,13.7,11.6,1.09,11.0,5.35,11.7,0.04,0.00,0.00,85.4,15.7,16.1,49.5
New England,25,23.0,1.57,0.09,0.04,12.0,12.2,1.96,14.4,6.48,11.1,0.13,0.04,0.09,98.3,17.4,16.5,51.3
NY Red Bulls,27,23.0,1.30,0.04,0.00,12.9,11.6,2.13,14.0,5.96,11.4,0.04,0.13,0.04,113.3,20.0,18.5,51.9
NYCFC,22,23.0,2.17,0.04,0.00,15.7,10.7,2.91,10.7,6.57,13.1,0.09,0.17,0.00,94.6,14.3,13.4,51.6
Orlando City,28,23.0,2.09,0.09,0.04,12.7,13.0,1.17,11.0,4.91,11.3,0.04,0.04,0.04,79.0,12.6,14.3,46.7
Philadelphia,23,23.0,2.39,0.00,0.00,14.0,10.2,2.09,12.7,6.87,13.3,0.04,0.09,0.00,90.0,15.9,15.7,50.4
Portland,27,23.0,1.96,0.04,0.04,11.2,12.6,1.09,10.3,6.70,10.6,0.04,0.09,0.00,86.3,13.9,14.3,49.3
Real Salt Lake,26,22.0,2.23,0.09,0.05,13.0,9.95,1.27,13.5,5.73,11.0,0.09,0.05,0.09,94.2,16.9,16.9,50.0
San Jose,27,23.0,1.65,0.04,0.04,12.2,11.7,1.43,12.3,6.61,11.7,0.13,0.17,0.13,85.0,10.9,12.7,46.2
Seattle,27,22.0,1.45,0.00,0.00,9.86,10.6,1.91,14.3,6.82,11.2,0.05,0.09,0.05,87.7,15.9,12.1,56.7
Sporting KC,23,21.0,2.14,0.10,0.05,12.5,11.0,1.43,13.1,6.48,11.3,0.00,0.10,0.10,91.6,15.0,15.4,49.2
Toronto FC,29,23.0,1.52,0.00,0.00,10.8,12.0,1.83,11.6,4.13,10.9,0.13,0.09,0.04,88.7,10.2,11.7,46.6
Vancouver,27,23.0,1.96,0.17,0.09,11.7,13.2,1.13,9.13,7.09,10.2,0.17,0.13,0.13,74.2,13.7,13.7,50.0
