Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Atlanta,1,23.0,1.30,0.00,0.04,0.17,0.00,1.20,0.32,-0.11,-0.11,8.78,16.2,54.2,34.2,4.48,42.2,36.5,6.26,28.5,30.5,6.22,0.43,7.0,0.70,0.70,0.65
Chicago,3,23.0,1.70,0.04,0.00,0.30,0.04,1.61,0.36,-0.04,-0.05,4.00,9.57,41.8,24.7,4.22,25.6,30.4,6.61,49.3,41.8,7.61,0.48,6.3,0.26,0.26,0.55
Colorado,2,18.0,1.56,0.11,0.00,0.28,0.06,1.49,0.28,-0.01,0.00,6.06,13.0,46.6,23.9,5.61,39.7,35.6,7.50,46.7,38.5,8.33,0.67,8.0,0.78,0.78,0.79
Columbus,2,23.0,0.91,0.26,0.00,0.04,0.00,0.99,0.24,0.08,+0.08,5.48,12.8,42.7,20.2,3.57,38.1,35.3,7.70,66.7,48.5,8.87,0.48,5.4,0.39,0.39,0.57
D.C. United,2,23.0,1.78,0.09,0.00,0.35,0.04,1.52,0.29,-0.22,-0.22,4.39,13.3,33.1,20.8,3.96,39.3,36.5,7.96,63.9,45.9,10.1,0.61,6.0,0.26,0.26,0.55
FC Cincinnati,3,23.0,1.61,0.13,0.09,0.17,0.00,1.30,0.32,-0.27,-0.27,6.78,13.8,49.1,22.2,4.09,42.5,36.0,9.09,48.3,39.8,7.43,0.30,4.1,0.39,0.39,0.56
FC Dallas,4,22.0,1.09,0.14,0.05,0.05,0.00,1.26,0.27,0.17,+0.17,4.73,10.5,44.8,21.5,5.05,31.2,31.9,9.23,41.4,35.0,10.4,0.50,4.8,0.32,0.32,0.60
Houston,1,23.0,1.74,0.13,0.04,0.13,0.04,1.73,0.33,0.03,+0.03,4.39,12.0,36.7,21.3,4.78,40.9,36.8,8.43,38.7,35.2,10.9,0.52,4.8,0.43,0.43,0.54
LA Galaxy,2,22.0,2.09,0.18,0.09,0.23,0.00,1.73,0.31,-0.36,-0.36,6.64,16.7,39.8,18.4,3.82,60.7,46.7,7.68,71.6,54.0,8.50,0.91,10.7,0.23,0.23,0.53
Los Angeles FC,2,22.0,1.77,0.18,0.09,0.18,0.14,1.50,0.34,-0.14,-0.14,3.36,9.36,35.9,18.7,4.73,36.2,34.2,5.23,49.6,43.1,6.95,0.32,4.6,1.45,1.45,0.82
Miami,2,23.0,1.52,0.17,0.00,0.04,0.04,1.30,0.31,-0.17,-0.17,4.70,11.0,42.5,17.4,3.74,46.5,39.0,5.74,51.5,38.6,6.96,0.57,8.1,0.61,0.61,0.61
Minnesota,3,21.0,1.29,0.14,0.00,0.14,0.05,1.25,0.24,0.06,+0.06,5.86,17.1,34.3,21.8,4.00,51.3,41.7,7.95,74.3,53.5,9.10,0.86,9.4,0.57,0.57,0.66
Montreal,2,23.0,1.87,0.09,0.00,0.35,0.04,1.98,0.34,0.16,+0.16,3.91,9.78,40.0,23.3,5.09,30.3,32.1,7.57,36.2,34.8,10.9,0.70,6.4,0.39,0.39,0.57
Nashville,1,23.0,0.96,0.00,0.04,0.09,0.00,0.98,0.25,0.03,+0.03,5.61,15.7,35.8,21.3,4.09,51.9,41.2,7.04,65.4,50.6,8.61,0.78,9.1,0.43,0.43,0.54
New England,2,23.0,1.09,0.04,0.00,0.35,0.09,1.40,0.31,0.40,+0.40,6.74,15.8,42.6,25.1,5.35,45.9,40.3,6.87,62.7,49.8,6.48,0.39,6.0,0.78,0.78,0.65
NY Red Bulls,2,23.0,1.35,0.13,0.04,0.17,0.04,1.23,0.30,-0.07,-0.08,5.30,15.6,34.0,18.1,4.04,58.5,43.6,6.52,76.7,54.0,7.83,0.61,7.8,1.00,1.00,0.67
NYCFC,1,23.0,1.09,0.13,0.00,0.04,0.00,1.26,0.27,0.17,+0.17,4.78,12.7,37.8,26.7,4.00,33.5,34.5,6.83,54.1,42.4,8.04,0.43,5.4,0.39,0.39,0.56
Orlando City,2,23.0,1.09,0.04,0.00,0.26,0.04,0.98,0.24,-0.07,-0.06,4.17,9.65,43.2,17.2,4.39,33.2,33.4,8.26,47.9,37.9,11.2,0.65,5.8,0.43,0.43,0.60
Philadelphia,3,23.0,0.87,0.04,0.09,0.13,0.00,1.08,0.29,0.21,+0.21,7.26,19.9,36.5,21.8,3.83,59.2,45.0,7.96,87.4,60.5,10.8,0.83,7.6,0.30,0.30,0.57
Portland,3,23.0,1.39,0.04,0.00,0.30,0.00,1.50,0.32,-0.03,-0.03,7.83,17.7,44.3,29.5,4.91,39.4,36.6,9.39,64.4,47.2,12.3,1.00,8.2,0.48,0.48,0.51
Real Salt Lake,3,22.0,1.59,0.05,0.00,0.23,0.09,1.35,0.33,-0.15,-0.15,6.14,20.8,29.5,27.8,3.50,53.9,43.8,7.14,81.5,60.6,7.18,0.55,7.6,0.77,0.77,0.65
San Jose,2,23.0,2.22,0.13,0.04,0.17,0.13,1.74,0.33,-0.35,-0.35,5.87,13.1,44.7,27.8,3.35,38.1,34.8,6.78,37.2,33.5,5.83,0.52,9.0,0.17,0.17,0.55
Seattle,1,22.0,1.05,0.09,0.05,0.18,0.05,1.07,0.28,0.07,+0.07,6.55,12.1,53.9,28.0,4.50,35.7,35.4,6.50,32.9,31.7,7.95,0.91,11.4,0.55,0.55,0.62
Sporting KC,2,21.0,1.19,0.00,0.00,0.19,0.10,1.05,0.26,-0.05,-0.05,5.19,13.2,39.4,22.9,3.67,42.3,38.4,6.67,52.9,45.1,6.29,0.24,3.8,0.95,0.95,0.75
Toronto FC,2,23.0,1.13,0.09,0.04,0.13,0.04,1.17,0.28,0.08,+0.08,6.96,15.3,45.6,30.0,3.96,38.0,34.7,7.30,53.0,40.1,8.17,0.52,6.4,1.22,1.22,0.67
Vancouver,4,23.0,1.96,0.13,0.00,0.26,0.13,1.54,0.27,-0.24,-0.24,7.43,15.5,47.9,24.3,4.61,42.3,37.5,8.70,60.5,44.3,11.5,0.65,5.7,0.39,0.39,0.52
