Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Atlanta,27,23.0,1.00,9.09,3.35,36.8,9.09,3.35,0.10,0.26,18.3,0.91,0.13,0.17,0.94,0.80,0.09,0.06,0.07
Chicago,25,23.0,1.43,13.5,4.57,33.8,13.52,4.57,0.10,0.30,17.5,0.35,0.09,0.17,1.69,1.56,0.12,-0.26,-0.21
Colorado,22,18.0,1.67,13.9,5.28,38.0,13.89,5.28,0.12,0.32,18.0,0.17,0.00,0.00,1.43,1.43,0.11,0.23,0.23
Columbus,26,23.0,1.48,10.6,3.83,36.2,10.57,3.83,0.14,0.38,17.3,0.43,0.04,0.17,1.34,1.20,0.11,0.14,0.23
D.C. United,26,23.0,1.04,9.22,3.13,34.0,9.22,3.13,0.09,0.28,17.6,0.39,0.17,0.17,0.95,0.82,0.09,0.10,0.05
FC Cincinnati,30,23.0,0.48,10.1,2.91,28.9,10.09,2.91,0.04,0.15,18.6,0.74,0.04,0.09,0.97,0.90,0.09,-0.49,-0.47
FC Dallas,27,22.0,1.27,12.5,4.64,37.2,12.45,4.64,0.09,0.25,16.6,0.23,0.14,0.14,1.45,1.34,0.11,-0.17,-0.20
Houston,26,23.0,1.30,14.1,4.91,34.9,14.09,4.91,0.09,0.25,18.4,0.57,0.09,0.17,1.57,1.44,0.11,-0.27,-0.23
LA Galaxy,25,22.0,1.18,11.2,4.00,35.8,11.18,4.00,0.09,0.26,15.9,0.32,0.14,0.18,1.21,1.07,0.10,-0.03,-0.03
Los Angeles FC,28,22.0,2.05,16.0,6.00,37.4,16.05,6.00,0.12,0.33,17.6,1.09,0.09,0.09,1.89,1.82,0.12,0.15,0.13
Miami,28,23.0,1.04,12.7,3.91,30.8,12.70,3.91,0.08,0.26,16.3,0.39,0.04,0.09,1.25,1.19,0.09,-0.21,-0.19
Minnesota,28,21.0,1.57,13.4,4.76,35.5,13.43,4.76,0.11,0.31,18.3,0.67,0.10,0.14,1.42,1.31,0.10,0.15,0.17
Montreal,26,23.0,1.43,10.4,3.96,37.9,10.43,3.96,0.12,0.32,17.0,0.22,0.17,0.17,1.20,1.07,0.11,0.23,0.19
Nashville,26,23.0,1.04,11.8,4.04,34.2,11.83,4.04,0.09,0.26,17.5,0.30,0.00,0.04,1.04,1.01,0.09,0.00,0.03
New England,25,23.0,1.09,14.4,4.43,30.7,14.43,4.43,0.07,0.24,16.7,0.39,0.04,0.13,1.43,1.33,0.09,-0.35,-0.29
NY Red Bulls,27,23.0,1.26,10.6,3.74,35.4,10.57,3.74,0.12,0.33,17.3,0.22,0.04,0.04,1.22,1.19,0.12,0.04,0.03
NYCFC,22,23.0,1.57,15.5,5.96,38.5,15.48,5.96,0.09,0.24,16.8,0.48,0.13,0.13,1.65,1.55,0.10,-0.08,-0.12
Orlando City,28,23.0,1.70,11.3,4.13,36.4,11.35,4.13,0.15,0.40,17.4,0.74,0.04,0.04,1.39,1.36,0.12,0.30,0.30
Philadelphia,23,23.0,1.87,12.7,5.30,41.6,12.74,5.30,0.14,0.34,17.0,0.26,0.09,0.09,1.54,1.48,0.12,0.33,0.30
Portland,27,23.0,2.00,11.2,4.48,40.1,11.17,4.48,0.17,0.42,16.7,0.48,0.13,0.13,1.37,1.27,0.12,0.63,0.60
Real Salt Lake,26,22.0,1.05,12.5,3.32,26.4,12.55,3.32,0.08,0.29,17.7,0.32,0.09,0.14,1.20,1.09,0.09,-0.15,-0.14
San Jose,27,23.0,1.48,13.0,4.78,36.8,13.00,4.78,0.10,0.27,18.3,0.65,0.17,0.22,1.40,1.23,0.10,0.08,0.07
Seattle,27,22.0,1.91,12.6,4.23,33.6,12.59,4.23,0.13,0.40,16.2,0.32,0.23,0.23,1.90,1.73,0.14,0.01,-0.05
Sporting KC,23,21.0,1.76,14.6,4.67,31.9,14.62,4.67,0.12,0.37,17.8,0.86,0.05,0.05,1.58,1.54,0.11,0.19,0.17
Toronto FC,29,23.0,1.43,12.1,4.78,39.4,12.13,4.78,0.10,0.25,17.3,0.48,0.22,0.26,1.56,1.37,0.12,-0.13,-0.15
Vancouver,27,23.0,1.04,8.57,2.87,33.5,8.57,2.87,0.11,0.33,17.2,0.57,0.09,0.17,1.03,0.91,0.11,0.01,0.05
