Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Atlanta,27,23.0,455.2,545.9,83.4,9574.8,2791.9,163.0,182.7,89.3,201.0,224.6,89.5,85.7,122.3,70.1,0.74,0.60,0.14,6.48,33.0,6.91,2.74,31.0
Chicago,25,23.0,387.9,490.1,79.1,7786.8,2604.3,145.4,166.4,87.4,171.3,201.0,85.2,63.3,102.3,61.9,1.13,1.12,0.01,9.83,27.2,9.48,2.52,33.5
Colorado,22,18.0,427.0,516.4,82.7,8895.1,2831.9,149.4,170.1,87.8,199.3,223.2,89.3,73.8,108.9,67.8,1.44,1.13,0.32,10.7,33.9,7.06,1.78,32.7
Columbus,26,23.0,408.2,500.5,81.5,8671.0,2671.3,136.7,156.3,87.5,191.1,217.5,87.9,76.5,113.4,67.4,1.13,1.00,0.13,8.35,31.8,8.09,2.00,33.6
D.C. United,26,23.0,366.0,466.0,78.5,7241.0,2468.7,145.3,166.3,87.4,159.0,187.2,84.9,56.2,96.7,58.2,0.52,0.57,-0.05,6.65,23.8,5.96,2.22,26.0
FC Cincinnati,30,23.0,413.8,501.3,82.5,8595.5,2581.0,145.6,163.1,89.3,191.7,215.7,88.9,71.0,108.6,65.4,0.22,0.60,-0.38,7.13,22.5,3.87,1.26,22.6
FC Dallas,27,22.0,402.9,496.5,81.1,8287.4,2684.9,142.9,162.4,88.0,186.5,213.0,87.6,67.6,105.6,64.1,0.82,1.02,-0.20,9.95,27.0,7.68,2.18,31.4
Houston,26,23.0,394.0,488.4,80.7,8236.8,2642.7,137.0,157.7,86.9,177.4,202.7,87.6,72.2,108.6,66.5,0.87,1.02,-0.15,10.5,32.0,8.61,2.48,39.2
LA Galaxy,25,22.0,339.7,438.1,77.5,6583.7,2527.3,148.7,170.4,87.3,136.1,163.7,83.2,49.3,88.1,55.9,0.77,0.86,-0.09,8.50,26.2,7.41,1.91,31.2
Los Angeles FC,28,22.0,453.9,556.4,81.6,8436.3,2965.5,195.1,220.2,88.6,198.9,230.1,86.4,53.7,87.5,61.3,1.45,1.34,0.11,11.6,41.5,11.1,1.32,49.5
Miami,28,23.0,346.6,440.2,78.7,6982.6,2470.0,133.8,152.6,87.7,151.5,177.8,85.2,55.6,94.0,59.1,0.78,0.87,-0.09,8.78,29.3,7.83,2.17,35.0
Minnesota,28,21.0,373.9,472.8,79.1,7134.2,2606.3,162.4,183.1,88.7,148.7,176.5,84.2,54.5,93.3,58.4,1.29,1.01,0.27,9.71,29.9,7.33,2.29,34.5
Montreal,26,23.0,390.5,480.7,81.2,8046.3,2637.2,139.3,157.3,88.5,181.8,207.4,87.6,65.4,100.0,65.4,0.91,0.83,0.09,7.96,33.9,6.26,1.74,33.3
Nashville,26,23.0,360.9,452.1,79.8,7360.8,2536.7,137.1,155.3,88.3,158.3,181.7,87.1,60.5,101.4,59.7,0.87,0.79,0.08,8.35,28.2,5.61,1.96,30.3
New England,25,23.0,380.9,486.1,78.4,7957.7,2824.0,143.7,168.4,85.3,159.6,187.0,85.4,71.7,112.2,63.9,0.74,1.09,-0.35,11.0,30.5,9.04,2.57,36.9
NY Red Bulls,27,23.0,320.1,446.9,71.6,5704.9,2391.5,154.4,186.4,82.8,119.4,154.7,77.2,37.7,81.9,46.1,0.91,0.95,-0.04,8.04,30.4,8.61,2.43,36.7
NYCFC,22,23.0,432.4,533.1,81.1,8494.6,2880.2,178.6,201.9,88.5,179.8,206.6,87.0,66.6,103.2,64.5,1.13,1.19,-0.06,12.1,32.0,11.3,1.70,40.8
Orlando City,28,23.0,395.6,480.9,82.3,7824.2,2662.0,150.7,170.0,88.6,178.8,203.7,87.8,59.6,91.3,65.2,1.30,1.05,0.26,8.26,28.6,7.35,1.91,33.3
Philadelphia,23,23.0,352.0,454.1,77.5,7353.7,2562.8,131.2,153.9,85.2,150.1,178.2,84.2,65.0,105.3,61.7,1.30,1.18,0.13,9.52,28.9,7.96,1.91,34.4
Portland,27,23.0,374.8,470.8,79.6,7697.4,2764.3,138.3,159.0,87.0,166.7,193.9,86.0,64.2,101.6,63.2,1.48,0.97,0.51,8.74,29.0,8.30,2.09,35.1
Real Salt Lake,26,22.0,387.8,491.9,78.8,8032.1,2587.2,144.9,165.4,87.6,171.6,198.3,86.5,66.7,113.5,58.8,0.64,0.73,-0.09,8.41,28.1,6.27,2.05,27.9
San Jose,27,23.0,423.8,515.7,82.2,8968.1,2644.7,151.2,169.7,89.1,186.7,211.5,88.3,81.0,118.5,68.3,1.00,0.88,0.12,9.13,30.7,6.78,2.17,32.0
Seattle,27,22.0,465.2,563.3,82.6,9359.3,3126.4,186.0,209.6,88.7,189.6,215.7,87.9,81.2,115.6,70.2,1.36,1.33,0.03,9.00,37.0,9.59,2.73,38.3
Sporting KC,23,21.0,383.5,479.8,79.9,7797.3,2510.3,141.2,162.8,86.7,173.7,198.4,87.6,62.1,100.0,62.1,1.14,1.05,0.09,9.52,35.2,8.19,1.86,33.8
Toronto FC,29,23.0,482.5,575.1,83.9,8984.7,2967.5,209.0,230.6,90.6,200.7,226.0,88.8,62.9,97.5,64.5,0.96,1.00,-0.05,9.65,35.2,10.7,2.17,39.7
Vancouver,27,23.0,343.3,428.4,80.1,7253.7,2528.0,119.4,136.0,87.8,158.8,181.9,87.3,61.4,97.9,62.7,0.78,0.71,0.07,6.22,23.2,5.26,1.57,26.0
