Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Atlanta,27,23.0,545.9,497.4,48.5,15.7,0.43,63.2,22.6,13.4,4.78,1.43,2.48,0.30,391.7,63.3,90.9,137.8,359.9,14.5,18.9,6.39,455.2,1.48,8.09,5.17,11.9
Chicago,25,23.0,490.1,439.6,50.5,14.3,1.04,62.8,15.0,12.1,4.65,2.48,1.48,0.30,325.7,67.3,97.1,162.0,270.7,20.0,22.3,6.61,387.9,1.83,8.96,5.65,13.2
Colorado,22,18.0,516.4,472.6,43.8,12.0,0.67,62.9,19.7,12.6,4.78,2.28,1.78,0.22,367.9,62.8,85.8,153.6,312.4,14.3,17.1,9.22,427.0,1.33,6.78,6.61,12.7
Columbus,26,23.0,500.5,452.6,48.0,14.6,0.70,66.2,17.6,13.8,4.87,2.04,1.26,0.52,357.3,56.4,86.9,122.7,329.4,14.6,18.7,5.57,408.2,1.83,9.00,4.65,11.1
D.C. United,26,23.0,466.0,416.5,49.6,14.2,0.48,56.3,14.8,9.22,3.91,1.65,1.35,0.57,308.1,63.9,94.0,108.7,300.1,20.2,20.7,5.70,366.0,2.09,8.57,5.48,12.2
FC Cincinnati,30,23.0,501.3,452.9,48.3,14.5,0.74,62.4,19.0,8.17,3.74,2.17,1.22,0.26,356.5,56.2,88.5,167.7,284.6,13.8,18.4,7.22,413.8,1.61,8.48,5.04,8.87
FC Dallas,27,22.0,496.5,447.5,49.0,13.6,1.00,65.9,18.4,12.7,5.05,1.73,2.23,0.18,337.2,66.0,93.3,135.9,310.8,13.7,18.9,7.45,402.9,1.32,9.18,5.64,10.6
Houston,26,23.0,488.4,439.0,49.5,12.3,0.70,61.3,19.4,11.9,5.91,1.22,1.96,0.87,341.3,64.8,82.3,149.2,290.2,13.0,20.1,7.30,394.0,1.78,8.22,5.52,14.2
LA Galaxy,25,22.0,438.1,391.5,46.6,11.2,0.50,60.8,14.3,14.5,5.32,2.18,1.14,0.59,280.7,62.0,95.5,103.5,283.5,14.3,19.4,5.27,339.7,1.41,8.00,5.73,12.2
Los Angeles FC,28,22.0,556.4,503.9,52.5,13.6,1.41,64.8,12.0,13.0,6.18,2.41,2.09,0.82,406.3,70.3,79.8,174.5,324.6,17.4,24.7,7.05,453.9,1.95,8.64,10.2,13.4
Miami,28,23.0,440.2,389.4,50.7,15.8,0.91,59.0,17.1,13.7,5.39,3.52,1.09,0.57,283.0,64.9,92.3,123.0,265.0,16.3,20.9,5.65,346.6,2.09,8.96,4.43,12.1
Minnesota,28,21.0,472.8,424.2,48.6,14.1,0.57,74.3,13.2,13.0,4.67,1.76,2.62,0.19,315.2,66.3,91.2,145.3,272.1,16.5,19.6,7.14,373.9,0.86,9.76,5.81,12.0
Montreal,26,23.0,480.7,431.8,48.8,12.2,1.17,63.8,16.3,10.5,4.48,1.22,1.61,0.48,343.3,56.6,80.8,131.3,302.3,12.8,21.3,6.48,390.5,2.04,9.30,5.17,12.9
Nashville,26,23.0,452.1,407.1,45.0,13.0,0.43,66.0,14.1,11.0,4.48,1.61,2.43,0.17,297.8,60.3,94.0,149.6,249.6,16.3,18.5,6.26,360.9,0.96,8.48,5.96,10.2
New England,25,23.0,486.1,430.5,55.6,14.2,0.87,68.0,19.6,14.4,6.83,1.35,3.13,0.39,311.5,71.7,103.0,105.6,315.5,18.6,25.5,7.65,380.9,1.78,11.9,6.70,13.5
NY Red Bulls,27,23.0,446.9,392.8,54.0,13.8,0.65,71.3,6.70,14.0,4.74,1.78,1.57,0.39,263.2,74.8,108.9,132.0,239.9,25.6,26.6,6.52,320.1,1.83,11.2,7.22,16.1
NYCFC,22,23.0,533.1,482.2,51.0,13.3,1.78,72.0,18.1,10.7,6.52,2.13,2.30,0.96,365.3,72.8,95.0,192.8,281.5,18.6,22.2,7.48,432.4,2.74,8.22,5.78,15.8
Orlando City,28,23.0,480.9,433.9,47.0,14.1,0.87,68.0,14.4,11.0,4.52,1.04,1.48,0.96,336.2,60.7,83.9,126.0,305.9,15.7,18.0,6.13,395.6,0.91,7.22,5.13,10.3
Philadelphia,23,23.0,454.1,404.3,49.9,11.7,1.13,63.2,18.5,12.7,4.78,0.96,2.09,0.61,295.1,61.2,97.8,94.0,300.1,16.4,23.6,6.57,352.0,1.87,10.2,6.43,12.3
Portland,27,23.0,470.8,422.3,48.6,14.6,0.74,64.1,14.0,10.3,3.78,1.30,1.61,0.48,309.9,63.0,97.9,113.6,306.1,16.9,18.2,7.22,374.8,1.04,8.26,6.52,12.3
Real Salt Lake,26,22.0,491.9,442.5,49.5,12.3,0.41,71.6,18.3,13.5,4.95,1.91,1.91,0.73,319.7,69.1,103.1,123.1,310.6,17.5,22.5,6.14,387.8,1.09,8.64,6.18,12.0
San Jose,27,23.0,515.7,467.0,48.7,12.4,0.70,61.1,23.7,12.3,6.09,1.87,1.74,0.57,359.0,66.4,90.4,148.0,319.7,13.7,20.2,5.17,423.8,1.26,9.57,5.22,12.7
Seattle,27,22.0,563.3,517.0,46.3,12.5,1.73,74.9,21.6,14.3,5.64,1.50,2.36,0.41,394.6,70.0,98.7,166.6,338.3,20.0,19.5,7.59,465.2,1.86,8.50,6.64,14.5
Sporting KC,23,21.0,479.8,429.7,50.0,12.5,1.33,56.9,17.8,13.1,6.24,3.24,1.00,0.71,315.0,68.1,96.7,153.2,270.5,16.8,22.5,5.29,383.5,1.14,10.1,5.71,13.9
Toronto FC,29,23.0,575.1,526.5,48.7,14.7,1.00,73.9,14.5,11.6,5.13,1.22,1.96,0.52,425.5,62.7,87.0,177.9,346.5,16.5,19.3,6.26,482.5,1.61,9.39,6.96,12.3
Vancouver,27,23.0,428.4,382.3,46.2,14.1,0.78,59.0,14.3,9.13,3.43,1.39,1.48,0.17,283.9,50.1,94.4,123.8,256.3,15.1,17.0,6.65,343.3,1.13,7.52,4.48,10.0
