Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG
Atlanta,27,23.0,14.8,14.83,10.7,1.30,0.74,0.43,1.57,0.09,1.70,1.70,1.17,0.09,0.22,0.09,0.13,0.00,0.00
Chicago,25,23.0,21.0,20.96,15.5,1.65,1.13,1.39,1.00,0.26,2.13,2.13,1.22,0.17,0.17,0.39,0.13,0.04,0.00
Colorado,22,18.0,21.7,21.72,16.8,1.33,1.56,0.94,0.78,0.33,2.83,2.83,2.06,0.22,0.28,0.11,0.17,0.00,0.00
Columbus,26,23.0,18.0,17.96,13.7,1.09,1.26,0.70,0.78,0.48,2.52,2.52,1.96,0.09,0.22,0.13,0.09,0.04,0.00
D.C. United,26,23.0,14.2,14.22,10.2,1.57,0.35,0.87,0.96,0.30,1.52,1.52,0.65,0.26,0.04,0.26,0.17,0.13,0.00
FC Cincinnati,30,23.0,16.2,16.22,10.8,1.74,1.00,1.04,1.43,0.22,0.70,0.70,0.30,0.09,0.04,0.17,0.09,0.00,0.00
FC Dallas,27,22.0,19.9,19.86,15.4,1.68,1.14,0.73,0.55,0.41,1.82,1.82,1.45,0.05,0.09,0.05,0.14,0.05,0.00
Houston,26,23.0,23.1,23.09,17.6,1.52,1.17,1.00,1.09,0.70,2.00,2.00,1.35,0.09,0.09,0.26,0.17,0.04,0.00
LA Galaxy,25,22.0,18.0,18.00,12.5,1.86,1.32,0.91,1.05,0.36,1.91,1.91,1.23,0.14,0.18,0.14,0.23,0.00,0.00
Los Angeles FC,28,22.0,25.7,25.73,18.8,1.77,1.55,1.82,1.45,0.36,3.14,3.14,2.09,0.14,0.18,0.55,0.14,0.05,0.00
Miami,28,23.0,18.8,18.83,12.8,2.52,0.91,1.13,1.35,0.13,1.65,1.65,1.35,0.13,0.04,0.00,0.13,0.00,0.00
Minnesota,28,21.0,21.4,21.38,15.2,1.67,1.24,1.29,1.19,0.81,2.95,2.95,2.19,0.19,0.10,0.14,0.29,0.05,0.00
Montreal,26,23.0,17.0,17.04,12.3,1.57,0.83,1.26,0.70,0.39,2.48,2.48,1.65,0.13,0.13,0.35,0.17,0.04,0.00
Nashville,26,23.0,17.5,17.48,12.1,2.00,1.00,1.09,1.00,0.30,1.78,1.78,1.09,0.26,0.09,0.17,0.17,0.00,0.00
New England,25,23.0,23.4,23.39,15.7,2.87,1.83,1.48,1.04,0.43,1.87,1.87,1.22,0.13,0.22,0.22,0.04,0.04,0.00
NY Red Bulls,27,23.0,16.0,16.04,12.7,1.13,0.52,0.83,0.35,0.48,1.96,1.96,1.61,0.04,0.04,0.17,0.09,0.00,0.00
NYCFC,22,23.0,25.0,25.00,18.5,2.78,0.74,1.48,1.04,0.48,2.39,2.39,1.52,0.30,0.13,0.22,0.17,0.04,0.00
Orlando City,28,23.0,18.1,18.09,12.9,1.52,1.04,0.78,1.52,0.30,3.04,3.04,2.22,0.17,0.17,0.22,0.22,0.04,0.00
Philadelphia,23,23.0,20.3,20.26,15.5,1.39,0.91,1.00,0.61,0.83,3.04,3.04,2.52,0.09,0.04,0.13,0.17,0.09,0.00
Portland,27,23.0,18.9,18.91,13.7,1.70,1.57,0.61,1.04,0.35,3.48,3.48,2.48,0.17,0.35,0.26,0.17,0.04,0.00
Real Salt Lake,26,22.0,17.9,17.86,12.7,1.64,1.05,1.41,0.73,0.36,1.68,1.68,1.18,0.09,0.18,0.14,0.05,0.05,0.00
San Jose,27,23.0,21.7,21.65,15.0,2.22,1.61,1.17,1.17,0.52,2.87,2.87,2.09,0.13,0.26,0.13,0.22,0.04,0.00
Seattle,27,22.0,19.7,19.68,14.1,1.95,1.23,1.00,1.05,0.32,3.18,3.18,2.32,0.14,0.32,0.18,0.18,0.05,0.00
Sporting KC,23,21.0,22.4,22.38,15.0,1.86,2.29,1.62,1.19,0.38,2.67,2.67,1.71,0.14,0.38,0.33,0.10,0.00,0.00
Toronto FC,29,23.0,20.6,20.61,16.4,1.30,0.96,0.96,0.87,0.13,2.26,2.26,1.70,0.00,0.13,0.35,0.09,0.00,0.00
Vancouver,27,23.0,14.3,14.35,9.96,1.39,0.70,0.48,1.39,0.43,2.22,2.22,1.57,0.04,0.17,0.13,0.17,0.13,0.00
