Atlanta,27,54.8,23.0,643.1,68.0,220.9,316.0,149.7,18.7,597.7,10.9,17.7,61.4,11.6,0.52,451.0,2400.2,1264.9,45.1,13.6,2.70,12.4,11.2,509.6,455.2,89.3,39.0
Chicago,25,51.0,23.0,605.3,65.8,206.7,282.2,151.2,25.3,555.9,10.3,16.9,61.3,11.1,0.30,385.7,1848.8,1013.2,38.5,12.0,3.83,12.9,11.6,447.4,387.9,86.7,41.5
Colorado,22,52.0,18.0,625.9,65.8,206.5,300.8,162.6,21.9,584.0,10.5,18.3,57.3,11.7,0.44,407.8,2223.8,1217.6,51.6,15.2,4.78,9.56,10.3,479.5,427.0,89.1,38.7
Columbus,26,52.2,23.0,607.1,61.7,190.4,289.1,164.6,22.0,560.7,10.3,15.6,66.5,10.9,0.61,393.9,1929.8,1024.0,40.0,13.8,3.74,11.7,10.7,469.6,408.2,86.9,40.0
D.C. United,26,46.0,23.0,581.4,68.1,221.7,270.8,121.7,15.5,533.4,6.87,11.6,59.4,7.52,0.39,349.1,1545.8,816.0,28.6,9.78,1.87,11.7,12.0,425.3,366.0,86.0,33.5
FC Cincinnati,30,49.3,23.0,609.1,68.7,256.2,278.5,111.6,14.3,561.7,8.30,14.4,57.5,9.17,0.57,390.6,1909.9,1011.8,36.3,10.5,3.30,14.9,10.3,468.9,413.8,88.3,27.1
FC Dallas,27,51.4,22.0,615.8,77.5,238.7,277.3,138.6,23.5,568.8,9.18,16.3,56.4,10.0,0.36,390.9,2087.5,1167.1,43.0,12.1,4.00,12.9,10.4,460.7,402.9,87.4,36.5
Houston,26,48.5,23.0,604.3,70.8,219.9,260.6,162.9,24.7,556.5,8.17,14.6,56.0,8.78,0.52,376.8,1933.7,1136.8,43.1,12.3,4.87,12.0,11.3,456.1,394.0,86.4,41.4
LA Galaxy,25,45.0,22.0,548.4,56.5,175.9,247.4,156.9,22.8,502.5,9.73,16.9,57.5,10.5,0.27,335.6,1636.5,851.4,35.6,11.1,4.41,12.4,11.3,398.5,339.7,85.2,38.1
Los Angeles FC,28,58.6,22.0,691.8,51.9,177.0,334.1,222.8,32.1,640.7,13.2,23.2,57.1,14.0,1.14,457.5,2197.9,1235.1,55.4,17.0,5.64,17.1,17.5,528.0,453.9,86.0,57.8
Miami,28,47.1,23.0,551.2,48.6,168.1,257.8,159.3,24.6,502.9,9.65,17.2,56.2,10.3,0.43,333.9,1849.7,1004.9,39.3,11.7,3.74,13.1,12.8,400.6,346.6,86.5,43.7
Minnesota,28,47.3,21.0,594.2,61.5,185.8,270.1,173.0,22.4,547.3,10.8,17.9,60.1,11.6,0.81,357.0,1713.0,924.0,38.3,12.9,3.95,13.2,11.7,434.2,373.9,86.1,40.4
