Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Atlanta,27,25.6,23,2070,90,100,23.0,11.0,81,6.65,4.35,22,4.83,0.96,1.00,1.30,-0.30,-0.30,0.94,1.26,-0.32,-0.32
Chicago,25,26.7,23,2070,90,100,23.0,11.0,84,7.13,3.83,18,5.39,1.00,1.43,1.70,-0.26,-0.26,1.69,1.54,0.15,+0.15
Colorado,22,25.8,18,1620,90,100,18.0,11.0,82,6.89,4.00,21,5.00,1.56,1.78,1.56,0.22,+0.22,1.43,1.27,0.16,+0.16
Columbus,26,27.4,23,2070,90,100,23.0,11.0,82,7.09,3.91,22,5.17,1.78,1.57,0.91,0.65,+0.65,1.34,1.30,0.04,+0.04
D.C. United,26,26.6,23,2070,90,100,23.0,11.0,81,6.91,4.00,23,4.48,0.91,1.09,1.78,-0.70,-0.70,0.95,1.60,-0.66,-0.65
FC Cincinnati,30,27.5,23,2070,90,100,23.0,11.0,83,7.52,3.52,21,4.65,0.70,0.52,1.57,-1.04,-1.04,0.97,1.33,-0.36,-0.36
FC Dallas,27,27.0,22,1980,90,100,22.0,11.0,82,6.77,4.23,21,4.59,1.55,1.27,1.09,0.18,+0.18,1.45,1.39,0.06,+0.06
Houston,26,27.7,23,2070,90,100,23.0,11.0,83,7.00,3.87,20,5.30,0.91,1.30,1.74,-0.43,-0.43,1.57,1.64,-0.07,-0.07
LA Galaxy,25,27.2,22,1980,90,100,22.0,11.0,83,7.27,3.55,20,5.09,1.00,1.23,2.09,-0.86,-0.86,1.21,1.61,-0.40,-0.40
Los Angeles FC,28,24.8,22,1980,90,100,22.0,11.0,81,6.86,4.18,24,4.82,1.45,2.14,1.77,0.36,+0.36,1.89,1.32,0.57,+0.57
Miami,28,26.8,23,2070,90,100,23.0,11.0,84,7.04,3.87,17,5.17,1.04,1.09,1.52,-0.43,-0.43,1.25,1.30,-0.04,-0.04
Minnesota,28,27.5,21,1890,90,100,21.0,11.0,83,7.71,3.24,23,4.76,1.62,1.71,1.24,0.48,+0.48,1.42,1.73,-0.30,-0.31
Montreal,26,26.2,23,2070,90,100,23.0,11.0,84,7.91,2.91,20,5.96,1.13,1.43,1.87,-0.43,-0.43,1.20,1.68,-0.48,-0.48
Nashville,26,26.9,23,2070,90,100,23.0,11.0,81,6.78,4.22,23,4.57,1.39,1.04,0.96,0.09,+0.09,1.04,1.10,-0.07,-0.06
New England,25,26.6,23,2070,90,100,23.0,11.0,81,6.83,4.17,23,4.96,1.39,1.13,1.09,0.04,+0.04,1.43,1.17,0.27,+0.26
NY Red Bulls,27,25.0,23,2070,90,100,23.0,11.0,81,6.30,4.65,22,4.57,1.39,1.26,1.35,-0.09,-0.09,1.22,1.48,-0.26,-0.26
NYCFC,22,26.7,23,2070,90,100,23.0,11.0,84,7.09,4.00,15,4.96,1.70,1.61,1.09,0.52,+0.52,1.65,1.23,0.42,+0.42
Orlando City,28,26.2,23,2070,90,100,23.0,11.0,82,6.57,4.35,18,4.70,1.78,1.74,1.09,0.65,+0.65,1.39,1.12,0.27,+0.27
Philadelphia,23,25.8,23,2070,90,100,23.0,11.0,83,7.22,3.78,19,5.17,2.04,1.91,0.87,1.04,+1.04,1.54,1.11,0.43,+0.44
Portland,27,27.9,23,2070,90,100,23.0,11.0,83,6.87,4.17,18,5.04,1.70,2.00,1.52,0.48,+0.48,1.37,1.53,-0.17,-0.16
Real Salt Lake,26,27.0,22,1980,90,100,22.0,11.0,84,7.23,3.73,18,5.32,1.00,1.14,1.59,-0.45,-0.45,1.20,1.30,-0.11,-0.11
San Jose,27,27.3,23,2070,90,100,23.0,11.0,82,6.87,4.09,21,5.13,1.30,1.52,2.22,-0.70,-0.70,1.40,1.61,-0.21,-0.21
Seattle,27,27.9,22,1980,90,100,22.0,11.0,84,6.82,4.18,17,4.32,1.77,2.00,1.05,0.95,+0.95,1.90,0.95,0.95,+0.95
Sporting KC,23,27.9,21,1890,90,100,21.0,11.0,83,7.38,3.52,23,5.52,1.86,1.81,1.19,0.62,+0.62,1.58,1.23,0.35,+0.35
Toronto FC,29,28.0,23,2070,90,100,23.0,11.0,82,6.74,4.26,22,4.91,1.91,1.43,1.13,0.30,+0.30,1.56,1.10,0.46,+0.46
Vancouver,27,25.5,23,2070,90,100,23.0,11.0,82,6.78,4.04,21,4.78,1.17,1.17,1.91,-0.74,-0.74,1.03,1.65,-0.61,-0.61
