Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5.0,1.20,0.00,0.00,0.40,0.00,1.84,0.33,0.64,+0.63,9.60,27.4,35.0,25.0,4.60,75.2,54.8,10.4,82.7,67.7,12.6,0.80,6.3,0.20,0.20,2.26,Matches
2,Alisson\Alisson,br BRA,GK,eng Liverpool,25,1992,13.0,0.92,0.00,0.08,0.15,0.08,1.24,0.30,0.39,+0.39,4.69,10.9,43.0,27.7,5.69,27.2,32.3,6.62,51.2,44.4,6.69,0.62,9.2,0.85,0.85,1.33,Matches
3,Alphonse Areola\Alphonse-Areola,fr FRA,GK,fr Paris S-G,25,1993,3.0,2.00,0.33,0.00,0.33,0.00,1.43,0.23,-0.57,-0.57,4.33,6.33,68.4,23.3,3.67,18.6,26.2,6.00,33.3,36.0,7.67,0.33,4.3,0.00,0.00,3.00,Matches
4,Loic Badiashile\Loic-Badiashile,fr FRA,GK,fr Monaco,20,1998,1.0,1.00,0.00,0.00,0.00,0.00,1.80,0.36,0.80,+0.81,10.0,21.0,47.6,20.0,1.00,60.0,45.5,10.0,90.0,65.8,12.0,2.00,16.7,0.00,0.00,15.3,Matches
5,David von Ballmoos\David-von-Ballmoos,ch SUI,GK,ch Young Boys,23,1994,4.0,2.50,0.25,0.00,0.00,0.00,2.05,0.38,-0.45,-0.46,11.0,27.3,40.4,29.3,4.00,64.1,45.3,9.00,94.4,66.3,9.50,0.50,5.3,1.00,1.00,3.73,Matches
6,Vasilios Barkas\Vasilios-Barkas,gr GRE,GK,gr AEK Athens,24,1994,6.0,2.17,0.33,0.17,0.50,0.00,2.42,0.33,0.25,+0.25,11.3,25.8,43.9,26.2,2.67,72.0,50.1,9.00,77.8,54.5,12.0,1.67,13.9,0.17,0.17,2.02,Matches
7,Oliver Baumann\Oliver-Baumann,de GER,GK,de Hoffenheim,28,1990,6.0,2.33,0.00,0.17,0.33,0.00,2.17,0.29,-0.17,-0.17,6.67,16.8,39.6,27.3,4.67,41.5,35.1,9.00,61.1,48.3,7.33,0.50,6.8,1.00,1.00,2.80,Matches
8,Diego Benaglio\Diego-Benaglio,ch SUI,GK,fr Monaco,34,1983,4.5,2.22,0.22,0.00,0.22,0.00,1.87,0.45,-0.36,-0.37,4.22,8.67,48.7,18.9,4.00,32.9,31.4,7.78,31.4,35.6,5.78,0.22,3.8,0.67,0.67,3.87,Matches
9,Milan Borjan\Milan-Borjan,ca CAN,GK,rs Red Star,30,1987,6.0,2.83,0.17,0.33,0.17,0.00,2.78,0.27,-0.05,-0.04,8.67,24.2,35.9,25.3,3.67,63.8,47.9,11.0,72.7,56.3,10.8,1.00,9.2,0.50,0.50,2.32,Matches
10,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,fr Paris S-G,40,1978,5.0,1.20,0.60,0.00,0.00,0.00,1.08,0.26,-0.12,-0.13,3.40,11.6,29.3,18.2,3.60,35.2,32.3,7.40,70.3,50.0,7.40,0.00,0.0,0.60,0.60,2.78,Matches
