Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Vincent Aboubakar\Vincent-Aboubakar,cm CMR,FW,pt Porto,26,1992,0.7,21.4,21.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.4,8.57,1.43,1.43,11.4,5.71,0.00,2.86,8.57,0.00,1.43,2.86,1.43,Matches
2,Michel Aebischer\Michel-Aebischer,ch SUI,MF,ch Young Boys,21,1997,2.5,51.6,47.6,4.00,1.60,0.00,5.60,2.00,0.00,1.60,0.00,0.00,0.00,41.6,3.20,6.80,5.60,44.4,1.20,0.00,0.40,44.0,0.00,0.00,1.20,1.60,Matches
3,Sergio Agüero\Sergio-Aguero,ar ARG,FW,eng Manchester City,30,1988,5.6,29.8,27.3,2.50,0.00,0.36,5.71,0.18,0.89,0.00,0.00,0.00,0.00,23.8,4.11,1.96,4.46,23.9,0.54,0.18,0.71,25.4,0.00,0.36,0.71,1.25,Matches
4,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MFFW,fr Monaco,24,1994,2.0,31.0,30.0,1.00,1.00,0.50,2.00,0.50,0.00,0.00,0.00,0.00,0.00,23.5,3.00,4.50,21.0,6.50,3.00,0.00,0.00,26.5,0.00,1.00,0.00,0.00,Matches
5,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,fr Monaco,22,1996,2.7,73.3,72.2,1.11,1.11,0.00,11.9,2.22,0.37,0.00,0.00,0.00,0.00,63.3,4.44,5.56,11.5,59.3,2.59,0.00,0.00,63.7,0.00,1.85,0.74,1.11,Matches
6,Manuel Akanji\Manuel-Akanji,ch SUI,DF,de Dortmund,23,1995,5.0,113.6,112.2,1.40,1.40,0.20,9.80,3.60,0.00,0.00,0.00,0.00,0.00,103.4,3.80,6.40,22.0,87.0,3.60,0.00,0.20,107.8,0.20,1.00,0.60,0.00,Matches
7,Emre Akbaba\Emre-Akbaba,tr TUR,FW,tr Galatasaray,25,1992,1.0,31.0,25.0,6.00,2.00,0.00,2.00,2.00,3.00,4.00,0.00,0.00,0.00,20.0,4.00,7.00,24.0,4.00,3.00,0.00,0.00,19.0,0.00,0.00,1.00,1.00,Matches
8,Yunus Akgün\Yunus-Akgun,tr TUR,MF,tr Galatasaray,18,2000,0.1,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,10.0,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,Matches
9,Ilzat Akhmetov\Ilzat-Akhmetov,ru RUS,MF,ru CSKA Moscow,20,1997,3.3,55.8,55.5,0.30,0.30,0.00,10.3,1.82,0.30,0.00,0.00,0.00,0.00,43.9,7.88,3.94,11.8,41.5,2.12,0.00,0.30,45.2,0.61,1.21,0.91,1.82,Matches
10,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5.0,35.4,21.2,14.2,3.80,0.00,1.40,2.00,0.00,0.00,0.00,0.00,0.00,6.60,2.40,26.4,1.20,26.8,0.00,0.00,4.60,17.4,0.00,1.40,0.20,0.00,Matches
