Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
1,Vincent Aboubakar\Vincent-Aboubakar,cm CMR,FW,pt Porto,26,1992,0.7,2.86,3.05,1.43,0.00,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2,Michel Aebischer\Michel-Aebischer,ch SUI,MF,ch Young Boys,21,1997,2.5,1.20,1.18,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
3,Sergio Agüero\Sergio-Aguero,ar ARG,FW,eng Manchester City,30,1988,5.6,2.50,2.49,1.96,0.00,0.54,0.00,0.00,0.00,0.36,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.00,Matches
4,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MFFW,fr Monaco,24,1994,2.0,1.00,1.02,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,fr Monaco,22,1996,2.7,1.11,1.09,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Manuel Akanji\Manuel-Akanji,ch SUI,DF,de Dortmund,23,1995,5.0,0.60,0.60,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
7,Emre Akbaba\Emre-Akbaba,tr TUR,FW,tr Galatasaray,25,1992,1.0,8.00,8.00,2.00,2.00,0.00,1.00,3.00,0.00,3.00,3.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,Matches
8,Yunus Akgün\Yunus-Akgun,tr TUR,MF,tr Galatasaray,18,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
9,Ilzat Akhmetov\Ilzat-Akhmetov,ru RUS,MF,ru CSKA Moscow,20,1997,3.3,2.12,2.10,1.82,0.00,0.00,0.30,0.00,0.00,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,Matches
10,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5.0,0.40,0.40,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
11,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,de Hoffenheim,23,1995,2.0,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
12,David Alaba\David-Alaba,at AUT,DF,de Bayern Munich,26,1992,7.0,1.14,1.14,1.00,0.14,0.00,0.00,0.00,0.00,0.29,0.29,0.29,0.00,0.00,0.00,0.00,0.00,0.00,Matches
13,Jordi Alba\Jordi-Alba,es ESP,DF,es Barcelona,29,1989,11.0,2.82,2.82,2.64,0.09,0.00,0.00,0.00,0.09,0.64,0.64,0.55,0.00,0.00,0.00,0.00,0.09,0.00,Matches
14,Raúl Albiol\Raul-Albiol,es ESP,DF,it Napoli,32,1985,5.5,0.36,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.00,Matches
15,Paco Alcácer\Paco-Alcacer,es ESP,FW,de Dortmund,24,1993,4.0,2.25,2.28,1.75,0.00,0.25,0.25,0.00,0.00,0.50,0.51,0.25,0.00,0.25,0.00,0.00,0.00,0.00,Matches
16,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,de Bayern Munich,27,1991,4.3,2.56,2.54,1.63,0.23,0.00,0.23,0.23,0.23,0.47,0.46,0.23,0.00,0.00,0.00,0.23,0.00,0.00,Matches
17,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,eng Tottenham,29,1989,12.0,0.67,0.67,0.58,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
18,Alef\Alef,br BRA,MF,gr AEK Athens,23,1995,2.2,0.45,0.45,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
19,Carles Aleñá\Carles-Alena,es ESP,MF,es Barcelona,20,1998,1.0,4.00,3.91,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
20,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,eng Liverpool,19,1998,10.2,3.24,3.23,2.16,0.88,0.10,0.00,0.00,0.10,0.59,0.59,0.39,0.10,0.00,0.00,0.00,0.10,0.00,Matches
21,Alisson\Alisson,br BRA,GK,eng Liverpool,25,1992,13.0,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
22,Allan\Allan,br BRA,MF,it Napoli,27,1991,5.7,1.75,1.76,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
23,Dele Alli\Dele-Alli,eng ENG,MF,eng Tottenham,22,1996,7.9,4.30,4.33,3.54,0.00,0.25,0.25,0.13,0.13,0.51,0.51,0.38,0.00,0.13,0.00,0.00,0.00,0.00,Matches
