Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Vincent Aboubakar\Vincent-Aboubakar,cm CMR,FW,pt Porto,26,1992,0.7,32.9,1.43,4.29,10.0,20.0,7.14,32.9,1.43,2.86,50.0,2.86,0.00,21.4,108.6,31.4,1.43,0.00,0.00,1.43,0.00,38.6,27.1,70.4,14.3,Matches
2,Michel Aebischer\Michel-Aebischer,ch SUI,MF,ch Young Boys,21,1997,2.5,60.4,2.80,13.2,39.6,10.8,2.40,56.8,0.00,0.40,0.0,0.00,0.00,44.8,190.8,112.8,3.20,0.80,1.20,0.80,0.80,42.0,40.4,96.2,1.20,Matches
3,Sergio Agüero\Sergio-Aguero,ar ARG,FW,eng Manchester City,30,1988,5.6,45.7,0.00,0.71,18.2,30.2,8.75,42.9,1.96,3.75,52.4,2.32,0.00,37.5,154.8,77.5,5.00,1.79,1.07,2.86,3.04,54.3,37.3,68.8,14.8,Matches
4,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MFFW,fr Monaco,24,1994,2.0,39.5,0.50,7.50,28.5,6.50,1.00,38.5,0.50,1.00,50.0,1.00,0.00,24.5,126.5,86.0,4.00,1.50,0.00,1.00,1.50,29.0,25.0,86.2,1.50,Matches
5,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,fr Monaco,22,1996,2.7,83.7,4.44,23.7,58.1,8.89,0.00,83.0,0.74,1.11,66.7,1.11,0.00,66.3,307.0,146.7,4.07,1.48,0.00,0.74,0.74,61.5,60.7,98.8,0.37,Matches
6,Manuel Akanji\Manuel-Akanji,ch SUI,DF,de Dortmund,23,1995,5.0,122.8,6.80,44.8,83.8,4.00,0.00,121.6,1.00,1.00,100.0,1.00,0.00,101.6,649.2,384.2,15.6,1.80,0.00,0.40,0.40,103.2,102.6,99.4,0.00,Matches
7,Emre Akbaba\Emre-Akbaba,tr TUR,FW,tr Galatasaray,25,1992,1.0,47.0,0.00,5.00,19.0,23.0,5.00,42.0,1.00,2.00,50.0,1.00,0.00,32.0,94.0,35.0,3.00,0.00,0.00,1.00,2.00,44.0,29.0,65.9,9.00,Matches
8,Yunus Akgün\Yunus-Akgun,tr TUR,MF,tr Galatasaray,18,2000,0.1,10.0,0.00,0.00,0.00,10.0,0.00,10.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.0,10.0,25.0,0.00,Matches
9,Ilzat Akhmetov\Ilzat-Akhmetov,ru RUS,MF,ru CSKA Moscow,20,1997,3.3,65.5,3.03,18.5,36.4,15.2,0.30,65.2,3.03,3.33,90.9,3.03,0.30,52.7,236.7,108.8,3.03,1.21,0.00,0.61,1.21,53.3,48.8,91.5,2.73,Matches
10,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5.0,37.6,31.4,37.2,0.60,0.00,0.00,23.4,0.00,0.00,,0.00,0.00,15.0,61.0,39.4,0.00,0.00,0.00,0.00,0.00,13.2,13.2,100.0,0.00,Matches
11,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,de Hoffenheim,23,1995,2.0,56.0,5.50,26.5,32.0,1.00,0.00,55.5,0.00,0.00,,0.00,0.00,38.0,182.5,106.0,3.50,1.00,0.00,0.00,0.00,39.5,39.5,100.0,0.00,Matches
12,David Alaba\David-Alaba,at AUT,DF,de Bayern Munich,26,1992,7.0,73.3,3.43,20.0,38.4,18.6,1.86,63.0,0.29,0.86,33.3,0.29,0.00,45.9,218.6,109.4,5.86,1.71,0.29,0.57,1.14,50.1,45.3,90.3,2.86,Matches
13,Jordi Alba\Jordi-Alba,es ESP,DF,es Barcelona,29,1989,11.0,101.6,3.36,23.8,50.7,31.8,3.27,91.5,0.64,0.91,70.0,0.64,0.09,72.4,267.1,155.9,7.09,1.91,0.45,0.82,0.27,81.5,74.3,91.2,6.00,Matches
14,Raúl Albiol\Raul-Albiol,es ESP,DF,it Napoli,32,1985,5.5,82.9,10.0,39.6,47.3,0.73,0.18,80.9,0.00,0.00,,0.00,0.00,61.5,253.6,146.7,3.82,0.36,0.00,0.00,0.00,63.3,62.7,99.1,0.18,Matches
15,Paco Alcácer\Paco-Alcacer,es ESP,FW,de Dortmund,24,1993,4.0,31.0,0.50,1.25,11.0,19.5,3.75,29.3,0.25,0.50,50.0,0.25,0.00,21.8,35.5,9.00,0.25,0.25,0.25,1.25,1.50,37.8,23.5,62.3,10.3,Matches
16,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,de Bayern Munich,27,1991,4.3,87.0,2.09,19.5,57.9,17.4,1.16,83.7,0.70,1.16,60.0,0.70,0.00,65.6,334.7,189.1,7.91,3.02,0.47,0.93,1.40,67.9,62.8,92.5,1.86,Matches
17,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,eng Tottenham,29,1989,12.0,69.9,8.33,36.1,35.9,2.00,0.75,67.6,0.00,0.00,,0.00,0.00,46.3,248.3,114.2,3.00,0.25,0.00,0.00,0.08,50.9,49.9,98.0,0.83,Matches
18,Alef\Alef,br BRA,MF,gr AEK Athens,23,1995,2.2,47.3,4.55,14.1,30.0,5.91,0.00,47.3,0.45,0.45,100.0,0.45,0.00,31.4,152.3,48.2,2.73,0.45,0.00,1.82,1.82,31.8,27.7,87.1,2.73,Matches
19,Carles Aleñá\Carles-Alena,es ESP,MF,es Barcelona,20,1998,1.0,66.0,0.00,20.0,38.0,11.0,2.00,64.0,1.00,2.00,50.0,2.00,0.00,54.0,195.0,54.0,3.00,0.00,1.00,0.00,1.00,55.0,53.0,96.4,1.00,Matches
