Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
gr AEK Athens,1,6,6,540,6.0,2.17,2.17,6.33,4.50,71.1,0.00,0.00,1.00,0.00,0.0,0.33,0.33,0.00,0.00,0.0
nl Ajax,1,12,12,1080,12.0,1.08,1.08,4.17,3.17,76.0,0.50,0.33,0.17,0.25,25.0,0.08,0.08,0.00,0.00,0.0
es Atlético Madrid,1,8,8,720,8.0,1.13,1.13,2.38,1.38,57.9,0.63,0.13,0.25,0.38,37.5,0.25,0.13,0.00,0.13,0.0
es Barcelona,2,12,12,1080,12.0,0.83,0.83,3.67,2.83,77.3,0.67,0.25,0.08,0.08,8.3,0.00,0.00,0.00,0.00,
de Bayern Munich,1,8,8,720,8.0,1.00,1.00,3.63,2.75,75.9,0.50,0.38,0.13,0.38,37.5,0.13,0.13,0.00,0.00,0.0
pt Benfica,1,6,6,540,6.0,1.83,1.83,6.00,4.17,69.4,0.33,0.17,0.50,0.17,16.7,0.00,0.00,0.00,0.00,
be Club Brugge,2,6,6,540,6.0,0.83,0.83,4.00,3.17,79.2,0.17,0.50,0.33,0.50,50.0,0.00,0.00,0.00,0.00,
ru CSKA Moscow,3,6,6,539,6.0,1.50,1.50,6.33,4.83,76.3,0.33,0.17,0.50,0.33,33.3,0.17,0.00,0.17,0.00,100.0
de Dortmund,2,8,8,720,8.0,0.75,0.75,2.88,2.13,73.9,0.50,0.13,0.38,0.63,62.5,0.00,0.00,0.00,0.00,
tr Galatasaray,1,6,6,540,6.0,1.33,1.33,3.83,2.83,69.6,0.17,0.17,0.67,0.33,33.3,0.17,0.17,0.00,0.00,0.0
de Hoffenheim,1,6,6,540,6.0,2.33,2.33,7.50,5.17,68.9,0.00,0.50,0.50,0.00,0.0,0.00,0.00,0.00,0.00,
it Inter,1,6,6,540,6.0,1.17,1.17,7.17,6.00,83.7,0.33,0.33,0.33,0.00,0.0,0.00,0.00,0.00,0.00,
it Juventus,1,10,10,900,10.0,0.90,0.90,3.10,2.40,74.2,0.50,0.10,0.40,0.40,40.0,0.20,0.10,0.00,0.10,0.0
eng Liverpool,1,13,13,1170,13.0,0.92,0.92,4.38,3.54,78.9,0.62,0.08,0.31,0.15,15.4,0.00,0.00,0.00,0.00,
ru Loko Moscow,1,6,6,540,6.0,2.00,2.00,5.33,3.67,68.8,0.17,0.00,0.83,0.17,16.7,0.33,0.33,0.00,0.00,0.0
fr Lyon,2,8,8,720,8.0,2.00,2.00,6.50,4.63,71.2,0.13,0.75,0.13,0.13,12.5,0.13,0.13,0.00,0.00,0.0
eng Manchester City,1,10,10,900,10.0,1.20,1.20,2.80,1.90,67.9,0.70,0.10,0.20,0.00,0.0,0.30,0.30,0.00,0.00,0.0
eng Manchester Utd,2,10,10,900,10.0,1.10,1.10,3.50,2.60,68.6,0.40,0.10,0.50,0.00,0.0,0.00,0.00,0.00,0.00,
fr Monaco,3,6,6,540,6.0,2.33,2.33,4.50,2.33,51.9,0.00,0.17,0.83,0.00,0.0,0.33,0.17,0.00,0.17,0.0
it Napoli,1,6,6,540,6.0,0.83,0.83,3.50,2.83,76.2,0.33,0.50,0.17,0.33,33.3,0.00,0.00,0.00,0.00,
fr Paris S-G,2,8,8,720,8.0,1.50,1.50,3.25,2.25,69.2,0.50,0.25,0.25,0.00,0.0,0.50,0.50,0.00,0.00,0.0
pt Porto,1,10,10,930,10.3,1.46,1.45,3.11,1.94,62.5,0.58,0.10,0.29,0.10,10.0,0.49,0.29,0.00,0.19,0.0
nl PSV Eindhoven,1,6,6,540,6.0,2.17,2.17,8.50,6.33,74.5,0.00,0.33,0.67,0.00,0.0,0.00,0.00,0.00,0.00,
es Real Madrid,2,8,8,720,8.0,1.25,1.25,4.75,3.50,73.7,0.63,0.00,0.38,0.38,37.5,0.00,0.00,0.00,0.00,
rs Red Star,1,6,6,540,6.0,2.83,2.83,9.33,6.67,71.4,0.17,0.17,0.67,0.33,33.3,0.33,0.17,0.00,0.17,0.0
it Roma,2,8,8,750,8.3,1.45,1.44,5.30,3.98,75.0,0.48,0.00,0.48,0.24,25.0,0.12,0.12,0.00,0.00,0.0
de Schalke 04,2,8,8,720,8.0,1.75,1.75,3.75,2.25,60.0,0.38,0.25,0.38,0.50,50.0,0.38,0.25,0.00,0.13,0.0
ua Shakhtar,1,6,6,540,6.0,2.67,2.67,5.67,3.33,58.8,0.17,0.50,0.33,0.00,0.0,0.33,0.33,0.00,0.00,0.0
eng Tottenham,3,13,13,1167,13.0,1.46,1.47,4.00,2.62,65.4,0.46,0.15,0.38,0.00,0.0,0.15,0.08,0.08,0.00,50.0
es Valencia,2,6,6,540,6.0,1.00,1.00,4.33,3.83,88.5,0.33,0.33,0.33,0.17,16.7,0.50,0.50,0.00,0.00,0.0
cz Viktoria Plzeň,2,6,6,540,6.0,2.67,2.67,6.83,4.50,65.9,0.33,0.17,0.50,0.00,0.0,0.33,0.33,0.00,0.00,0.0
ch Young Boys,2,6,6,540,6.0,2.00,2.00,5.00,3.17,63.3,0.17,0.17,0.67,0.00,0.0,0.17,0.17,0.00,0.00,0.0
