Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
gr AEK Athens,1,6.0,2.17,0.33,0.17,0.50,0.00,2.42,0.33,0.25,+0.25,11.3,25.8,43.9,26.2,2.67,72.0,50.1,9.00,77.8,54.5,12.0,1.67,13.9,0.17,0.17,2.02
nl Ajax,1,12.0,1.08,0.08,0.00,0.17,0.00,1.47,0.35,0.38,+0.38,4.25,15.8,27.0,25.5,4.33,44.4,38.6,7.25,60.9,51.3,6.58,0.83,12.7,0.42,0.42,1.18
es Atlético Madrid,1,8.0,1.13,0.13,0.00,0.00,0.00,0.90,0.33,-0.23,-0.23,5.00,14.3,35.1,12.8,1.00,57.8,43.5,7.38,93.2,61.4,7.75,0.88,11.3,0.13,0.13,1.64
es Barcelona,2,12.0,0.83,0.00,0.00,0.25,0.00,1.05,0.29,0.22,+0.22,6.83,12.2,56.2,27.8,5.83,31.8,32.5,6.67,50.0,41.9,8.33,0.58,7.0,0.25,0.25,1.12
de Bayern Munich,1,8.0,1.00,0.13,0.00,0.13,0.00,1.19,0.29,0.19,+0.19,7.88,15.9,49.6,36.3,5.63,36.6,33.8,6.25,42.0,40.3,6.75,0.25,3.7,0.63,0.63,1.76
pt Benfica,1,6.0,1.83,0.00,0.00,0.50,0.00,1.98,0.33,0.15,+0.14,7.00,16.7,42.0,24.8,4.17,55.7,43.8,5.50,51.5,46.6,3.67,0.67,18.2,0.67,0.67,2.80
be Club Brugge,2,6.0,0.83,0.00,0.00,0.17,0.00,0.92,0.23,0.08,+0.08,7.50,19.5,38.5,19.8,4.50,61.3,46.4,9.00,81.5,58.1,8.50,0.33,3.9,0.17,0.17,2.12
ru CSKA Moscow,3,6.0,1.50,0.00,0.00,0.33,0.00,2.17,0.32,0.67,+0.66,8.33,26.7,31.3,25.5,5.67,70.6,53.4,10.3,83.9,66.8,12.0,0.83,6.9,0.33,0.33,2.03
de Dortmund,2,8.0,0.75,0.00,0.00,0.13,0.00,0.82,0.29,0.07,+0.07,4.50,11.9,37.9,28.1,5.00,32.0,34.3,5.63,51.1,41.8,8.63,0.38,4.3,0.63,0.63,1.94
tr Galatasaray,1,6.0,1.33,0.17,0.00,0.33,0.17,1.82,0.44,0.65,+0.65,7.33,18.5,39.6,28.0,4.33,50.0,41.7,8.00,56.3,48.4,7.50,0.50,6.7,0.67,0.67,2.32
de Hoffenheim,1,6.0,2.33,0.00,0.17,0.33,0.00,2.17,0.29,-0.17,-0.17,6.67,16.8,39.6,27.3,4.67,41.5,35.1,9.00,61.1,48.3,7.33,0.50,6.8,1.00,1.00,2.80
