Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
gr AEK Athens,20,6.0,0.33,6.17,1.33,21.6,6.17,1.33,0.05,0.25,16.6,0.00,0.00,0.00,0.68,0.68,0.11,-0.35,-0.35
nl Ajax,22,12.0,1.83,15.8,5.75,36.5,15.75,5.75,0.11,0.29,18.6,1.08,0.17,0.17,1.82,1.70,0.11,0.01,-0.03
es Atlético Madrid,21,8.0,1.38,11.4,4.00,35.2,11.37,4.00,0.12,0.34,17.6,0.38,0.00,0.00,0.96,0.96,0.08,0.41,0.41
es Barcelona,23,12.0,2.08,16.8,6.67,39.8,16.75,6.67,0.12,0.30,17.0,1.17,0.08,0.08,1.90,1.83,0.11,0.18,0.17
de Bayern Munich,20,8.0,1.88,13.6,5.50,40.4,13.62,5.50,0.12,0.30,15.9,0.50,0.25,0.25,1.61,1.43,0.11,0.26,0.20
pt Benfica,20,6.0,1.00,13.8,5.17,37.3,13.83,5.17,0.07,0.19,16.7,0.67,0.00,0.00,1.37,1.37,0.10,-0.37,-0.37
be Club Brugge,25,6.0,1.00,8.00,2.50,31.3,8.00,2.50,0.10,0.33,17.4,0.33,0.17,0.17,0.85,0.73,0.09,0.15,0.10
ru CSKA Moscow,22,6.0,1.33,12.5,5.00,40.0,12.50,5.00,0.08,0.20,18.5,0.17,0.33,0.33,1.18,0.93,0.08,0.15,0.07
de Dortmund,24,8.0,1.25,11.8,4.00,34.0,11.75,4.00,0.11,0.31,17.6,0.25,0.00,0.13,1.46,1.38,0.12,-0.21,-0.13
tr Galatasaray,21,6.0,0.83,11.7,3.50,30.0,11.67,3.50,0.04,0.14,18.9,1.17,0.33,0.50,1.52,1.13,0.10,-0.68,-0.63
de Hoffenheim,25,6.0,1.83,16.0,5.33,33.3,16.00,5.33,0.10,0.31,17.6,0.50,0.17,0.17,1.83,1.70,0.11,0.00,-0.03
it Inter,17,6.0,1.00,15.5,4.33,28.0,15.50,4.33,0.06,0.23,15.9,0.50,0.00,0.00,1.45,1.45,0.09,-0.45,-0.45
it Juventus,22,10.0,1.40,15.7,4.30,27.4,15.70,4.30,0.07,0.26,17.4,0.90,0.30,0.30,1.80,1.59,0.10,-0.40,-0.49
eng Liverpool,20,13.0,1.85,14.6,4.15,28.4,14.62,4.15,0.11,0.37,16.9,0.31,0.31,0.38,1.85,1.55,0.11,-0.01,-0.01
ru Loko Moscow,19,6.0,0.50,12.3,2.33,18.9,12.33,2.33,0.04,0.21,19.2,0.33,0.00,0.17,1.13,1.02,0.09,-0.63,-0.52
fr Lyon,21,8.0,1.63,14.9,5.25,35.3,14.87,5.25,0.11,0.31,17.7,0.75,0.00,0.00,1.51,1.51,0.10,0.11,0.11
eng Manchester City,21,10.0,3.00,17.1,6.40,37.4,17.10,6.40,0.16,0.42,16.7,0.90,0.30,0.40,2.22,1.92,0.11,0.78,0.78
eng Manchester Utd,26,10.0,0.90,11.4,2.80,24.6,11.40,2.80,0.06,0.25,19.7,1.10,0.20,0.20,1.09,0.94,0.08,-0.19,-0.24
fr Monaco,29,6.0,0.33,9.83,3.00,30.5,9.83,3.00,0.03,0.11,21.3,0.50,0.00,0.17,0.78,0.67,0.07,-0.45,-0.33
it Napoli,18,6.0,1.17,15.3,5.67,37.0,15.33,5.67,0.07,0.18,18.9,0.33,0.17,0.17,1.68,1.55,0.10,-0.52,-0.55
fr Paris S-G,20,8.0,2.38,15.1,7.13,47.1,15.12,7.12,0.16,0.33,15.5,1.38,0.00,0.00,1.88,1.88,0.13,0.50,0.50
pt Porto,25,10.3,1.94,12.6,4.66,36.9,12.58,4.65,0.12,0.33,16.6,0.29,0.39,0.49,1.54,1.17,0.09,0.40,0.38
nl PSV Eindhoven,18,6.0,1.00,12.5,4.83,38.7,12.50,4.83,0.08,0.21,16.9,0.83,0.00,0.00,1.23,1.23,0.10,-0.23,-0.23
es Real Madrid,24,8.0,1.88,19.1,7.00,36.6,19.13,7.00,0.10,0.27,15.8,0.25,0.00,0.00,1.77,1.77,0.09,0.10,0.10
rs Red Star,20,6.0,0.83,7.50,2.67,35.6,7.50,2.67,0.11,0.31,19.3,0.00,0.00,0.00,0.45,0.45,0.06,0.38,0.38
it Roma,24,8.3,1.69,15.2,6.27,41.3,15.12,6.24,0.10,0.25,16.4,0.72,0.12,0.12,1.64,1.55,0.10,0.05,0.01
de Schalke 04,27,8.0,1.00,10.3,3.13,30.5,10.25,3.12,0.06,0.20,17.8,0.13,0.38,0.38,1.30,1.02,0.10,-0.30,-0.40
ua Shakhtar,20,6.0,1.33,11.7,4.17,35.7,11.67,4.17,0.11,0.32,16.8,0.50,0.00,0.00,0.95,0.95,0.08,0.38,0.38
eng Tottenham,24,13.0,1.54,16.0,5.77,36.1,16.00,5.77,0.10,0.27,16.7,0.69,0.00,0.00,1.48,1.48,0.09,0.06,0.06
es Valencia,22,6.0,0.83,12.3,3.33,27.0,12.33,3.33,0.07,0.25,18.1,0.33,0.00,0.17,1.10,0.97,0.08,-0.27,-0.13
cz Viktoria Plzeň,21,6.0,1.17,10.8,3.50,32.3,10.83,3.50,0.11,0.33,17.4,0.17,0.00,0.17,1.17,1.05,0.10,0.00,0.12
ch Young Boys,20,6.0,0.67,11.8,2.33,19.7,11.83,2.33,0.03,0.14,18.3,0.33,0.33,0.33,1.18,0.93,0.08,-0.52,-0.60
