Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
gr AEK Athens,20,6.0,321.3,418.5,76.8,6493.3,2363.7,135.0,155.7,86.7,126.8,152.2,83.4,55.5,95.7,58.0,0.33,0.62,-0.28,4.67,21.5,4.00,1.00,19.2
nl Ajax,22,12.0,432.6,540.3,80.1,7708.7,2698.3,201.8,229.4,88.0,178.2,207.0,86.1,47.5,87.4,54.3,1.42,1.38,0.03,11.3,31.5,11.1,1.50,38.8
es Atlético Madrid,21,8.0,429.8,537.0,80.0,7806.5,2572.6,201.9,230.8,87.5,165.9,193.6,85.7,54.4,93.4,58.2,1.00,0.72,0.28,9.38,37.0,9.00,2.00,38.5
es Barcelona,23,12.0,623.4,710.1,87.8,11174.3,3279.8,283.7,307.8,92.2,254.9,278.9,91.4,74.0,102.5,72.2,1.50,1.43,0.07,12.1,39.9,11.3,1.25,42.1
de Bayern Munich,20,8.0,523.3,626.8,83.5,10652.3,3176.1,192.1,214.5,89.6,236.6,267.4,88.5,88.0,127.1,69.2,1.13,1.13,0.00,9.50,35.3,10.4,1.13,38.8
pt Benfica,20,6.0,362.3,464.7,78.0,7063.0,2457.5,155.0,181.2,85.6,146.7,173.3,84.6,55.7,94.8,58.7,0.50,1.12,-0.62,9.83,24.3,7.17,1.50,31.2
be Club Brugge,25,6.0,355.8,456.3,78.0,7291.2,2521.0,131.5,156.7,83.9,161.7,193.7,83.5,59.7,95.3,62.6,0.50,0.53,-0.03,5.83,29.3,6.33,2.17,33.5
ru CSKA Moscow,22,6.0,344.7,447.5,77.0,6665.8,2451.7,145.0,167.7,86.5,145.8,170.5,85.5,49.2,94.2,52.2,0.83,0.78,0.05,10.7,25.2,8.67,1.50,33.2
de Dortmund,24,8.0,658.4,753.8,87.3,11927.1,3221.0,291.1,320.5,90.8,284.8,307.3,92.7,74.4,105.4,70.6,1.00,1.20,-0.20,9.50,46.0,10.6,1.25,44.8
tr Galatasaray,21,6.0,403.2,504.7,79.9,8338.7,2695.3,143.8,167.2,86.0,182.7,213.0,85.8,72.5,111.3,65.1,0.33,0.95,-0.62,9.00,30.0,6.67,1.00,32.8
de Hoffenheim,25,6.0,355.3,449.3,79.1,7146.5,2548.7,133.3,152.8,87.2,162.2,188.7,86.0,55.3,96.3,57.4,1.17,1.30,-0.13,11.5,25.5,10.0,3.33,38.3
it Inter,17,6.0,411.2,507.0,81.1,7915.3,2741.2,172.3,192.5,89.5,170.8,197.2,86.6,61.0,97.8,62.4,0.67,1.13,-0.47,11.3,28.8,8.83,3.67,31.5
it Juventus,22,10.0,473.5,566.7,83.6,9596.3,3020.8,178.6,199.2,89.7,211.7,237.9,89.0,77.3,114.0,67.8,1.10,1.20,-0.10,12.2,32.3,9.30,2.60,39.4
eng Liverpool,20,13.0,428.7,544.0,78.8,8663.9,2886.5,156.9,184.9,84.9,200.8,233.1,86.2,67.2,111.5,60.3,1.31,1.12,0.19,10.5,34.5,12.8,2.62,43.9
ru Loko Moscow,19,6.0,329.8,445.5,74.0,6114.2,2489.5,154.7,185.3,83.5,122.3,150.7,81.2,46.8,90.5,51.7,0.33,0.78,-0.45,9.17,30.7,6.33,0.83,35.0
fr Lyon,21,8.0,398.5,483.9,82.4,7643.6,2526.0,168.3,189.6,88.7,166.6,186.9,89.2,58.8,93.5,62.8,1.13,1.13,0.00,10.8,27.4,7.50,0.50,34.1
eng Manchester City,21,10.0,595.9,677.5,88.0,11324.0,3254.1,236.3,258.7,91.3,279.2,305.1,91.5,74.0,97.5,75.9,2.00,1.62,0.38,14.0,45.5,13.6,2.30,49.6
eng Manchester Utd,26,10.0,412.1,499.3,82.5,7698.9,2629.5,189.2,211.2,89.6,163.7,186.6,87.7,54.3,87.8,61.8,0.50,0.64,-0.14,8.10,31.9,8.60,2.20,36.1
fr Monaco,29,6.0,407.8,505.8,80.6,8095.5,2622.0,160.3,184.0,87.1,178.2,209.5,85.0,65.7,100.5,65.3,0.17,0.52,-0.35,7.00,28.7,9.50,1.67,37.3
it Napoli,18,6.0,578.8,693.2,83.5,10918.2,3247.2,252.2,280.5,89.9,240.0,272.2,88.2,81.2,126.7,64.1,0.83,1.20,-0.37,12.0,44.2,12.0,3.17,47.8
fr Paris S-G,20,8.0,560.4,643.3,87.1,9930.8,3029.3,259.6,282.4,91.9,232.4,254.8,91.2,60.4,89.6,67.4,1.75,1.52,0.23,10.9,36.8,11.5,1.88,38.6
pt Porto,25,10.3,370.2,478.6,77.3,7597.8,2594.0,135.4,157.2,86.2,163.9,195.6,83.8,65.1,110.1,59.2,1.46,0.94,0.51,8.45,26.2,6.99,2.14,30.2
nl PSV Eindhoven,18,6.0,243.5,338.8,71.9,5146.8,2129.2,90.3,110.5,81.7,106.3,131.5,80.9,44.2,88.3,50.0,0.83,0.80,0.03,8.17,18.2,5.83,1.67,22.8
es Real Madrid,24,8.0,588.1,683.9,86.0,11276.6,3471.1,264.6,286.9,92.2,222.3,248.1,89.6,92.9,129.3,71.9,1.50,1.56,-0.06,15.5,48.8,12.4,2.75,47.4
rs Red Star,20,6.0,237.5,342.8,69.3,4778.3,1852.5,92.3,115.2,80.2,104.8,136.7,76.7,37.3,81.7,45.7,0.50,0.35,0.15,5.33,12.3,3.33,1.33,16.3
it Roma,24,8.3,400.5,500.1,80.1,7733.4,2995.1,163.5,186.1,87.8,175.4,204.6,85.7,57.8,94.6,61.1,1.45,1.20,0.24,11.1,31.2,10.7,2.53,40.0
