Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
gr AEK Athens,20,6.0,418.5,369.8,48.7,13.2,1.00,48.5,11.8,6.17,3.50,0.00,0.00,0.00,267.7,43.5,107.3,107.3,255.7,19.3,19.8,5.83,321.3,1.50,8.67,6.83,11.3
nl Ajax,22,12.0,540.3,494.3,46.0,13.0,1.83,101.5,9.42,9.42,4.33,0.25,1.17,0.08,388.4,66.3,85.7,230.8,250.3,22.8,19.3,7.83,432.6,2.92,8.50,13.3,12.2
es Atlético Madrid,21,8.0,537.0,490.5,46.5,11.6,1.38,72.9,13.4,11.8,6.00,0.00,0.00,0.00,385.3,52.3,99.5,189.3,287.6,27.3,19.4,3.38,429.8,2.00,8.50,10.0,14.5
es Barcelona,23,12.0,710.1,662.3,47.8,15.8,3.00,98.8,13.8,8.83,5.58,0.75,0.00,0.25,554.3,75.9,79.9,234.5,423.1,19.8,18.0,9.17,623.4,1.67,6.33,10.4,12.6
de Bayern Munich,20,8.0,626.8,582.0,44.8,12.0,0.38,69.3,22.6,11.8,6.13,0.13,0.13,0.00,441.4,77.6,107.8,178.4,386.0,27.8,18.4,7.50,523.3,2.63,8.50,8.25,11.9
pt Benfica,20,6.0,464.7,417.2,47.5,15.3,0.50,39.8,13.8,9.00,4.83,0.00,0.00,0.00,309.5,68.7,86.5,130.0,283.0,20.7,19.0,6.83,362.3,0.33,10.0,14.0,12.5
be Club Brugge,25,6.0,456.3,413.8,42.5,9.83,0.33,47.2,13.7,9.83,2.50,0.00,0.00,0.00,302.2,57.3,96.8,113.3,285.0,25.0,19.3,6.17,355.8,2.17,8.00,8.67,11.0
ru CSKA Moscow,22,6.0,447.5,399.3,48.2,12.2,1.17,62.0,13.0,8.00,5.67,0.00,0.00,0.00,291.2,67.5,88.8,101.8,287.7,23.0,17.3,8.17,344.7,1.67,8.83,6.50,11.3
de Dortmund,24,8.0,753.8,710.9,42.9,10.6,2.13,98.4,13.4,9.13,5.13,0.63,0.38,0.00,626.3,58.5,69.0,234.0,465.6,22.1,19.8,7.13,658.4,2.13,7.88,11.4,15.1
tr Galatasaray,21,6.0,504.7,450.7,54.0,17.7,0.67,76.0,17.3,8.67,5.33,0.00,0.00,0.00,353.8,68.0,82.8,77.7,366.8,23.8,20.7,6.00,403.2,2.00,8.67,9.17,12.5
de Hoffenheim,25,6.0,449.3,402.0,47.3,11.0,1.17,90.5,15.2,14.7,6.00,0.00,0.00,0.00,306.8,64.8,77.7,113.8,285.7,18.8,18.0,6.83,355.3,3.67,7.50,11.0,8.67
it Inter,17,6.0,507.0,459.5,47.5,14.8,0.50,84.3,15.3,17.2,5.33,0.00,0.00,0.00,339.2,63.2,104.7,133.2,318.5,23.7,18.0,9.17,411.2,1.17,6.17,10.3,13.8
it Juventus,22,10.0,566.7,517.8,48.9,15.3,1.20,101.4,19.8,14.4,5.20,0.40,0.50,0.20,390.9,69.0,106.8,191.3,317.3,22.0,19.3,5.90,473.5,0.90,8.20,9.60,9.90
eng Liverpool,20,13.0,544.0,494.1,49.9,12.5,2.54,100.4,18.5,11.9,5.62,1.00,1.08,0.23,357.2,59.5,127.2,126.3,351.6,25.3,23.3,7.85,428.7,2.15,10.3,8.85,14.5
ru Loko Moscow,19,6.0,445.5,397.2,48.3,15.3,0.00,74.0,8.50,7.83,5.33,0.00,0.00,0.00,274.0,71.2,100.3,94.5,283.7,27.8,18.0,8.83,329.8,1.50,8.33,12.0,13.5
fr Lyon,21,8.0,483.9,439.5,44.4,13.8,2.13,84.5,13.9,9.75,3.25,0.38,0.13,0.00,369.1,47.9,66.9,146.8,295.4,13.1,15.5,6.25,398.5,3.00,8.13,8.63,10.5
eng Manchester City,21,10.0,677.5,639.5,38.0,9.60,3.50,78.2,16.2,13.7,5.80,0.10,0.20,0.30,549.7,54.1,73.7,279.9,346.0,21.7,15.6,6.00,595.9,2.50,6.70,11.3,11.6
eng Manchester Utd,26,10.0,499.3,454.7,44.6,11.9,1.30,82.0,16.6,13.0,3.80,0.10,0.30,0.00,360.6,60.5,78.2,151.4,298.5,17.5,18.5,5.40,412.1,2.30,7.40,9.10,10.9
fr Monaco,29,6.0,505.8,458.7,47.2,14.5,1.17,72.7,16.5,11.3,3.67,0.00,0.00,0.00,369.3,57.5,79.0,102.8,355.2,18.2,17.5,4.67,407.8,1.50,10.2,7.00,10.8
it Napoli,18,6.0,693.2,645.7,47.5,14.2,2.50,76.5,21.2,13.7,5.50,0.00,0.00,0.00,478.2,87.8,127.2,201.8,432.7,23.5,19.2,8.67,578.8,2.83,10.3,11.0,12.3
fr Paris S-G,20,8.0,643.3,597.6,45.6,16.6,3.63,96.9,13.9,12.3,5.13,0.38,0.00,0.00,519.6,63.3,60.4,230.0,373.3,14.1,14.5,5.50,560.4,2.75,7.50,9.25,10.4
pt Porto,25,10.3,478.6,425.4,53.2,15.4,1.17,62.4,14.6,13.3,4.47,1.36,0.68,0.00,301.8,62.6,114.2,116.1,297.2,27.1,23.5,5.63,370.2,1.46,8.74,10.1,10.8
nl PSV Eindhoven,18,6.0,338.8,295.2,43.7,12.8,0.17,51.7,7.33,9.17,3.17,0.00,0.00,0.00,191.0,43.5,104.3,124.7,158.7,24.7,12.3,6.50,243.5,1.83,9.83,8.00,9.50
es Real Madrid,24,8.0,683.9,634.6,49.3,13.3,2.00,112.1,27.3,18.3,8.63,0.25,0.38,0.00,511.4,66.1,106.4,184.0,448.5,20.0,17.6,6.88,588.1,2.38,7.38,7.88,13.5
rs Red Star,20,6.0,342.8,296.3,46.5,13.8,0.33,66.7,8.17,7.17,2.67,0.00,0.00,0.00,202.7,54.2,86.0,89.8,199.5,23.5,15.2,6.50,237.5,2.00,9.50,7.50,8.83
