Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
gr AEK Athens,20,6.0,16.7,9.83,10.7,4.83,1.17,5.17,16.0,32.3,10.8,113.5,23.3,20.6,39.7,53.2,20.7,15.8,4.50,0.17,11.3,10.0,26.7,22.7,0.33
nl Ajax,22,12.0,22.8,14.7,9.00,10.7,3.17,7.42,21.2,35.0,13.8,179.5,52.8,29.4,54.3,82.8,42.4,17.7,2.92,0.08,14.8,9.58,32.4,18.2,0.08
es Atlético Madrid,21,8.0,19.3,14.4,9.25,7.50,2.50,6.25,17.1,36.5,10.9,163.9,42.4,25.9,57.5,66.8,39.6,13.5,2.63,0.00,10.9,11.3,30.5,19.8,0.50
es Barcelona,23,12.0,16.1,10.3,6.67,7.08,2.33,6.25,15.3,40.8,9.08,173.6,46.2,26.6,54.6,76.5,42.5,14.8,3.50,0.08,11.3,8.33,24.4,15.8,0.42
de Bayern Munich,20,8.0,17.8,12.0,8.50,7.13,2.13,5.13,16.0,32.0,10.9,185.4,59.5,32.1,56.3,86.5,42.6,15.9,2.50,0.00,13.4,14.5,32.3,14.9,0.25
pt Benfica,20,6.0,21.7,14.0,10.7,9.50,1.50,7.17,21.3,33.6,14.2,152.5,36.8,24.2,49.2,74.3,29.0,16.3,3.00,0.33,13.3,11.7,33.3,16.5,0.17
be Club Brugge,25,6.0,15.2,10.7,9.50,4.00,1.67,3.17,13.3,23.8,10.2,142.3,37.8,26.6,67.7,57.2,17.5,17.5,2.00,0.00,15.5,8.50,23.7,21.3,0.00
ru CSKA Moscow,22,6.0,18.8,10.7,11.5,5.67,1.67,7.17,20.7,34.7,13.5,190.0,39.5,20.8,77.5,80.3,32.2,16.8,3.50,0.00,13.3,6.50,25.3,27.3,0.00
de Dortmund,24,8.0,17.8,11.1,7.38,8.13,2.25,4.38,13.9,31.5,9.50,146.5,41.3,28.2,46.1,70.5,29.9,16.5,2.75,0.13,13.8,8.75,26.5,14.4,0.13
tr Galatasaray,21,6.0,20.0,13.2,9.67,8.33,2.00,6.50,17.0,38.2,10.5,126.8,34.3,27.1,42.0,54.5,30.3,14.5,4.00,0.33,10.5,5.67,25.7,14.0,0.50
de Hoffenheim,25,6.0,18.3,9.83,11.2,5.33,1.83,7.00,22.3,31.3,15.3,164.2,38.8,23.7,64.0,72.8,27.3,12.2,3.67,0.17,8.50,8.67,27.0,14.2,0.17
it Inter,17,6.0,17.0,11.7,10.3,5.50,1.17,6.00,21.5,27.9,15.5,189.7,37.8,19.9,54.7,89.7,45.3,15.2,3.00,0.00,12.2,10.3,27.3,19.0,0.50
it Juventus,22,10.0,16.1,10.6,7.10,6.80,2.20,5.30,16.4,32.3,11.1,131.0,36.8,28.1,45.9,56.6,28.5,14.9,4.00,0.00,10.9,9.50,25.6,15.6,0.00
eng Liverpool,20,13.0,17.8,12.3,8.00,7.08,2.77,5.77,16.6,34.7,10.8,200.5,49.4,24.6,43.4,98.2,58.9,12.8,2.08,0.00,10.8,9.31,27.2,19.2,0.23
ru Loko Moscow,19,6.0,21.0,13.5,10.0,8.17,2.83,9.00,21.0,42.9,12.0,175.0,45.5,26.0,65.2,80.5,29.3,17.8,4.17,0.00,13.7,13.5,34.5,20.3,0.17
fr Lyon,21,8.0,19.1,13.1,10.1,7.50,1.50,6.00,17.4,34.5,11.4,239.0,49.3,20.6,92.5,105.9,40.6,17.8,4.88,0.13,12.9,11.0,30.1,22.1,0.13
eng Manchester City,21,10.0,15.4,10.8,5.90,7.00,2.50,3.00,13.4,22.4,10.4,152.4,42.4,27.8,37.1,69.2,46.1,14.1,2.80,0.00,11.3,8.50,23.9,12.8,0.40
eng Manchester Utd,26,10.0,15.9,11.3,8.20,6.20,1.50,6.20,15.6,39.7,9.40,197.1,45.2,22.9,62.4,96.7,38.0,16.0,3.60,0.00,12.4,10.6,26.5,19.7,0.30
fr Monaco,29,6.0,16.3,11.5,7.50,7.33,1.50,4.17,13.2,31.6,9.00,172.3,37.2,21.6,53.3,88.3,30.7,14.3,1.67,0.00,12.7,11.3,27.7,17.7,0.50
it Napoli,18,6.0,17.7,12.5,8.83,7.67,1.17,4.33,18.7,23.2,14.3,207.5,59.7,28.8,54.7,101.2,51.7,15.2,3.67,0.00,11.5,9.33,27.0,15.3,0.00
fr Paris S-G,20,8.0,15.1,10.3,7.63,5.50,2.00,4.50,16.0,28.1,11.5,190.8,49.6,26.0,62.9,90.3,37.6,13.9,2.88,0.00,11.0,9.63,24.8,17.5,0.50
pt Porto,25,10.3,17.2,11.4,9.22,6.21,1.75,6.41,17.1,37.5,10.7,139.0,39.7,28.6,51.7,54.7,32.7,15.1,3.50,0.29,11.7,9.61,26.8,22.8,0.00
nl PSV Eindhoven,18,6.0,15.8,9.83,10.5,3.33,2.00,7.00,18.8,37.2,11.8,203.2,41.3,20.3,86.7,83.3,33.2,24.3,7.67,0.50,16.7,10.0,25.8,29.2,0.33
es Real Madrid,24,8.0,18.3,12.5,9.88,6.25,2.13,7.50,17.5,42.9,10.0,158.5,42.1,26.6,46.8,69.0,42.8,12.9,2.75,0.00,10.1,9.63,27.9,12.5,0.13
rs Red Star,20,6.0,12.0,8.17,8.17,3.33,0.50,4.83,16.5,29.3,11.7,181.8,36.7,20.2,64.7,89.3,27.8,19.5,3.83,0.00,15.7,11.3,23.3,31.2,0.17
it Roma,24,8.3,14.8,9.76,7.83,5.42,1.57,5.66,15.9,35.6,10.2,165.2,36.3,22.0,50.2,74.2,40.7,12.8,3.25,0.00,9.52,10.4,25.2,19.2,0.24
de Schalke 04,27,8.0,23.5,16.3,11.0,10.9,1.63,4.25,18.6,22.8,14.4,184.5,45.3,24.5,64.8,94.6,25.1,15.0,3.13,0.00,11.9,15.8,39.3,17.1,0.00
ua Shakhtar,20,6.0,13.0,10.3,6.33,5.50,1.17,3.33,12.7,26.3,9.33,139.8,30.3,21.7,55.7,64.7,19.5,16.0,4.67,0.17,11.3,11.2,24.2,19.3,0.00
eng Tottenham,24,13.0,15.4,10.8,7.54,6.08,1.77,5.08,14.8,34.2,9.77,165.4,43.4,26.2,48.5,81.0,35.9,15.1,3.92,0.00,11.2,9.54,24.9,19.5,0.15
es Valencia,22,6.0,16.2,9.17,9.50,5.00,1.67,7.67,20.0,38.3,12.3,147.5,37.0,25.1,48.0,69.2,30.3,11.5,3.67,0.17,7.83,11.7,27.8,18.7,0.67
cz Viktoria Plzeň,21,6.0,14.8,10.3,9.00,5.17,0.67,6.00,18.0,33.3,12.0,149.7,29.7,19.8,50.3,73.7,25.7,13.7,2.67,0.00,11.0,7.50,22.3,23.8,0.17
ch Young Boys,20,6.0,21.3,14.5,11.7,7.50,2.17,7.33,21.8,33.6,14.5,204.7,49.3,24.1,69.8,94.8,40.0,15.7,4.17,0.17,11.5,9.00,30.3,21.0,0.00
