Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
gr AEK Athens,20,40.5,6.0,526.7,73.8,193.2,267.8,97.5,11.8,479.7,10.2,16.8,60.4,10.5,0.67,347.3,1784.2,875.7,32.8,9.50,3.17,9.50,13.0,371.7,321.3,86.5,26.0
nl Ajax,22,53.3,12.0,665.6,62.5,196.1,324.5,184.3,28.8,619.8,12.0,20.3,59.3,13.1,0.75,461.4,2143.5,1124.6,45.6,14.7,4.42,13.2,12.1,510.7,432.6,84.7,47.7
es Atlético Madrid,21,49.0,8.0,641.3,44.6,150.5,333.5,194.0,24.9,596.1,8.13,14.3,57.0,9.75,0.38,431.9,2148.5,1113.6,54.0,15.0,3.50,10.3,10.1,495.4,429.8,86.8,48.8
es Barcelona,23,61.3,12.0,820.1,68.8,225.3,430.6,215.1,29.6,774.6,14.3,21.6,66.4,14.8,0.67,621.6,2583.0,1422.8,58.8,20.0,4.83,10.3,10.8,693.8,623.4,89.9,46.5
de Bayern Munich,20,56.8,8.0,739.4,68.8,257.8,366.0,163.4,31.5,696.4,7.50,14.4,52.2,8.88,0.50,524.1,2486.8,1397.8,55.3,16.9,6.75,11.6,12.4,592.9,523.3,88.3,45.3
pt Benfica,20,44.5,6.0,582.5,56.3,193.3,290.2,132.7,19.8,536.7,8.67,16.2,53.6,10.2,0.33,385.8,1826.7,972.0,38.0,12.0,3.67,9.67,11.5,415.3,362.3,87.2,40.8
be Club Brugge,25,40.2,6.0,561.2,62.0,182.3,276.7,137.7,13.5,519.8,5.83,8.67,67.3,6.33,0.00,358.7,1738.2,908.8,37.0,13.2,2.00,12.5,12.0,405.8,355.8,87.7,39.7
ru CSKA Moscow,22,44.7,6.0,561.7,70.7,199.2,256.5,140.8,22.3,514.0,8.83,15.5,57.0,9.67,0.33,359.5,1704.3,958.8,38.5,13.3,4.00,10.3,9.83,420.2,344.2,81.9,40.7
de Dortmund,24,60.6,8.0,860.8,55.0,217.1,479.5,223.3,28.6,819.3,11.8,18.8,62.7,13.0,1.13,671.9,3169.9,1672.1,76.6,21.8,6.00,12.5,13.3,717.0,658.4,91.8,50.9
tr Galatasaray,21,53.8,6.0,610.0,57.5,181.0,310.5,149.3,20.2,559.0,11.0,16.3,67.3,12.3,0.83,421.2,1972.7,1075.8,45.7,11.2,3.33,12.0,12.8,467.3,403.2,86.3,41.5
