Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Tammy Abraham\Tammy-Abraham,eng ENG,FW,eng Chelsea,21,1997,8,7,566,6.3,0.48,0.16,0.48,0.00,0.00,0.00,0.00,0.48,0.16,0.64,0.48,0.64,0.71,0.71,0.06,0.78,0.71,0.07,0.78,0.71,0.78,Matches
2,Tyler Adams\Tyler-Adams,us USA,DFMF,de RB Leipzig,20,1999,3,0,82,0.9,1.11,0.00,1.11,0.00,0.00,0.00,0.00,1.10,0.00,1.10,1.10,1.10,0.22,0.22,0.00,0.22,0.17,0.00,0.17,0.17,0.17,Matches
3,Arijan Ademi\Arijan-Ademi,mk MKD,MFDF,hr Dinamo Zagreb,28,1991,6,6,517,5.7,0.18,0.18,0.18,0.00,0.00,0.53,0.00,0.17,0.17,0.35,0.17,0.35,0.12,0.12,0.18,0.30,0.12,0.18,0.30,0.12,0.30,Matches
4,Adrián\Adrian,es ESP,GK,eng Liverpool,32,1987,3,3,300,3.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,Sergio Agüero\Sergio-Aguero,ar ARG,FW,eng Manchester City,31,1988,3,2,196,2.2,0.91,0.00,0.45,0.45,0.45,0.00,0.00,0.92,0.00,0.92,0.46,0.46,1.14,0.77,0.00,0.82,1.15,0.01,1.16,0.80,0.81,Matches
6,Manuel Akanji\Manuel-Akanji,ch SUI,DF,de Dortmund,24,1995,6,6,523,5.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,0.01,0.00,0.01,0.01,0.01,Matches
7,David Alaba\David-Alaba,at AUT,DF,de Bayern Munich,27,1992,8,8,675,7.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.15,0.19,0.03,0.15,0.18,0.03,0.18,Matches
8,Lucas Alario\Lucas-Alario,ar ARG,FW,de Leverkusen,26,1992,5,2,214,2.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.00,0.21,0.20,0.02,0.22,0.20,0.22,Matches
9,Jordi Alba\Jordi-Alba,es ESP,DF,es Barcelona,30,1989,5,5,354,3.9,0.00,0.26,0.00,0.00,0.00,0.51,0.00,0.00,0.25,0.25,0.00,0.25,0.00,0.00,0.28,0.28,0.00,0.27,0.27,0.00,0.27,Matches
10,Paco Alcácer\Paco-Alcacer,es ESP,FW,de Dortmund,25,1993,2,1,113,1.3,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.80,0.00,0.80,0.46,0.46,0.31,0.85,0.51,0.34,0.84,0.51,0.84,Matches
11,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,de Bayern Munich,28,1991,10,9,819,9.1,0.00,0.22,0.00,0.00,0.00,0.22,0.00,0.00,0.22,0.22,0.00,0.22,0.20,0.20,0.16,0.36,0.20,0.17,0.36,0.20,0.36,Matches
12,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,eng Tottenham,30,1989,6,6,540,6.0,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.01,0.01,0.00,0.01,Matches
13,Carles Aleñá\Carles-Alena,es ESP,MF,es Barcelona,21,1998,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.21,0.21,0.00,0.21,Matches
14,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,eng Liverpool,20,1998,7,6,583,6.5,0.00,0.15,0.00,0.00,0.00,0.15,0.00,0.00,0.15,0.15,0.00,0.15,0.03,0.03,0.25,0.28,0.03,0.24,0.27,0.03,0.27,Matches
15,Alisson\Alisson,br BRA,GK,eng Liverpool,26,1992,5,5,450,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
16,Allan\Allan,br BRA,MF,it Napoli,28,1991,6,5,445,4.9,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,0.01,0.00,0.01,0.01,0.01,Matches
17,Dele Alli\Dele-Alli,eng ENG,MFFW,eng Tottenham,23,1996,7,7,516,5.7,0.18,0.18,0.18,0.00,0.00,0.18,0.00,0.17,0.17,0.35,0.17,0.35,0.19,0.19,0.21,0.40,0.19,0.21,0.40,0.19,0.40,Matches
18,André Almeida\Andre-Almeida,pt POR,DF,pt Benfica,28,1990,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
19,Marcos Alonso\Marcos-Alonso,es ESP,DF,eng Chelsea,28,1990,5,5,397,4.4,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.05,0.20,0.16,0.05,0.21,0.16,0.21,Matches
20,Éder Álvarez Balanta\Eder-Alvarez-Balanta,co COL,MF,be Club Brugge,26,1993,5,3,286,3.2,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.13,0.16,0.03,0.12,0.15,0.03,0.15,Matches
21,Edson Álvarez\Edson-Alvarez,mx MEX,MF,nl Ajax,21,1997,6,4,377,4.2,0.24,0.00,0.24,0.00,0.00,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.12,0.12,0.07,0.19,0.11,0.07,0.19,0.11,0.19,Matches
22,Nadiem Amiri\Nadiem-Amiri,de GER,FWMF,de Leverkusen,22,1996,4,2,238,2.6,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.19,0.35,0.15,0.19,0.34,0.15,0.34,Matches
23,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,de RB Leipzig,18,2000,3,2,181,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
24,Joachim Andersen\Joachim-Andersen,dk DEN,DF,fr Lyon,23,1996,6,4,392,4.4,0.23,0.00,0.23,0.00,0.00,0.23,0.00,0.23,0.00,0.23,0.23,0.23,0.02,0.02,0.00,0.05,0.03,0.00,0.04,0.03,0.04,Matches
25,Florin Andone\Florin-Andone,ro ROU,FW,tr Galatasaray,26,1993,3,2,162,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.00,0.28,0.29,0.00,0.29,0.29,0.29,Matches
26,Benjamin André\Benjamin-Andre,fr FRA,MF,fr Lille,28,1990,5,5,403,4.5,0.00,0.44,0.00,0.00,0.00,0.22,0.00,0.00,0.45,0.45,0.00,0.45,0.11,0.11,0.18,0.29,0.11,0.19,0.29,0.11,0.29,Matches
27,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,gr Olympiacos,29,1990,6,3,316,3.5,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.14,0.26,0.11,0.14,0.25,0.11,0.25,Matches
28,Angeliño\Angelino,es ESP,DF,de RB Leipzig,22,1997,4,4,360,4.0,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.50,0.03,0.03,0.03,0.07,0.03,0.03,0.06,0.03,0.06,Matches
29,Angeliño\Angelino,es ESP,DF,eng Manchester City,22,1997,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.02,0.16,0.18,0.02,0.18,Matches
30,Marcos Antônio\Marcos-Antonio,br BRA,MF,ua Shakhtar,19,2000,3,0,28,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
31,Houssem Aouar\Houssem-Aouar,fr FRA,MFFW,fr Lyon,21,1998,8,8,711,7.9,0.13,0.51,0.13,0.00,0.00,0.13,0.00,0.13,0.51,0.63,0.13,0.63,0.06,0.06,0.16,0.23,0.06,0.16,0.22,0.06,0.22,Matches
32,Youssef El-Arabi\Youssef-El-Arabi,ma MAR,FW,gr Olympiacos,32,1987,6,3,278,3.1,0.97,0.00,0.65,0.32,0.32,0.32,0.00,0.97,0.00,0.97,0.65,0.65,0.45,0.19,0.00,0.19,0.44,0.01,0.44,0.19,0.20,Matches
33,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,de Leverkusen,30,1989,5,5,413,4.6,0.00,0.22,0.00,0.00,0.00,0.43,0.00,0.00,0.22,0.22,0.00,0.22,0.09,0.09,0.07,0.15,0.08,0.07,0.15,0.08,0.15,Matches
34,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,fr Lille,23,1996,6,3,277,3.1,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,0.12,0.00,0.12,0.12,0.12,Matches
35,Alphonse Areola\Alphonse-Areola,fr FRA,GK,es Real Madrid,26,1993,2,1,135,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
36,Santiago Arias\Santiago-Arias,co COL,DF,es Atlético Madrid,27,1992,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.15,0.01,0.11,0.13,0.01,0.13,Matches
37,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,eng Chelsea,24,1994,6,6,540,6.0,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
38,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,it Inter,30,1988,3,3,259,2.9,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.02,0.02,0.00,0.02,Matches
39,Marco Asensio\Marco-Asensio,es ESP,FWMF,es Real Madrid,23,1996,1,0,30,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.31,0.31,0.00,0.31,Matches
40,Majeed Ashimeru\Majeed-Ashimeru,gh GHA,MFFW,at RB Salzburg,21,1997,4,0,67,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
41,Iyayi Atiemwen\Iyayi-Atiemwen,ng NGA,FW,hr Dinamo Zagreb,23,1996,1,0,7,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
42,Serge Aurier\Serge-Aurier,ci CIV,DF,eng Tottenham,26,1992,5,5,449,5.0,0.20,0.40,0.20,0.00,0.00,0.00,0.00,0.20,0.40,0.60,0.20,0.60,0.02,0.02,0.28,0.30,0.02,0.29,0.31,0.02,0.31,Matches
