Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Adrián\Adrian,es ESP,GK,eng Liverpool,32,1987,3,3,300,3.3,2.42,2.40,4.55,2.42,53.3,0.30,0.00,0.61,0.00,0.0,0.30,0.30,0.00,0.00,0.0,Matches
2,Alisson\Alisson,br BRA,GK,eng Liverpool,26,1992,5,5,450,5.0,0.80,0.80,3.20,2.40,75.0,0.60,0.20,0.20,0.20,20.0,0.00,0.00,0.00,0.00,,Matches
3,Alphonse Areola\Alphonse-Areola,fr FRA,GK,es Real Madrid,26,1993,2,1,135,1.5,0.67,0.67,2.00,1.33,66.7,0.67,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
4,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,eng Chelsea,24,1994,6,6,540,6.0,1.50,1.50,3.00,1.83,50.0,0.50,0.33,0.17,0.17,16.7,0.17,0.00,0.17,0.00,100.0,Matches
5,Milan Borjan\Milan-Borjan,ca CAN,GK,rs Red Star,31,1987,6,6,540,6.0,3.33,3.33,8.50,5.33,64.7,0.17,0.00,0.83,0.00,0.0,0.33,0.33,0.00,0.00,0.0,Matches
6,Claudio Bravo\Claudio-Bravo,cl CHI,GK,eng Manchester City,36,1983,2,1,125,1.4,1.43,1.44,2.14,0.71,33.3,0.71,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
7,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,it Juventus,41,1978,1,1,90,1.0,0.00,0.00,1.00,1.00,100.0,1.00,0.00,0.00,1.00,100.0,0.00,0.00,0.00,0.00,,Matches
8,Roman Bürki\Roman-Burki,ch SUI,GK,de Dortmund,28,1990,8,8,720,8.0,1.38,1.37,4.50,3.13,69.4,0.50,0.13,0.38,0.25,25.0,0.13,0.00,0.13,0.00,100.0,Matches
9,Willy Caballero\Willy-Caballero,ar ARG,GK,eng Chelsea,37,1981,2,2,180,2.0,3.50,3.50,6.00,3.00,50.0,0.00,0.00,1.00,0.00,0.0,0.50,0.50,0.00,0.00,0.0,Matches
10,Leonardo César Jardim\Leonardo-Cesar-Jardim,br BRA,GK,fr Lille,24,1995,1,0,19,0.2,0.00,0.00,5.00,5.00,100.0,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,Matches
11,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,es Valencia,30,1989,6,6,540,6.0,1.83,1.83,5.00,3.33,70.0,0.33,0.33,0.33,0.17,16.7,0.50,0.33,0.00,0.17,0.0,Matches
12,Carlos Coronel\Carlos-Coronel,br BRA,GK,at RB Salzburg,22,1996,3,2,238,2.6,1.54,1.51,4.23,2.69,63.6,0.38,0.38,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
13,Gaëtan Coucke\Gaetan-Coucke,be BEL,GK,be Genk,20,1998,5,5,450,5.0,3.20,3.20,7.00,3.60,54.3,0.00,0.20,0.80,0.20,20.0,0.00,0.00,0.00,0.00,,Matches
14,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,es Real Madrid,27,1992,7,7,585,6.5,1.69,1.69,4.77,3.23,67.7,0.31,0.31,0.46,0.31,28.6,0.15,0.15,0.00,0.00,0.0,Matches
15,Jaume Doménech\Jaume-Domenech,es ESP,GK,es Valencia,28,1990,2,2,180,2.0,2.00,2.00,3.50,1.50,42.9,0.50,0.00,0.50,0.50,50.0,0.00,0.00,0.00,0.00,,Matches
16,Ederson\Ederson,br BRA,GK,eng Manchester City,25,1993,8,8,675,7.5,0.93,0.93,2.93,2.13,72.7,0.67,0.27,0.13,0.27,25.0,0.13,0.13,0.00,0.00,0.0,Matches
