Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Tammy Abraham\Tammy-Abraham,eng ENG,FW,eng Chelsea,21,1997,6.3,0.00,0.00,0.00,1.90,0.63,0.95,0.48,0.16,0.63,0.00,0.00,0.16,2.38,3.65,1.90,65.7,Matches
2,Tyler Adams\Tyler-Adams,us USA,DFMF,de RB Leipzig,20,1999,0.9,0.00,0.00,0.00,4.44,1.11,0.00,1.11,1.11,0.00,0.00,0.00,0.00,12.2,1.11,1.11,50.0,Matches
3,Arijan Ademi\Arijan-Ademi,mk MKD,MFDF,hr Dinamo Zagreb,28,1991,5.7,0.53,0.00,0.00,1.75,0.53,0.53,0.18,0.35,0.70,0.00,0.00,0.00,7.19,0.53,0.70,42.9,Matches
4,Adrián\Adrian,es ESP,GK,eng Liverpool,32,1987,3.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.76,0.00,0.00,,Matches
5,Sergio Agüero\Sergio-Aguero,ar ARG,FW,eng Manchester City,31,1988,2.2,0.00,0.00,0.00,0.45,0.91,0.00,1.82,0.45,0.00,0.00,0.00,0.00,5.00,0.91,1.36,40.0,Matches
6,Manuel Akanji\Manuel-Akanji,ch SUI,DF,de Dortmund,24,1995,5.8,0.00,0.00,0.00,0.52,1.03,0.00,0.00,2.24,0.34,0.00,0.00,0.00,8.28,1.72,1.03,62.5,Matches
7,David Alaba\David-Alaba,at AUT,DF,de Bayern Munich,27,1992,7.5,0.00,0.00,0.00,0.53,0.27,0.00,0.53,0.27,0.53,0.00,0.00,0.13,9.20,1.07,0.40,72.7,Matches
8,Lucas Alario\Lucas-Alario,ar ARG,FW,de Leverkusen,26,1992,2.4,0.00,0.00,0.00,2.08,1.25,1.25,0.42,1.25,0.42,0.00,0.00,0.00,2.50,1.67,2.92,36.4,Matches
9,Jordi Alba\Jordi-Alba,es ESP,DF,es Barcelona,30,1989,3.9,0.51,0.00,0.00,0.26,1.79,0.00,1.54,1.79,0.51,0.00,0.00,0.00,8.21,0.77,1.54,33.3,Matches
10,Paco Alcácer\Paco-Alcacer,es ESP,FW,de Dortmund,25,1993,1.3,0.00,0.00,0.00,0.00,0.00,0.77,0.77,1.54,0.77,0.00,0.00,0.00,2.31,0.00,2.31,0.0,Matches
11,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,de Bayern Munich,28,1991,9.1,0.22,0.00,0.00,2.20,0.99,0.00,0.22,1.76,3.52,0.00,0.00,0.00,14.8,1.43,0.44,76.5,Matches
12,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,eng Tottenham,30,1989,6.0,0.17,0.00,0.00,0.83,0.00,0.00,0.00,0.33,0.33,0.00,0.00,0.00,7.50,1.33,1.67,44.4,Matches
13,Carles Aleñá\Carles-Alena,es ESP,MF,es Barcelona,21,1998,1.0,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,5.00,1.00,1.00,50.0,Matches
14,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,eng Liverpool,20,1998,6.5,0.15,0.00,0.00,0.62,0.31,0.00,6.00,0.62,0.77,0.00,0.00,0.00,10.8,0.46,2.15,17.6,Matches
15,Alisson\Alisson,br BRA,GK,eng Liverpool,26,1992,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.80,0.00,0.00,,Matches
16,Allan\Allan,br BRA,MF,it Napoli,28,1991,4.9,0.20,0.00,0.00,1.43,1.63,0.00,0.00,1.43,3.27,0.00,0.00,0.00,11.2,0.41,0.61,40.0,Matches
17,Dele Alli\Dele-Alli,eng ENG,MFFW,eng Tottenham,23,1996,5.7,0.18,0.00,0.00,1.75,2.28,0.35,1.05,0.53,1.05,0.00,0.00,0.00,6.67,0.88,1.58,35.7,Matches
18,André Almeida\Andre-Almeida,pt POR,DF,pt Benfica,28,1990,1.0,0.00,0.00,0.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,2.00,3.00,40.0,Matches
19,Marcos Alonso\Marcos-Alonso,es ESP,DF,eng Chelsea,28,1990,4.4,0.00,0.23,0.00,2.27,1.36,0.00,2.73,0.23,1.82,0.00,0.00,0.00,11.8,4.09,0.45,90.0,Matches
20,Éder Álvarez Balanta\Eder-Alvarez-Balanta,co COL,MF,be Club Brugge,26,1993,3.2,0.63,0.00,0.00,2.19,0.31,0.63,0.00,1.56,2.81,0.00,0.00,0.00,10.0,0.94,1.25,42.9,Matches
21,Edson Álvarez\Edson-Alvarez,mx MEX,MF,nl Ajax,21,1997,4.2,0.24,0.00,0.00,1.90,1.43,0.00,0.24,0.48,1.67,0.00,0.24,0.00,7.62,2.38,1.19,66.7,Matches
22,Nadiem Amiri\Nadiem-Amiri,de GER,FWMF,de Leverkusen,22,1996,2.6,0.00,0.38,0.00,0.77,2.69,0.00,0.77,0.38,3.08,0.00,0.00,0.00,9.23,0.38,0.77,33.3,Matches
23,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,de RB Leipzig,18,2000,2.0,0.00,0.00,0.00,0.00,0.50,0.50,0.00,1.00,0.00,0.00,0.00,0.00,6.00,2.50,0.00,100.0,Matches
24,Joachim Andersen\Joachim-Andersen,dk DEN,DF,fr Lyon,23,1996,4.4,0.23,0.00,0.00,0.68,0.23,0.00,0.00,1.36,0.45,0.00,0.00,0.00,11.6,2.73,1.36,66.7,Matches
25,Florin Andone\Florin-Andone,ro ROU,FW,tr Galatasaray,26,1993,1.8,0.00,0.00,0.00,1.67,0.56,1.11,0.00,0.00,0.00,0.00,0.00,0.00,2.22,4.44,3.89,53.3,Matches
26,Benjamin André\Benjamin-Andre,fr FRA,MF,fr Lille,28,1990,4.5,0.22,0.00,0.00,2.67,1.56,0.00,0.67,2.22,3.11,0.00,0.00,0.00,12.7,3.11,3.11,50.0,Matches
27,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,gr Olympiacos,29,1990,3.5,0.29,0.00,0.00,2.29,0.29,0.29,0.57,0.00,0.29,0.00,0.00,0.00,2.86,2.29,4.57,33.3,Matches
28,Angeliño\Angelino,es ESP,DF,de RB Leipzig,22,1997,4.0,0.00,0.00,0.00,0.75,0.50,0.00,3.75,1.00,0.00,0.00,0.00,0.00,6.75,0.25,1.75,12.5,Matches
29,Angeliño\Angelino,es ESP,DF,eng Manchester City,22,1997,1.0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,7.00,2.00,0.00,100.0,Matches
30,Marcos Antônio\Marcos-Antonio,br BRA,MF,ua Shakhtar,19,2000,0.3,0.00,0.00,0.00,0.00,6.67,0.00,0.00,3.33,3.33,0.00,0.00,0.00,20.0,3.33,3.33,50.0,Matches
31,Houssem Aouar\Houssem-Aouar,fr FRA,MFFW,fr Lyon,21,1998,7.9,0.13,0.00,0.00,1.14,2.66,0.13,1.39,0.51,1.27,0.13,0.00,0.00,6.33,0.63,0.89,41.7,Matches
32,Youssef El-Arabi\Youssef-El-Arabi,ma MAR,FW,gr Olympiacos,32,1987,3.1,0.32,0.00,0.00,1.94,1.61,0.32,0.32,0.00,0.00,0.00,0.00,0.00,3.23,2.26,4.84,31.8,Matches
33,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,de Leverkusen,30,1989,4.6,0.43,0.00,0.00,1.96,1.96,0.00,0.43,0.22,0.65,0.00,0.00,0.00,13.0,0.22,1.30,14.3,Matches
34,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,fr Lille,23,1996,3.1,0.32,0.00,0.00,1.29,0.97,0.00,1.61,1.29,0.32,0.00,0.00,0.00,6.13,0.65,1.94,25.0,Matches
35,Alphonse Areola\Alphonse-Areola,fr FRA,GK,es Real Madrid,26,1993,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.33,0.00,0.00,,Matches
36,Santiago Arias\Santiago-Arias,co COL,DF,es Atlético Madrid,27,1992,2.0,0.00,0.00,0.00,0.50,2.50,0.00,4.00,2.00,1.50,0.00,0.00,0.00,10.5,3.50,2.00,63.6,Matches
37,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,eng Chelsea,24,1994,6.0,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,3.17,0.17,0.00,100.0,Matches
38,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,it Inter,30,1988,2.9,0.34,0.00,0.00,1.03,1.72,0.00,1.03,0.34,0.34,0.00,0.00,0.00,7.59,1.03,0.00,100.0,Matches
39,Marco Asensio\Marco-Asensio,es ESP,FWMF,es Real Madrid,23,1996,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,,Matches
40,Majeed Ashimeru\Majeed-Ashimeru,gh GHA,MFFW,at RB Salzburg,21,1997,0.7,0.00,0.00,0.00,0.00,1.43,0.00,0.00,0.00,2.86,0.00,0.00,0.00,10.0,0.00,1.43,0.0,Matches
41,Iyayi Atiemwen\Iyayi-Atiemwen,ng NGA,FW,hr Dinamo Zagreb,23,1996,0.1,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,10.0,10.0,0.00,100.0,Matches
42,Serge Aurier\Serge-Aurier,ci CIV,DF,eng Tottenham,26,1992,5.0,0.00,0.00,0.00,1.40,1.80,0.00,2.60,0.60,1.00,0.00,0.00,0.00,10.0,3.20,1.00,76.2,Matches
43,Sardar Azmoun\Sardar-Azmoun,ir IRN,FW,ru Zenit,24,1995,5.1,0.20,0.00,0.00,1.57,0.20,0.59,0.39,0.39,0.20,0.00,0.00,0.20,3.53,2.94,3.53,45.5,Matches
44,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,eng Chelsea,29,1989,6.8,0.29,0.00,0.00,1.62,0.15,0.00,2.94,0.44,1.32,0.00,0.00,0.00,8.68,2.21,1.03,68.2,Matches
45,Ryan Babel\Ryan-Babel,nl NED,FW,tr Galatasaray,32,1986,3.7,0.27,0.00,0.00,1.89,1.62,0.54,0.54,0.27,0.27,0.00,0.00,0.00,4.59,1.89,2.43,43.8,Matches
