Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Tammy Abraham\Tammy-Abraham,eng ENG,FW,eng Chelsea,21,1997,6.3,0.48,3.33,1.43,42.9,3.34,1.43,0.14,0.33,8.5,0.00,0.00,0.00,0.71,0.71,0.21,-0.24,-0.24,Matches
2,Tyler Adams\Tyler-Adams,us USA,DFMF,de RB Leipzig,20,1999,0.9,1.11,2.22,1.11,50.0,2.20,1.10,0.50,1.00,15.0,0.00,0.00,0.00,0.22,0.22,0.08,0.89,0.89,Matches
3,Arijan Ademi\Arijan-Ademi,mk MKD,MFDF,hr Dinamo Zagreb,28,1991,5.7,0.18,0.35,0.18,50.0,0.35,0.17,0.50,1.00,4.0,0.00,0.00,0.00,0.12,0.12,0.35,0.05,0.05,Matches
4,Adrián\Adrian,es ESP,GK,eng Liverpool,32,1987,3.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
5,Sergio Agüero\Sergio-Aguero,ar ARG,FW,eng Manchester City,31,1988,2.2,0.91,4.09,2.27,55.6,4.13,2.30,0.11,0.20,12.1,0.00,0.45,0.45,1.14,0.77,0.19,-0.23,-0.32,Matches
6,Manuel Akanji\Manuel-Akanji,ch SUI,DF,de Dortmund,24,1995,5.8,0.00,0.52,0.00,0.0,0.52,0.00,0.00,,24.0,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
7,David Alaba\David-Alaba,at AUT,DF,de Bayern Munich,27,1992,7.5,0.00,0.67,0.13,20.0,0.67,0.13,0.00,0.00,28.0,0.27,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches
8,Lucas Alario\Lucas-Alario,ar ARG,FW,de Leverkusen,26,1992,2.4,0.00,2.92,0.83,28.6,2.94,0.84,0.00,0.00,13.1,0.00,0.00,0.00,0.21,0.21,0.07,-0.21,-0.21,Matches
9,Jordi Alba\Jordi-Alba,es ESP,DF,es Barcelona,30,1989,3.9,0.00,0.26,0.00,0.0,0.25,0.00,0.00,,27.0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
10,Paco Alcácer\Paco-Alcacer,es ESP,FW,de Dortmund,25,1993,1.3,0.00,3.08,0.00,0.0,3.19,0.00,0.00,,13.7,0.77,0.00,0.00,0.46,0.46,0.16,-0.46,-0.46,Matches
11,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,de Bayern Munich,28,1991,9.1,0.00,0.77,0.11,14.3,0.77,0.11,0.00,0.00,15.0,0.00,0.00,0.00,0.20,0.20,0.26,-0.20,-0.20,Matches
12,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,eng Tottenham,30,1989,6.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
13,Carles Aleñá\Carles-Alena,es ESP,MF,es Barcelona,21,1998,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
14,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,eng Liverpool,20,1998,6.5,0.00,0.92,0.15,16.7,0.93,0.15,0.00,0.00,22.9,0.15,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,Matches
15,Alisson\Alisson,br BRA,GK,eng Liverpool,26,1992,5.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
16,Allan\Allan,br BRA,MF,it Napoli,28,1991,4.9,0.00,0.41,0.00,0.0,0.40,0.00,0.00,,23.9,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
17,Dele Alli\Dele-Alli,eng ENG,MFFW,eng Tottenham,23,1996,5.7,0.18,1.23,0.70,57.1,1.22,0.70,0.14,0.25,12.7,0.00,0.00,0.00,0.19,0.19,0.15,-0.02,-0.02,Matches
18,André Almeida\Andre-Almeida,pt POR,DF,pt Benfica,28,1990,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
19,Marcos Alonso\Marcos-Alonso,es ESP,DF,eng Chelsea,28,1990,4.4,0.00,2.73,1.14,41.7,2.72,1.13,0.00,0.00,15.5,0.68,0.00,0.00,0.16,0.16,0.06,-0.16,-0.16,Matches
20,Éder Álvarez Balanta\Eder-Alvarez-Balanta,co COL,MF,be Club Brugge,26,1993,3.2,0.00,0.63,0.00,0.0,0.63,0.00,0.00,,22.0,0.00,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches
21,Edson Álvarez\Edson-Alvarez,mx MEX,MF,nl Ajax,21,1997,4.2,0.24,1.43,0.48,33.3,1.43,0.48,0.17,0.50,11.9,0.00,0.00,0.00,0.12,0.12,0.08,0.12,0.12,Matches
22,Nadiem Amiri\Nadiem-Amiri,de GER,FWMF,de Leverkusen,22,1996,2.6,0.00,2.69,0.77,28.6,2.65,0.76,0.00,0.00,23.1,0.38,0.00,0.00,0.15,0.15,0.06,-0.15,-0.15,Matches
23,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,de RB Leipzig,18,2000,2.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
24,Joachim Andersen\Joachim-Andersen,dk DEN,DF,fr Lyon,23,1996,4.4,0.23,0.23,0.23,100.0,0.23,0.23,1.00,1.00,7.0,0.00,0.00,0.00,0.02,0.02,0.13,0.20,0.20,Matches
25,Florin Andone\Florin-Andone,ro ROU,FW,tr Galatasaray,26,1993,1.8,0.00,4.44,1.11,25.0,4.44,1.11,0.00,0.00,18.0,0.00,0.00,0.00,0.28,0.28,0.07,-0.28,-0.28,Matches
26,Benjamin André\Benjamin-Andre,fr FRA,MF,fr Lille,28,1990,4.5,0.00,2.22,0.44,20.0,2.23,0.45,0.00,0.00,12.3,0.00,0.00,0.00,0.11,0.11,0.05,-0.11,-0.11,Matches
27,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,gr Olympiacos,29,1990,3.5,0.00,2.57,0.29,11.1,2.56,0.28,0.00,0.00,19.0,0.00,0.00,0.00,0.11,0.11,0.04,-0.11,-0.11,Matches
28,Angeliño\Angelino,es ESP,DF,de RB Leipzig,22,1997,4.0,0.00,1.00,0.75,75.0,1.00,0.75,0.00,0.00,16.4,0.00,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,Matches
29,Angeliño\Angelino,es ESP,DF,eng Manchester City,22,1997,1.0,0.00,1.00,0.00,0.0,1.00,0.00,0.00,,27.5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
30,Marcos Antônio\Marcos-Antonio,br BRA,MF,ua Shakhtar,19,2000,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
31,Houssem Aouar\Houssem-Aouar,fr FRA,MFFW,fr Lyon,21,1998,7.9,0.13,1.14,0.63,55.6,1.14,0.63,0.11,0.20,16.3,0.00,0.00,0.00,0.06,0.06,0.05,0.06,0.06,Matches
32,Youssef El-Arabi\Youssef-El-Arabi,ma MAR,FW,gr Olympiacos,32,1987,3.1,0.97,1.29,0.65,50.0,1.29,0.65,0.50,1.00,13.5,0.00,0.32,0.32,0.45,0.19,0.15,0.52,0.45,Matches
33,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,de Leverkusen,30,1989,4.6,0.00,1.09,0.00,0.0,1.09,0.00,0.00,,21.4,0.00,0.00,0.00,0.09,0.09,0.07,-0.09,-0.09,Matches
34,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,fr Lille,23,1996,3.1,0.00,2.90,1.29,44.4,2.92,1.30,0.00,0.00,23.9,0.00,0.00,0.00,0.13,0.13,0.04,-0.13,-0.13,Matches
35,Alphonse Areola\Alphonse-Areola,fr FRA,GK,es Real Madrid,26,1993,1.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
36,Santiago Arias\Santiago-Arias,co COL,DF,es Atlético Madrid,27,1992,2.0,0.00,1.00,0.00,0.0,1.00,0.00,0.00,,23.1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
37,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,eng Chelsea,24,1994,6.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
