Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Tammy Abraham\Tammy-Abraham,eng ENG,FW,eng Chelsea,21,1997,6.3,12.2,18.1,67.5,177.8,23.3,6.98,9.21,75.9,3.17,5.56,57.1,0.95,1.43,66.7,0.16,0.06,0.10,0.95,0.48,0.16,0.00,0.48,Matches
2,Tyler Adams\Tyler-Adams,us USA,DFMF,de RB Leipzig,20,1999,0.9,74.4,90.0,82.7,1160.0,270.0,43.3,46.7,92.9,22.2,25.6,87.0,5.56,10.0,55.6,0.00,0.00,0.00,0.00,3.33,0.00,0.00,3.33,Matches
3,Arijan Ademi\Arijan-Ademi,mk MKD,MFDF,hr Dinamo Zagreb,28,1991,5.7,25.4,28.9,87.9,409.3,79.3,12.8,14.0,91.3,10.2,11.8,86.6,1.75,2.11,83.3,0.18,0.18,0.00,0.70,0.88,0.18,0.00,0.88,Matches
4,Adrián\Adrian,es ESP,GK,eng Liverpool,32,1987,3.3,23.9,29.7,80.6,731.8,440.9,3.94,4.24,92.9,9.09,9.39,96.8,10.6,15.8,67.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,Matches
5,Sergio Agüero\Sergio-Aguero,ar ARG,FW,eng Manchester City,31,1988,2.2,14.5,22.7,64.0,185.9,19.1,10.5,13.2,79.3,4.09,6.82,60.0,0.00,0.00,,0.00,0.00,0.00,0.45,0.91,0.45,0.00,0.45,Matches
6,Manuel Akanji\Manuel-Akanji,ch SUI,DF,de Dortmund,24,1995,5.8,59.0,66.9,88.1,1088.4,308.1,25.7,27.6,93.1,26.7,28.8,92.8,5.86,9.66,60.7,0.00,0.00,0.00,0.00,2.93,0.17,0.00,3.28,Matches
7,David Alaba\David-Alaba,at AUT,DF,de Bayern Munich,27,1992,7.5,71.5,79.1,90.4,1500.8,483.1,21.2,22.7,93.5,38.5,40.7,94.8,11.1,14.0,79.0,0.00,0.15,-0.15,0.53,6.80,0.93,0.13,6.00,Matches
8,Lucas Alario\Lucas-Alario,ar ARG,FW,de Leverkusen,26,1992,2.4,16.7,19.6,85.1,248.3,28.8,10.0,11.3,88.9,4.58,5.42,84.6,1.25,1.67,75.0,0.00,0.00,0.00,0.83,1.67,0.00,0.00,0.83,Matches
9,Jordi Alba\Jordi-Alba,es ESP,DF,es Barcelona,30,1989,3.9,49.7,59.2,84.0,863.8,259.2,20.3,23.6,85.9,24.4,26.7,91.3,3.85,5.90,65.2,0.26,0.28,-0.03,1.54,2.05,0.77,0.26,3.33,Matches
10,Paco Alcácer\Paco-Alcacer,es ESP,FW,de Dortmund,25,1993,1.3,13.1,18.5,70.8,208.5,42.3,5.38,7.69,70.0,6.92,7.69,90.0,0.77,1.54,50.0,0.77,0.31,0.46,3.08,2.31,0.77,0.00,2.31,Matches
11,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,de Bayern Munich,28,1991,9.1,83.5,91.4,91.3,1785.6,446.9,27.1,30.0,90.5,39.3,41.0,96.0,15.9,19.0,83.8,0.22,0.16,0.05,1.76,10.3,1.21,0.00,8.13,Matches
12,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,eng Tottenham,30,1989,6.0,47.8,55.3,86.4,1113.2,346.5,10.0,10.5,95.2,29.2,31.0,94.1,8.50,13.7,62.2,0.00,0.02,-0.02,0.17,2.50,0.00,0.00,1.67,Matches
13,Carles Aleñá\Carles-Alena,es ESP,MF,es Barcelona,21,1998,1.0,84.0,99.0,84.8,1464.0,452.0,39.0,48.0,81.3,32.0,36.0,88.9,9.00,10.0,90.0,0.00,0.20,-0.20,4.00,7.00,1.00,0.00,7.00,Matches
14,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,eng Liverpool,20,1998,6.5,84.5,113.2,74.6,1868.0,662.9,26.5,29.4,90.1,42.2,49.2,85.6,15.1,30.6,49.2,0.15,0.25,-0.09,2.15,9.08,2.31,1.08,10.2,Matches
15,Alisson\Alisson,br BRA,GK,eng Liverpool,26,1992,5.0,31.6,34.8,90.8,864.4,441.0,4.20,4.20,100.0,16.8,16.8,100.0,10.6,13.8,76.8,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,Matches
16,Allan\Allan,br BRA,MF,it Napoli,28,1991,4.9,47.8,55.9,85.4,969.8,270.0,17.8,19.2,92.6,21.2,24.3,87.4,7.96,10.8,73.6,0.00,0.00,0.00,0.00,5.71,0.82,0.00,5.10,Matches
