Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Tammy Abraham\Tammy-Abraham,eng ENG,FW,eng Chelsea,21,1997,8,566,71,78.6,6.3,1.11,77,0.48,0.16,30,0.00,1.38,1.59,1.75,-0.16,-0.16,+1.59,1.98,1.11,0.87,+0.88,+1.81,Matches
2,Tyler Adams\Tyler-Adams,us USA,DFMF,de RB Leipzig,20,1999,3,82,27,9.1,0.9,0.00,,0.00,3.33,27,0.00,2.00,2.22,0.00,2.22,+2.20,+1.98,1.11,1.11,0.11,+0.08,-0.45,Matches
3,Antonio Adán\Antonio-Adan,es ESP,GK,es Atlético Madrid,32,1987,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
4,Arijan Ademi\Arijan-Ademi,mk MKD,MFDF,hr Dinamo Zagreb,28,1991,6,517,86,95.7,5.7,1.05,86,0.88,0.00,,0.00,1.58,1.75,2.11,-0.35,-0.35,+3.56,1.04,2.35,-1.32,-1.30,+0.39,Matches
5,Adrián\Adrian,es ESP,GK,eng Liverpool,32,1987,3,300,100,40.0,3.3,0.91,100,0.91,0.00,,1.52,1.00,1.82,2.42,-0.61,-0.60,-1.60,1.79,1.39,0.39,+0.40,-0.65,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,eng Manchester City,31,1988,3,196,65,24.2,2.2,0.91,89,0.45,0.45,18,0.91,2.33,2.73,0.45,2.27,+2.30,+1.27,3.05,0.86,2.23,+2.25,+0.66,Matches
7,Manuel Akanji\Manuel-Akanji,ch SUI,DF,de Dortmund,24,1995,6,523,87,72.6,5.8,1.03,87,0.86,0.00,,0.34,1.67,1.38,1.21,0.17,+0.17,+1.09,1.69,1.34,0.34,+0.34,+1.20,Matches
8,Yunus Akgün\Yunus-Akgun,tr TUR,FW,tr Galatasaray,19,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
9,Sergio Akieme\Sergio-Akieme,es ESP,DF,es Barcelona,21,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
10,David Alaba\David-Alaba,at AUT,DF,de Bayern Munich,27,1992,8,675,84,68.2,7.5,1.07,84,0.93,0.00,,0.00,3.00,3.47,0.80,2.67,+2.67,-1.62,2.72,1.11,1.61,+1.61,-1.21,Matches
11,Lucas Alario\Lucas-Alario,ar ARG,FW,de Leverkusen,26,1992,5,214,43,39.6,2.4,0.83,74,0.00,1.25,22,0.42,0.60,0.00,1.25,-1.25,-1.26,-0.99,0.92,0.92,0.04,+0.03,+0.63,Matches
12,Jordi Alba\Jordi-Alba,es ESP,DF,es Barcelona,30,1989,5,354,71,43.7,3.9,1.28,71,0.77,0.00,,0.00,1.60,1.79,2.56,-0.77,-0.76,-1.55,1.54,2.26,-0.72,-0.71,-1.02,Matches
13,Paco Alcácer\Paco-Alcacer,es ESP,FW,de Dortmund,25,1993,2,113,57,15.7,1.3,0.77,86,0.00,0.77,27,0.77,2.00,0.77,0.00,0.77,+0.80,+1.09,2.38,0.46,1.92,+1.99,+2.34,Matches
14,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,de Bayern Munich,28,1991,10,819,82,82.7,9.1,0.99,86,0.55,0.11,45,0.11,3.00,3.96,0.77,3.19,+3.19,+0.03,3.13,0.97,2.16,+2.16,+0.99,Matches
15,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,eng Tottenham,30,1989,6,540,90,75.0,6.0,1.00,90,1.00,0.00,,0.17,0.67,1.50,3.00,-1.50,-1.50,-6.00,1.33,1.75,-0.42,-0.42,-2.38,Matches
16,Carles Aleñá\Carles-Alena,es ESP,MF,es Barcelona,21,1998,1,90,90,11.1,1.0,1.00,90,1.00,0.00,,1.00,3.00,2.00,1.00,1.00,+1.00,+1.00,1.20,1.00,0.20,+0.21,+0.39,Matches
17,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,eng Liverpool,20,1998,7,583,83,77.7,6.5,0.92,95,0.92,0.15,13,0.00,1.43,1.54,1.54,0.00,0.00,-1.62,1.80,1.05,0.75,+0.76,-0.13,Matches
18,Alisson\Alisson,br BRA,GK,eng Liverpool,26,1992,5,450,90,60.0,5.0,1.00,90,1.00,0.00,,0.00,2.00,1.80,0.80,1.00,+1.00,+1.60,1.70,0.66,1.04,+1.04,+0.65,Matches
19,Bobby Allain\Bobby-Allain,fr FRA,GK,gr Olympiacos,27,1991,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
20,Allan\Allan,br BRA,MF,it Napoli,28,1991,6,445,74,61.8,4.9,1.02,87,0.82,0.20,11,0.20,2.00,1.63,0.61,1.02,+1.01,+1.01,1.37,1.18,0.18,+0.18,-0.65,Matches
