Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
nl Ajax,19,24.9,54.7,6,66,540,6.0,1.67,1.67,1.67,0.00,0.00,3.33,0.33,1.67,1.67,3.33,1.67,3.33,1.12,1.12,0.98,2.10,1.12,0.98,2.10,1.12,2.10
it Atalanta,23,27.4,48.4,9,99,810,9.0,1.89,1.00,1.44,0.44,0.56,2.78,0.00,1.89,1.00,2.89,1.44,2.44,1.83,1.42,1.07,2.49,1.84,1.07,2.91,1.42,2.49
es Atlético Madrid,21,26.2,44.9,9,99,840,9.3,1.40,0.97,1.18,0.22,0.32,1.72,0.00,1.39,0.96,2.36,1.18,2.14,1.40,1.15,0.88,2.04,1.40,0.88,2.28,1.15,2.03
es Barcelona,24,27.6,57.6,9,99,810,9.0,1.44,1.11,1.33,0.11,0.11,2.78,0.11,1.44,1.11,2.56,1.33,2.44,1.48,1.39,1.12,2.51,1.48,1.12,2.60,1.39,2.51
de Bayern Munich,20,27.0,64.3,11,121,990,11.0,3.91,3.36,3.73,0.18,0.18,1.18,0.00,3.91,3.36,7.27,3.73,7.09,2.97,2.84,2.07,4.91,2.97,2.07,5.04,2.83,4.91
pt Benfica,23,24.9,48.3,6,66,540,6.0,1.50,0.83,1.33,0.17,0.17,1.33,0.00,1.50,0.83,2.33,1.33,2.17,1.25,1.13,0.88,2.00,1.25,0.88,2.13,1.13,2.00
eng Chelsea,22,25.5,51.6,8,88,720,8.0,1.50,0.88,1.25,0.25,0.38,1.75,0.13,1.50,0.87,2.37,1.25,2.12,1.95,1.66,1.27,2.94,1.95,1.28,3.22,1.67,2.94
be Club Brugge,22,25.4,41.7,6,66,540,6.0,0.67,0.50,0.67,0.00,0.17,2.83,0.50,0.67,0.50,1.17,0.67,1.17,1.25,1.13,0.77,1.90,1.26,0.77,2.03,1.13,1.90
hr Dinamo Zagreb,21,25.7,34.7,6,66,540,6.0,1.67,1.50,1.50,0.17,0.17,2.67,0.17,1.67,1.50,3.17,1.50,3.00,1.00,0.87,0.77,1.63,1.00,0.76,1.76,0.87,1.63
de Dortmund,24,25.8,51.6,8,88,720,8.0,1.25,1.13,1.25,0.00,0.13,1.75,0.25,1.25,1.13,2.37,1.25,2.37,1.43,1.34,1.04,2.38,1.43,1.04,2.47,1.33,2.38
tr Galatasaray,20,29.7,46.7,6,66,540,6.0,0.17,0.17,0.17,0.00,0.00,3.50,0.00,0.17,0.17,0.33,0.17,0.33,0.50,0.50,0.35,0.83,0.49,0.35,0.84,0.49,0.84
be Genk,20,23.5,39.8,6,66,540,6.0,0.83,0.67,0.83,0.00,0.00,1.67,0.00,0.83,0.67,1.50,0.83,1.50,1.07,1.07,0.77,1.83,1.07,0.76,1.83,1.07,1.83
