Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
nl Ajax,19,6.0,3.33,0.33,0.33,15.5,10.2,1.83,11.7,10.2,14.8,0.00,0.33,0.00,94.2,16.3,17.2,48.8
it Atalanta,23,9.0,2.78,0.00,0.00,16.9,12.0,1.67,10.0,9.89,12.9,0.44,0.11,0.00,82.8,14.8,12.7,53.8
es Atlético Madrid,21,9.3,1.72,0.00,0.00,12.0,13.1,2.69,12.0,8.82,12.6,0.22,0.00,0.11,88.7,20.6,18.5,52.7
es Barcelona,24,9.0,2.78,0.11,0.11,11.3,13.7,1.56,7.33,9.89,10.6,0.11,0.22,0.00,80.7,8.56,8.11,51.3
de Bayern Munich,20,11.0,1.18,0.00,0.00,12.0,9.64,1.82,18.2,6.64,13.7,0.09,0.09,0.09,93.0,13.7,10.2,57.4
pt Benfica,23,6.0,1.33,0.00,0.00,10.2,11.7,1.50,9.67,6.67,11.7,0.00,0.17,0.17,89.0,10.3,12.3,45.6
eng Chelsea,22,8.0,1.75,0.13,0.00,12.6,9.88,1.75,14.1,5.13,10.3,0.13,0.25,0.25,85.1,16.3,12.1,57.3
be Club Brugge,22,6.0,2.83,0.50,0.50,15.7,9.83,3.83,11.3,11.8,13.5,0.17,0.00,0.00,82.8,14.0,14.2,49.7
hr Dinamo Zagreb,21,6.0,2.67,0.17,0.17,14.8,9.67,1.83,9.33,10.2,13.5,0.17,0.33,0.00,91.5,14.3,16.7,46.2
de Dortmund,24,8.0,1.75,0.25,0.13,11.6,9.75,1.63,10.8,10.1,12.4,0.13,0.13,0.00,85.5,9.63,9.50,50.3
tr Galatasaray,20,6.0,3.50,0.00,0.00,15.7,12.2,1.67,9.33,6.67,11.8,0.00,0.33,0.00,91.2,17.2,17.7,49.3
be Genk,20,6.0,1.67,0.00,0.00,7.83,12.5,2.50,12.0,8.67,11.7,0.00,0.33,0.00,85.7,13.8,17.2,44.6
it Inter,20,6.0,2.83,0.00,0.00,13.0,14.3,3.67,8.17,10.8,12.3,0.17,0.17,0.00,83.5,12.0,10.5,53.3
it Juventus,23,8.0,1.25,0.00,0.00,10.6,14.6,2.38,14.1,8.13,9.63,0.00,0.13,0.00,84.8,14.0,10.8,56.6
de Leverkusen,20,6.0,1.17,0.17,0.00,15.3,10.7,1.67,13.7,9.83,15.8,0.00,0.00,0.00,97.8,12.3,14.7,45.7
fr Lille,21,6.0,2.33,0.00,0.00,14.0,9.33,2.67,11.2,11.2,13.3,0.00,0.00,0.17,88.5,13.7,17.2,44.3
eng Liverpool,20,8.3,1.08,0.00,0.00,10.8,7.71,1.33,17.6,6.39,12.8,0.00,0.12,0.00,108.0,15.7,15.3,50.6
ru Loko Moscow,20,6.0,2.00,0.00,0.00,13.8,12.8,1.50,6.17,11.2,12.0,0.00,0.33,0.33,75.0,15.2,16.3,48.1
fr Lyon,24,10.0,2.20,0.00,0.00,12.5,10.9,1.80,13.2,7.60,9.10,0.20,0.30,0.00,89.5,14.0,16.1,46.5
eng Manchester City,23,9.0,1.67,0.22,0.11,11.1,9.33,1.78,14.4,8.44,12.4,0.22,0.11,0.00,83.7,11.8,10.0,54.1
it Napoli,24,8.0,1.75,0.00,0.00,9.25,11.9,1.88,11.6,8.13,10.6,0.38,0.38,0.00,80.8,12.6,11.1,53.2
gr Olympiacos,17,6.0,2.33,0.17,0.17,12.5,12.0,1.33,12.8,8.17,10.8,0.17,0.33,0.00,79.0,14.5,15.0,49.2
fr Paris S-G,24,11.0,2.64,0.00,0.00,12.4,17.5,2.36,9.00,7.91,12.0,0.09,0.09,0.00,80.5,12.3,10.0,55.1
de RB Leipzig,25,10.0,2.00,0.00,0.00,15.2,9.60,2.50,15.0,7.50,12.9,0.40,0.10,0.00,100.6,16.1,16.6,49.2
at RB Salzburg,21,6.0,1.33,0.00,0.00,15.3,5.67,2.67,8.83,11.0,13.2,0.33,0.00,0.00,104.8,12.5,14.7,46.0
es Real Madrid,25,8.0,1.63,0.13,0.00,8.63,11.4,1.25,13.8,8.50,12.4,0.13,0.13,0.00,84.3,12.0,12.3,49.5
rs Red Star,19,6.0,2.33,0.00,0.00,10.3,11.7,1.33,7.17,10.2,11.8,0.17,0.17,0.00,73.7,11.2,17.3,39.2
ua Shakhtar,18,6.0,1.83,0.33,0.17,8.67,16.2,1.50,7.33,6.33,11.5,0.17,0.33,0.00,72.2,10.2,12.2,45.5
cz Slavia Prague,20,6.0,2.67,0.00,0.00,15.5,10.3,1.67,9.17,9.67,11.2,0.17,0.00,0.17,100.2,14.3,15.8,47.5
eng Tottenham,28,8.0,1.75,0.00,0.00,12.0,12.1,1.38,11.1,8.13,9.88,0.25,0.25,0.00,87.0,12.6,12.0,51.3
es Valencia,23,8.0,2.38,0.25,0.13,9.38,18.0,1.75,11.6,5.13,11.8,0.25,0.38,0.00,83.1,14.5,17.6,45.1
ru Zenit,19,6.0,2.83,0.17,0.17,10.5,8.83,1.67,10.8,10.5,12.7,0.00,0.17,0.17,88.7,20.0,17.7,53.1
