Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG
nl Ajax,19,6.0,22.0,22.00,16.8,1.17,1.50,0.50,0.67,1.17,3.83,3.83,3.00,0.17,0.00,0.17,0.33,0.00,0.17
it Atalanta,23,9.0,22.4,22.44,14.9,2.33,1.56,1.44,1.67,0.56,2.89,2.89,1.89,0.11,0.22,0.11,0.44,0.11,0.00
es Atlético Madrid,21,9.3,19.6,19.50,13.2,2.69,1.40,0.86,0.97,0.43,2.04,2.04,1.40,0.32,0.00,0.22,0.11,0.00,0.00
es Barcelona,24,9.0,19.0,19.00,14.8,0.78,1.33,0.56,1.22,0.22,3.00,3.00,2.11,0.22,0.22,0.11,0.11,0.11,0.11
de Bayern Munich,20,11.0,33.4,33.36,24.6,2.00,2.00,2.18,1.36,1.18,6.36,6.36,4.64,0.18,0.36,0.45,0.36,0.36,0.00
pt Benfica,23,6.0,21.8,21.83,15.2,2.67,0.83,0.67,1.67,0.67,2.17,2.17,1.67,0.00,0.00,0.17,0.00,0.17,0.17
eng Chelsea,22,8.0,26.1,26.12,18.0,2.38,2.00,2.13,1.25,0.38,2.00,2.00,1.00,0.13,0.38,0.38,0.13,0.00,0.00
be Club Brugge,22,6.0,16.0,16.00,10.8,2.00,1.00,0.83,1.33,0.00,0.83,0.83,0.83,0.00,0.00,0.00,0.00,0.00,0.00
hr Dinamo Zagreb,21,6.0,13.5,13.50,9.67,0.67,1.50,0.50,0.67,0.50,3.17,3.17,2.67,0.00,0.17,0.17,0.17,0.00,0.00
de Dortmund,24,8.0,19.5,19.50,15.9,0.63,1.38,0.88,0.63,0.13,2.25,2.25,1.88,0.00,0.25,0.13,0.00,0.00,0.00
tr Galatasaray,20,6.0,13.0,13.00,9.17,0.83,1.17,0.33,1.00,0.50,0.33,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00
be Genk,20,6.0,17.0,17.00,11.7,1.83,1.67,0.67,1.00,0.17,0.83,0.83,0.50,0.17,0.00,0.17,0.00,0.00,0.00
it Inter,20,6.0,19.5,19.50,14.3,1.33,1.67,0.67,1.17,0.33,2.33,2.33,1.83,0.00,0.33,0.17,0.00,0.00,0.00
it Juventus,23,8.0,21.8,21.75,15.5,1.38,2.25,0.63,2.00,0.00,2.38,2.37,1.63,0.00,0.25,0.38,0.13,0.00,0.00
de Leverkusen,20,6.0,21.5,21.50,15.8,1.50,1.50,0.67,0.83,0.67,1.33,1.33,0.83,0.00,0.00,0.00,0.00,0.00,0.50
fr Lille,21,6.0,21.8,21.83,16.5,1.67,1.17,1.00,0.67,0.83,1.00,1.00,0.50,0.17,0.17,0.00,0.00,0.17,0.00
eng Liverpool,20,8.3,27.2,27.12,19.4,1.93,2.65,1.81,0.60,0.84,2.65,2.64,1.93,0.12,0.36,0.24,0.00,0.00,0.00
ru Loko Moscow,20,6.0,13.8,13.83,9.83,1.17,1.00,1.33,0.17,0.33,0.50,0.50,0.17,0.00,0.00,0.33,0.00,0.00,0.00
fr Lyon,24,10.0,18.0,18.00,12.9,1.30,1.60,0.60,0.90,0.70,2.00,2.00,1.40,0.00,0.20,0.10,0.20,0.10,0.00
eng Manchester City,23,9.0,26.8,26.78,20.0,1.22,2.78,1.11,1.33,0.33,4.11,4.11,3.33,0.00,0.33,0.11,0.22,0.11,0.00
it Napoli,24,8.0,21.4,21.38,16.1,2.00,0.63,1.38,1.00,0.25,2.50,2.50,1.88,0.00,0.13,0.13,0.38,0.00,0.00
gr Olympiacos,17,6.0,20.3,20.33,14.7,1.17,3.50,0.33,0.50,0.17,2.50,2.50,1.33,0.33,0.33,0.00,0.33,0.17,0.00
fr Paris S-G,24,11.0,20.4,20.36,15.5,1.36,1.18,0.73,1.18,0.36,4.09,4.09,3.18,0.18,0.36,0.09,0.18,0.09,0.00
de RB Leipzig,25,10.0,24.3,24.30,19.5,1.20,1.20,1.10,0.90,0.40,2.80,2.80,2.10,0.00,0.00,0.30,0.40,0.00,0.00
at RB Salzburg,21,6.0,24.2,24.17,17.8,2.17,2.17,1.17,0.50,0.33,4.67,4.67,3.17,0.17,0.83,0.17,0.33,0.00,0.00
es Real Madrid,25,8.0,28.9,28.87,22.6,2.50,1.25,1.00,1.13,0.38,3.38,3.38,2.50,0.13,0.25,0.13,0.25,0.13,0.00
rs Red Star,19,6.0,12.3,12.33,7.50,1.50,1.17,1.00,0.50,0.67,0.50,0.50,0.00,0.33,0.00,0.17,0.00,0.00,0.00
ua Shakhtar,18,6.0,17.7,17.67,13.0,0.83,2.17,0.67,1.00,0.00,2.67,2.67,1.67,0.00,0.83,0.00,0.17,0.00,0.00
cz Slavia Prague,20,6.0,21.3,21.33,15.0,2.33,0.67,1.00,1.83,0.50,1.17,1.17,0.83,0.00,0.00,0.17,0.17,0.00,0.00
eng Tottenham,28,8.0,19.9,19.87,13.8,1.25,2.00,1.00,1.75,0.13,3.75,3.75,2.38,0.38,0.25,0.13,0.50,0.13,0.00
es Valencia,23,8.0,19.6,19.62,13.4,2.13,1.00,1.25,1.75,0.00,2.63,2.62,2.13,0.13,0.00,0.13,0.13,0.00,0.13
ru Zenit,19,6.0,16.2,16.17,12.2,1.50,0.67,0.67,0.67,0.33,1.67,1.67,1.00,0.17,0.17,0.00,0.00,0.17,0.17
