Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
nl Ajax,19,24.9,6,540,90,100,6.0,11.0,85,,2.83,16,4.17,1.67,2.00,1.00,1.00,+1.00,1.12,1.87,-0.75,-0.74
it Atalanta,23,27.4,9,810,90,100,9.0,11.0,84,,3.11,22,4.44,1.44,1.89,2.00,-0.11,-0.11,1.83,1.82,0.01,+0.01
es Atlético Madrid,21,26.2,9,840,93,100,9.3,10.6,86,,3.01,25,4.30,1.78,1.40,0.97,0.43,+0.43,1.40,0.77,0.62,+0.63
es Barcelona,24,27.6,9,810,90,100,9.0,11.0,84,,2.67,24,5.33,2.00,1.67,1.56,0.11,+0.11,1.48,1.62,-0.14,-0.14
de Bayern Munich,20,27.0,11,990,90,100,11.0,11.0,83,,3.64,20,5.09,3.00,3.91,0.73,3.18,+3.18,2.97,0.97,1.99,+1.99
pt Benfica,23,24.9,6,540,90,100,6.0,11.0,84,,3.00,23,4.00,1.17,1.67,1.83,-0.17,-0.17,1.25,1.47,-0.22,-0.21
eng Chelsea,22,25.5,8,720,90,100,8.0,11.0,84,,2.75,22,4.75,1.38,1.50,2.00,-0.50,-0.50,1.95,1.45,0.50,+0.49
be Club Brugge,22,25.4,6,540,90,100,6.0,11.0,85,,2.83,19,4.17,0.50,0.67,2.00,-1.33,-1.33,1.25,1.50,-0.23,-0.24
hr Dinamo Zagreb,21,25.7,6,540,90,100,6.0,11.0,86,,3.00,15,4.00,0.83,1.67,2.17,-0.50,-0.50,1.00,2.32,-1.32,-1.32
de Dortmund,24,25.8,8,720,90,100,8.0,11.0,87,,2.75,13,4.25,1.63,1.25,1.38,-0.13,-0.12,1.43,1.41,0.01,+0.02
tr Galatasaray,20,29.7,6,540,90,100,6.0,11.0,84,,3.00,22,4.00,0.33,0.17,2.33,-2.17,-2.17,0.50,2.65,-2.15,-2.15
be Genk,20,23.5,6,540,90,100,6.0,11.0,86,,2.83,16,4.17,0.17,0.83,3.33,-2.50,-2.50,1.07,2.52,-1.45,-1.46
it Inter,20,27.9,6,540,90,100,6.0,11.0,85,,3.00,19,4.00,1.17,1.67,1.50,0.17,+0.17,1.42,1.37,0.03,+0.04
it Juventus,23,28.7,8,720,90,100,8.0,11.0,85,,3.13,17,4.38,2.38,1.75,0.75,1.00,+1.00,1.45,1.09,0.36,+0.36
de Leverkusen,20,26.7,6,540,90,100,6.0,11.0,85,,2.83,19,4.17,1.00,0.83,1.50,-0.67,-0.67,0.82,1.17,-0.35,-0.35
fr Lille,21,23.8,6,540,90,100,6.0,11.0,85,,3.00,17,4.00,0.17,0.67,2.33,-1.67,-1.67,1.18,1.57,-0.38,-0.38
eng Liverpool,20,27.0,8,750,94,100,8.3,10.6,88,,2.89,21,3.86,1.63,1.81,1.45,0.36,+0.36,1.75,0.95,0.78,+0.79
ru Loko Moscow,20,28.6,6,540,90,100,6.0,11.0,87,,1.83,16,5.17,0.50,0.67,1.83,-1.17,-1.17,0.93,2.10,-1.17,-1.17
fr Lyon,24,25.0,10,900,90,100,10.0,11.0,84,,3.40,18,5.10,1.40,1.40,1.40,0.00,0.00,1.05,1.65,-0.59,-0.59
eng Manchester City,23,26.9,9,810,90,100,9.0,11.0,85,,2.67,19,5.44,2.22,2.33,1.00,1.33,+1.33,2.50,0.76,1.74,+1.74
it Napoli,24,27.1,8,720,90,100,8.0,11.0,84,,3.25,21,4.38,1.63,1.63,1.00,0.63,+0.62,1.63,1.20,0.42,+0.43
gr Olympiacos,17,26.2,6,540,90,100,6.0,11.0,85,,3.00,15,4.00,0.67,1.33,2.33,-1.00,-1.00,1.28,1.80,-0.52,-0.52
fr Paris S-G,24,27.4,11,990,90,100,11.0,11.0,85,,3.18,17,5.18,2.27,2.27,0.55,1.73,+1.73,2.17,0.97,1.20,+1.20
de RB Leipzig,25,24.2,10,900,90,100,10.0,11.0,83,,3.30,25,4.70,2.00,1.60,1.20,0.40,+0.40,1.62,1.13,0.49,+0.49
at RB Salzburg,21,24.1,6,540,90,100,6.0,11.0,84,,3.00,21,4.00,1.17,2.67,2.17,0.50,+0.50,2.05,1.90,0.15,+0.15
es Real Madrid,25,27.3,8,720,90,100,8.0,11.0,85,,3.13,19,4.50,1.38,2.00,1.50,0.50,+0.50,1.95,1.50,0.46,+0.46
rs Red Star,19,27.5,6,540,90,100,6.0,11.0,83,,3.00,25,4.00,0.50,0.50,3.33,-2.83,-2.83,0.67,2.90,-2.22,-2.22
ua Shakhtar,18,28.4,6,540,90,100,6.0,11.0,86,,2.83,15,4.17,1.00,1.33,2.17,-0.83,-0.83,1.12,2.08,-0.97,-0.97
cz Slavia Prague,20,26.9,6,540,90,100,6.0,11.0,85,,3.00,20,4.00,0.33,0.67,1.67,-1.00,-1.00,1.28,1.90,-0.62,-0.62
eng Tottenham,28,26.2,8,720,90,100,8.0,11.0,85,,2.75,20,4.25,1.25,2.25,2.25,0.00,0.00,1.68,1.50,0.17,+0.18
es Valencia,23,27.2,8,720,90,100,8.0,11.0,84,,2.75,22,4.25,1.38,1.63,1.88,-0.25,-0.25,1.55,1.73,-0.17,-0.18
ru Zenit,19,28.1,6,540,90,100,6.0,11.0,84,,3.00,19,4.00,1.17,1.17,1.50,-0.33,-0.33,1.00,1.35,-0.35,-0.35
