Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,26,1990,24.3,0.21,1.36,0.49,36.4,1.36,0.49,0.15,0.42,22.7,0.16,0.00,0.00,0.13,0.13,0.09,0.08,0.08,Matches
2,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,21,1995,1.5,0.00,1.33,0.00,0.0,1.29,0.00,0.00,,20.6,0.00,0.00,0.00,0.13,0.13,0.08,-0.13,-0.13,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,19,1997,19.2,0.26,2.24,0.73,32.6,2.24,0.73,0.12,0.36,12.4,0.00,0.00,0.00,0.33,0.33,0.15,-0.07,-0.07,Matches
4,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,31,1985,4.6,0.00,1.96,0.43,22.2,1.97,0.44,0.00,0.00,34.6,0.43,0.00,0.22,0.30,0.15,0.07,-0.30,-0.15,Matches
5,Adrián\Adrian,es ESP,GK,West Ham,30,1987,19.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
6,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,31,1986,1.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
7,Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,24,1993,6.8,0.00,1.18,0.44,37.5,1.18,0.44,0.00,0.00,8.1,0.00,0.00,0.00,0.21,0.21,0.18,-0.21,-0.21,Matches
8,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,29,1988,21.8,0.96,4.22,1.74,41.3,4.22,1.74,0.18,0.45,13.5,0.05,0.18,0.18,0.76,0.62,0.15,0.20,0.16,Matches
9,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,22,1995,37.3,0.05,0.56,0.21,38.1,0.56,0.21,0.10,0.25,9.7,0.00,0.00,0.00,0.06,0.06,0.11,-0.01,-0.01,Matches
10,Marc Albrighton\Marc-Albrighton,eng ENG,MFFW,Leicester City,27,1989,28.2,0.07,0.74,0.21,28.6,0.74,0.21,0.10,0.33,19.7,0.04,0.00,0.00,0.05,0.05,0.07,0.02,0.02,Matches
11,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,28,1989,13.1,0.00,0.76,0.08,10.0,0.76,0.08,0.00,0.00,20.1,0.00,0.00,0.00,0.05,0.05,0.06,-0.05,-0.05,Matches
12,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,17.5,0.06,0.69,0.34,50.0,0.69,0.34,0.08,0.17,21.5,0.06,0.00,0.00,0.06,0.06,0.08,0.00,0.00,Matches
13,Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,27,1990,34.9,0.06,0.66,0.11,17.4,0.66,0.11,0.09,0.50,17.4,0.00,0.00,0.00,0.07,0.07,0.10,-0.01,-0.01,Matches
14,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,21,1996,32.9,0.27,2.28,0.55,24.0,2.28,0.55,0.12,0.50,14.8,0.00,0.00,0.00,0.28,0.28,0.13,-0.01,-0.01,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DFMF,Chelsea,26,1990,31.7,0.22,2.05,0.73,35.4,2.05,0.73,0.11,0.30,16.8,0.28,0.00,0.00,0.13,0.13,0.06,0.09,0.09,Matches
16,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,22,1994,5.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
17,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,Chelsea,16,2000,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
