Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,30,38.0,,,0.00,10.2,10.1,2.37,12.0,9.34,9.37,0.11,0.16,0.00,102.3,9.26,9.76,48.7
Bournemouth,22,38.0,,,0.03,8.92,11.2,1.39,13.2,8.11,7.18,0.05,0.00,0.03,105.9,11.4,12.8,47.3
Brighton,24,38.0,,,0.00,10.9,7.47,2.66,11.6,9.08,9.71,0.18,0.08,0.13,98.8,12.1,11.6,51.0
Burnley,24,38.0,,,0.00,9.26,11.1,2.74,11.8,10.0,7.89,0.00,0.11,0.03,103.9,12.6,12.8,49.6
Chelsea,26,38.0,,,0.05,9.58,10.8,2.95,14.6,8.45,9.95,0.08,0.05,0.05,100.8,9.97,9.58,51.0
Crystal Palace,28,38.0,,,0.00,11.2,10.7,1.47,12.7,11.2,9.34,0.18,0.05,0.05,101.1,13.5,10.7,55.8
Everton,30,38.0,,,0.05,11.9,9.68,2.16,11.3,10.4,9.68,0.18,0.13,0.00,106.2,13.6,14.8,47.8
Huddersfield,25,38.0,,,0.05,10.4,9.74,1.82,12.7,11.8,10.4,0.05,0.16,0.03,106.2,13.6,14.2,48.8
Leicester City,27,38.0,,,0.11,9.74,9.53,2.50,13.8,9.61,9.84,0.13,0.11,0.05,105.6,12.1,11.2,52.1
Liverpool,27,38.0,,,0.00,9.18,8.11,1.95,13.8,10.0,9.79,0.08,0.16,0.00,108.8,8.58,9.26,48.1
Manchester City,25,38.0,,,0.05,9.03,9.45,1.79,15.3,8.53,8.18,0.21,0.05,0.05,94.7,7.21,6.21,53.7
Manchester Utd,27,38.0,,,0.00,10.6,11.2,2.39,14.8,10.7,8.68,0.05,0.03,0.05,96.7,9.34,7.63,55.0
Newcastle Utd,27,38.0,,,0.03,10.7,9.87,1.68,10.9,10.4,9.24,0.03,0.16,0.08,103.0,13.9,14.7,48.7
Southampton,26,38.0,,,0.03,10.9,10.1,2.03,15.4,10.8,10.3,0.08,0.05,0.00,102.2,9.16,11.9,43.6
Stoke City,30,38.0,,,0.00,11.4,9.92,2.29,10.6,10.0,9.32,0.05,0.11,0.05,96.8,14.3,11.7,55.0
Swansea City,26,38.0,,,0.00,9.95,10.7,1.03,12.1,9.03,9.32,0.03,0.16,0.05,90.9,11.7,12.9,47.4
Tottenham,25,38.0,,,0.03,10.1,10.5,2.34,15.2,9.13,9.45,0.08,0.08,0.03,106.8,9.79,9.82,49.9
Watford,29,38.0,,,0.03,11.6,10.2,2.05,14.6,10.7,9.42,0.16,0.13,0.03,109.7,12.1,12.5,49.2
West Brom,24,38.0,,,0.00,11.6,9.34,2.11,13.6,11.3,9.21,0.00,0.03,0.05,98.7,11.3,11.8,48.9
West Ham,27,38.0,,,0.03,9.95,11.9,2.58,12.8,11.1,9.13,0.11,0.16,0.03,96.8,13.1,12.8,50.6
