Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,27,1990,36,3195,89,93.4,35.5,1.01,89,0.93,0.00,,0.06,1.19,1.24,1.32,-0.08,-0.08,-0.48,1.29,1.25,0.04,+0.04,0.00,Matches
2,Adrián\Adrian,es ESP,GK,West Ham,31,1987,0,,,,,0,,0,0,,38,,,,,,,,,,,,Matches
3,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,30,1988,33,2459,75,71.9,27.3,1.14,78,0.29,0.07,27,0.04,2.61,2.64,0.55,2.09,+2.09,+0.68,2.21,0.69,1.51,+1.51,+0.10,Matches
4,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,23,1995,38,3411,90,99.7,37.9,1.00,90,0.98,0.00,,0.00,1.18,1.48,1.85,-0.37,-0.37,-0.37,1.40,1.47,-0.07,-0.07,+0.21,Matches
5,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,28,1989,27,1625,60,47.5,18.1,0.99,78,0.44,0.50,25,0.11,1.37,0.99,0.94,0.06,+0.06,-0.04,1.08,1.28,-0.19,-0.19,-0.70,Matches
6,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,29,1989,34,2922,86,85.4,32.5,1.02,88,0.92,0.03,19,0.09,1.91,1.72,0.95,0.77,+0.77,+0.23,1.49,1.14,0.34,+0.34,+0.51,Matches
7,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,29,2462,85,72.0,27.4,0.99,88,0.73,0.07,40,0.15,2.69,2.45,0.51,1.93,+1.94,+0.62,2.13,0.81,1.32,+1.32,+0.62,Matches
8,Alisson\Alisson,br BRA,GK,Liverpool,25,1992,38,3420,90,100.0,38.0,1.00,90,1.00,0.00,,0.00,2.55,2.34,0.58,1.76,+1.76,,1.94,0.79,1.15,+1.15,,Matches
9,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,22,1996,25,1825,73,53.4,20.3,1.08,81,0.49,0.15,13,0.00,1.72,1.58,1.03,0.54,+0.54,-0.42,1.47,1.04,0.43,+0.43,+0.35,Matches
10,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,24,1994,10,759,76,22.2,8.4,1.07,82,0.48,0.12,18,0.00,1.70,1.31,1.31,0.00,0.00,+0.20,1.38,1.10,0.29,+0.28,+0.82,Matches
11,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,27,1990,31,2759,89,80.7,30.7,1.01,89,0.94,0.00,,0.03,1.97,1.69,0.91,0.78,+0.78,+0.78,1.58,0.92,0.66,+0.66,+0.23,Matches
12,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,23,1994,9,641,71,18.7,7.1,0.99,86,0.85,0.28,19,0.14,1.44,1.41,1.27,0.14,+0.14,+0.08,0.99,1.17,-0.18,-0.18,-0.45,Matches
13,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,21,1997,1,3,3,0.1,0.0,0,,0,1,2,1,3.00,0,0,0,0.00,-0.74,0.0,0.0,0.0,0.00,-0.27,Matches
14,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Chelsea,17,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
15,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,25,1993,36,3043,85,89.0,33.8,1.07,85,0.74,0.00,,0.00,1.36,1.42,1.45,-0.03,-0.03,+0.45,1.33,1.61,-0.28,-0.28,+0.33,Matches
16,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,25,1993,23,881,38,25.8,9.8,0.82,68,0.00,1.53,23,0.51,0.78,0.71,1.43,-0.71,-0.72,-0.08,0.82,1.26,-0.44,-0.44,+0.18,Matches
17,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,28,1990,33,2103,64,61.5,23.4,0.94,84,0.64,0.47,24,0.09,1.30,1.24,1.28,-0.04,-0.04,+0.09,1.34,1.70,-0.36,-0.36,-0.13,Matches
18,Stuart Armstrong\Stuart-Armstrong,sco SCO,MFFW,Southampton,26,1992,29,1432,49,41.9,15.9,1.01,75,0.19,0.82,18,0.31,0.93,1.32,1.64,-0.31,-0.31,+0.36,1.09,1.52,-0.43,-0.43,-0.31,Matches
19,Marko Arnautović\Marko-Arnautovic,at AUT,FW,West Ham,29,1989,28,1990,71,58.2,22.1,1.09,78,0.45,0.18,28,0.00,1.43,1.27,1.54,-0.27,-0.27,-0.46,1.31,1.48,-0.16,-0.16,+0.36,Matches
20,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,23,1994,36,3240,90,94.7,36.0,1.00,90,1.00,0.00,,0.06,1.89,1.69,1.08,0.61,+0.61,-0.39,1.56,0.96,0.61,+0.61,-0.05,Matches
21,Harry Arter\Harry-Arter,ie IRL,MF,Cardiff City,28,1989,25,1997,80,58.4,22.2,1.08,83,0.54,0.05,0,0.09,0.88,0.86,1.76,-0.90,-0.90,+0.05,1.04,1.43,-0.39,-0.39,+0.45,Matches
22,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,26,1992,28,1493,53,43.7,16.6,0.90,85,0.48,0.78,17,0.30,1.14,1.14,1.08,0.06,+0.06,+0.39,0.87,1.42,-0.55,-0.55,-0.34,Matches
23,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,29,1989,36,2726,76,79.7,30.3,0.99,85,0.63,0.20,30,0.00,1.86,1.91,1.39,0.53,+0.53,-0.25,1.58,1.53,0.05,+0.05,-0.07,Matches
24,Serge Aurier\Serge-Aurier,ci CIV,DFMF,Tottenham,25,1992,8,564,71,16.5,6.3,0.95,81,0.63,0.32,40,1.75,2.25,1.90,1.43,0.48,+0.48,-0.31,1.33,1.17,0.16,+0.16,-0.13,Matches
25,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,29,1989,25,983,39,28.7,10.9,1.01,67,0.00,1.28,18,0.92,0.80,1.01,1.56,-0.55,-0.55,-0.03,1.22,1.48,-0.26,-0.26,-0.01,Matches
26,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,26,1991,20,1181,59,34.5,13.1,1.07,80,0.23,0.46,10,1.22,1.40,1.15,0.99,0.15,+0.15,+0.31,1.08,1.16,-0.08,-0.08,-0.19,Matches
27,Floyd Ayité\Floyd-Ayite,tg TOG,FWMF,Fulham,29,1988,16,476,30,13.9,5.3,0.57,79,0.19,2.45,18,2.08,0.69,0.57,2.45,-1.89,-1.89,-0.76,0.91,1.91,-1.00,-1.00,-0.38,Matches
28,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,28,1989,38,3402,90,99.5,37.8,1.01,90,0.98,0.00,,0.00,1.89,1.67,1.03,0.63,+0.63,+0.63,1.54,0.92,0.62,+0.62,+1.92,Matches
29,Ryan Babel\Ryan-Babel,nl NED,FW,Fulham,31,1986,16,1251,78,36.6,13.9,1.08,82,0.36,0.07,25,0.00,0.75,1.01,1.87,-0.86,-0.86,+0.59,1.09,1.73,-0.64,-0.64,+0.05,Matches
30,Juninho Bacuna\Juninho-Bacuna,cw CUW,MFDF,Huddersfield,20,1997,21,1412,67,41.3,15.7,1.02,82,0.57,0.32,21,0.32,0.38,0.57,2.29,-1.72,-1.72,-0.51,0.66,1.96,-1.29,-1.29,-0.66,Matches
31,Leandro Bacuna\Leandro-Bacuna,cw CUW,MFDF,Cardiff City,26,1991,11,561,51,16.4,6.2,0.65,92,0.65,1.13,28,0.48,1.36,1.13,2.26,-1.13,-1.12,-0.24,1.13,1.76,-0.63,-0.63,-0.06,Matches
32,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,24,1994,12,638,53,18.7,7.1,1.13,78,0.70,0.56,5,1.27,2.17,1.97,1.83,0.14,+0.14,-0.18,1.24,1.34,-0.10,-0.10,-0.51,Matches
33,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,33,1984,6,375,63,11.0,4.2,1.19,72,0.71,0.24,14,5.95,1.50,1.90,1.43,0.48,+0.48,+0.30,0.93,1.50,-0.57,-0.57,-0.68,Matches
34,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,26,1991,23,2013,88,58.9,22.4,1.03,88,0.98,0.00,,0.18,1.35,1.47,1.43,0.04,+0.04,+0.30,1.38,1.51,-0.13,-0.13,+0.45,Matches
35,Leon Balogun\Leon-Balogun,ng NGA,DF,Brighton,30,1988,8,594,74,17.4,6.6,0.76,91,0.76,0.45,47,2.73,1.25,0.91,1.52,-0.61,-0.61,+0.06,0.95,1.38,-0.42,-0.43,+0.19,Matches
36,Sol Bamba\Sol-Bamba,ci CIV,DF,Cardiff City,33,1985,28,2474,88,72.3,27.5,1.02,88,0.98,0.00,,0.04,0.89,0.91,1.89,-0.98,-0.98,-0.22,1.05,1.56,-0.50,-0.50,+0.28,Matches
37,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,33,1985,19,1670,88,48.8,18.6,1.02,88,0.91,0.00,,0.65,1.26,1.18,1.45,-0.27,-0.27,+0.66,1.17,1.54,-0.37,-0.36,+0.38,Matches
38,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,24,1993,27,1245,46,36.4,13.8,0.94,75,0.22,1.01,19,0.65,2.00,2.03,0.94,1.09,+1.08,+0.71,1.76,0.81,0.95,+0.95,+0.52,Matches
39,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,28,1989,37,2388,65,69.8,26.5,0.98,85,0.60,0.42,17,0.04,1.00,1.32,1.55,-0.23,-0.23,+1.26,1.23,1.46,-0.23,-0.23,+1.07,Matches
40,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,20,1997,16,1004,63,29.4,11.2,0.98,79,0.27,0.45,27,0.09,1.25,1.70,1.43,0.27,+0.27,+0.27,1.71,0.99,0.72,+0.73,+0.78,Matches
41,Antonio Barreca\Antonio-Barreca,it ITA,DF,Newcastle Utd,23,1995,1,5,5,0.1,0.1,0.00,,0.00,10.0,4,20.0,0.00,0.00,0.00,0.00,0.00,+0.16,0.00,4.00,-4.00,-7.23,-6.88,Matches
42,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,24,1993,11,750,68,21.9,8.3,1.08,79,0.12,0.24,19,0.36,2.00,2.17,1.33,0.84,+0.84,+1.14,1.52,1.20,0.31,+0.31,+0.34,Matches
43,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,22,1996,25,2151,86,62.9,23.9,1.00,88,0.96,0.04,35,0.04,1.20,1.34,1.55,-0.21,-0.21,+0.85,1.11,1.44,-0.33,-0.33,-0.20,Matches
44,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,31,1987,24,2160,90,63.2,24.0,1.00,90,1.00,0.00,,0.50,1.13,1.33,1.96,-0.63,-0.62,-0.70,1.38,1.42,-0.04,-0.04,+0.07,Matches
45,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,23,1995,19,1533,81,44.8,17.0,1.06,84,0.88,0.06,21,0.00,1.95,2.12,1.24,0.88,+0.88,+0.55,1.45,1.24,0.21,+0.21,+0.27,Matches
46,Joe Bennett\Joe-Bennett,eng ENG,DF,Cardiff City,28,1990,30,2639,88,77.2,29.3,1.02,88,0.96,0.00,,0.24,0.83,0.85,1.71,-0.85,-0.85,+0.30,1.10,1.67,-0.57,-0.57,+0.05,Matches
47,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,28,1990,34,3060,90,89.5,34.0,1.00,90,1.00,0.00,,0.06,1.65,1.29,1.12,0.18,+0.18,+1.43,1.40,1.00,0.40,+0.40,+1.00,Matches
48,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
49,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,27,1990,16,814,51,23.8,9.0,1.00,80,0.33,0.78,14,0.44,1.25,1.22,1.44,-0.22,-0.22,-0.22,1.38,1.49,-0.11,-0.11,-0.20,Matches
50,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,27,1990,29,1752,60,51.2,19.5,0.97,82,0.67,0.51,19,0.10,1.00,1.23,2.00,-0.77,-0.77,-0.34,1.18,1.81,-0.63,-0.63,-0.14,Matches
51,Bernard\Bernard,br BRA,FWMF,Everton,25,1992,34,2116,62,61.9,23.5,1.06,77,0.17,0.38,21,0.04,1.44,1.23,0.81,0.43,+0.43,+0.56,1.19,1.03,0.15,+0.15,+0.30,Matches
52,Bernardo\Bernardo,br BRA,DF,Brighton,23,1995,22,1752,80,51.2,19.5,0.97,89,0.92,0.15,19,0.62,1.09,0.87,1.49,-0.62,-0.62,+0.09,0.83,1.23,-0.40,-0.40,+0.37,Matches
53,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,28,1989,24,2160,90,63.2,24.0,1.00,90,1.00,0.00,,0.04,0.96,1.08,1.75,-0.67,-0.67,-0.38,1.22,1.39,-0.17,-0.17,+0.22,Matches
54,Marcus Bettinelli\Marcus-Bettinelli,eng ENG,GK,Fulham,26,1992,7,630,90,18.4,7.0,1.00,90,1.00,0.00,,2.14,0.71,1.43,2.86,-1.43,-1.43,-0.24,1.10,2.29,-1.19,-1.19,-0.63,Matches
55,Philip Billing\Philip-Billing,dk DEN,MF,Huddersfield,22,1996,27,2188,81,64.0,24.3,1.03,85,0.78,0.08,28,0.04,0.52,0.62,1.77,-1.15,-1.15,+0.75,0.78,1.46,-0.67,-0.68,+0.64,Matches
56,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,21,1996,28,1774,63,51.9,19.7,0.86,88,0.56,0.56,26,0.30,0.93,0.81,1.62,-0.81,-0.81,-0.32,0.85,1.54,-0.69,-0.69,-0.23,Matches
