Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Arsenal,28,38.0,15.8,10.3,7.95,5.97,1.87,5.26,15.3,34.5,10.0,161.8,43.2,26.7,52.6,75.1,34.2,14.2,3.26,0.05,10.9,7.89,23.7,22.6,0.24
Bournemouth,28,38.0,12.9,7.97,7.13,4.47,1.34,3.66,12.0,30.4,8.37,177.4,40.7,22.9,67.1,77.6,32.7,15.7,4.00,0.11,11.7,7.29,20.2,28.0,0.16
Brighton,21,38.0,18.0,11.4,10.1,5.89,2.03,5.08,15.6,32.5,10.6,180.9,41.3,22.8,72.0,77.9,31.1,17.2,5.05,0.08,12.1,8.21,26.2,28.0,0.16
Burnley,23,38.0,15.5,9.00,7.95,6.11,1.47,5.53,15.2,36.3,9.71,165.5,38.9,23.5,56.6,72.4,36.4,19.6,6.34,0.32,13.2,8.26,23.8,30.2,0.39
Cardiff City,25,38.0,17.5,10.6,9.50,6.24,1.79,5.13,16.1,31.9,11.0,187.4,46.6,24.8,69.5,86.1,31.9,18.6,4.05,0.13,14.6,10.1,27.6,24.1,0.26
Chelsea,24,38.0,16.3,10.8,7.71,6.21,2.39,4.50,13.4,33.6,8.89,164.6,47.2,28.7,51.3,70.2,43.1,13.1,2.18,0.13,10.9,7.63,23.9,15.5,0.13
Crystal Palace,26,38.0,19.9,12.0,10.9,6.95,2.08,6.37,16.6,38.5,10.2,188.4,45.7,24.2,80.9,77.2,30.3,19.3,4.55,0.03,14.7,9.63,29.6,27.4,0.39
Everton,23,38.0,18.7,11.9,9.45,7.11,2.16,4.82,13.6,35.4,8.79,173.6,50.0,28.8,59.9,76.5,37.2,15.7,2.74,0.03,12.9,9.71,28.4,24.0,0.29
Fulham,28,38.0,15.9,10.5,8.79,5.79,1.34,4.97,13.8,36.1,8.82,167.5,43.2,25.8,64.5,71.1,31.9,16.9,4.21,0.08,12.7,9.74,25.7,25.9,0.21
Huddersfield,31,38.0,19.6,11.4,9.45,7.87,2.29,6.05,18.7,32.4,12.6,189.9,49.9,26.3,69.7,84.2,36.0,17.6,3.55,0.11,14.0,11.8,31.4,20.0,0.16
Leicester City,25,38.0,18.8,11.7,10.1,6.71,1.97,4.21,14.2,29.6,10.0,178.5,49.7,27.8,65.1,78.6,34.8,16.9,2.84,0.00,14.1,9.71,28.5,24.5,0.18
Liverpool,23,38.0,15.9,10.2,6.89,6.47,2.50,4.58,14.8,30.9,10.3,163.0,47.7,29.2,46.2,72.2,44.6,13.4,2.42,0.05,11.0,7.87,23.7,18.4,0.37
Manchester City,21,38.0,13.5,9.26,5.66,5.84,2.00,4.39,12.2,35.9,7.84,144.4,41.8,29.0,35.8,65.1,43.4,11.6,2.05,0.05,9.53,7.55,21.1,17.2,0.16
Manchester Utd,28,38.0,15.3,9.45,7.87,5.66,1.76,4.71,13.9,33.9,9.18,163.6,42.6,26.0,58.0,72.1,33.5,15.9,3.63,0.00,12.2,8.32,23.6,22.7,0.16
Newcastle Utd,24,38.0,18.8,11.1,9.87,7.13,1.84,6.03,17.6,34.3,11.5,193.2,46.7,24.2,75.9,87.1,30.1,19.6,4.00,0.13,15.6,11.3,30.2,28.9,0.24
Southampton,30,38.0,19.1,11.9,9.76,7.08,2.24,6.18,17.9,34.6,11.7,195.6,51.1,26.1,71.2,83.3,41.1,18.3,4.32,0.11,14.0,10.8,29.9,27.0,0.37
Tottenham,28,38.0,16.8,10.6,8.84,5.58,2.42,5.03,14.1,35.8,9.03,155.8,44.1,28.3,52.1,67.7,36.0,15.3,3.26,0.11,12.0,7.29,24.1,20.5,0.21
Watford,25,38.0,17.8,11.2,9.74,6.18,1.87,5.55,16.5,33.7,10.9,181.5,49.3,27.2,67.9,78.3,35.2,15.6,3.24,0.08,12.3,8.71,26.5,24.1,0.29
West Ham,26,38.0,18.4,11.7,9.97,6.76,1.68,6.16,18.4,33.5,12.2,177.6,44.7,25.2,70.5,76.8,30.3,16.8,3.82,0.05,13.0,10.2,28.6,23.3,0.24
Wolves,21,38.0,18.3,10.7,10.0,6.79,1.47,5.50,16.9,32.6,11.4,163.7,42.9,26.2,61.7,77.5,24.5,17.4,3.97,0.05,13.4,9.47,27.7,24.9,0.21
