Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,2,38.0,1.26,0.18,0.00,0.24,0.00,1.53,0.27,0.26,+0.26,3.37,11.4,29.6,25.6,5.79,29.7,32.7,8.21,46.5,41.4,9.29,0.61,6.5,0.55,0.55,0.35
Aston Villa,4,38.0,1.76,0.13,0.03,0.26,0.03,1.57,0.32,-0.16,-0.16,7.34,19.0,38.6,22.4,4.47,55.2,44.4,9.03,74.1,55.5,10.3,0.68,6.6,0.50,0.50,0.34
Bournemouth,2,38.0,1.71,0.13,0.11,0.13,0.00,1.69,0.33,-0.02,-0.02,5.42,17.6,30.8,22.6,4.97,53.1,44.5,7.82,71.4,58.5,8.63,0.53,6.1,0.45,0.45,0.37
Brighton,1,38.0,1.42,0.05,0.00,0.21,0.08,1.43,0.32,0.09,+0.09,7.16,13.9,51.6,31.3,6.11,33.8,33.8,7.21,45.6,38.7,8.26,0.63,7.6,0.50,0.50,0.37
Burnley,1,38.0,1.32,0.11,0.00,0.21,0.03,1.24,0.27,-0.05,-0.05,7.50,24.1,31.1,23.0,4.42,73.0,54.4,8.03,90.8,69.9,9.82,1.39,14.2,0.92,0.92,0.43
Chelsea,2,38.0,1.42,0.05,0.05,0.29,0.08,1.09,0.35,-0.25,-0.25,4.58,10.7,42.8,26.9,4.21,30.5,32.3,5.97,41.9,38.8,6.79,0.47,7.0,0.61,0.61,0.41
Crystal Palace,2,38.0,1.32,0.00,0.03,0.18,0.05,1.46,0.34,0.20,+0.20,6.74,20.1,33.6,22.2,4.45,59.4,45.2,8.21,83.7,62.5,9.63,0.87,9.0,0.45,0.45,0.34
Everton,1,38.0,1.47,0.08,0.08,0.16,0.08,1.28,0.32,-0.11,-0.11,8.24,20.6,39.9,28.9,4.71,55.6,45.8,7.18,63.0,53.4,8.29,0.66,7.9,0.61,0.61,0.38
Leicester City,1,38.0,1.08,0.21,0.00,0.18,0.05,1.11,0.28,0.08,+0.08,6.29,12.8,49.0,24.6,3.97,39.9,37.4,6.37,47.5,40.8,7.71,0.26,3.4,0.71,0.71,0.41
Liverpool,2,38.0,0.87,0.03,0.03,0.05,0.03,0.83,0.29,-0.01,-0.01,5.21,10.4,49.9,26.3,4.76,29.7,33.4,6.26,42.0,39.2,7.58,0.63,8.3,1.16,1.16,0.43
Manchester City,2,38.0,0.92,0.08,0.03,0.11,0.03,0.89,0.30,-0.01,-0.01,3.84,7.76,49.5,27.1,4.58,22.5,29.9,4.39,38.3,37.2,5.45,0.39,7.2,1.03,1.03,0.46
Manchester Utd,1,38.0,0.95,0.08,0.03,0.21,0.03,0.98,0.28,0.06,+0.05,3.16,8.18,38.6,17.6,3.89,33.8,34.3,6.97,32.1,33.9,7.50,0.39,5.3,0.29,0.29,0.35
Newcastle Utd,1,38.0,1.53,0.05,0.05,0.29,0.05,1.74,0.34,0.26,+0.26,7.76,20.5,37.9,19.9,3.18,63.6,48.4,8.87,88.1,64.4,10.1,0.53,5.2,0.37,0.37,0.32
Norwich City,3,38.0,1.97,0.11,0.03,0.34,0.08,1.87,0.33,-0.03,-0.03,7.13,20.1,35.4,33.2,5.00,45.4,39.7,9.21,55.1,44.8,10.6,0.74,6.9,0.47,0.47,0.37
Sheffield Utd,2,38.0,1.03,0.03,0.00,0.05,0.00,1.12,0.30,0.09,+0.09,6.89,23.5,29.4,21.4,2.71,77.6,58.7,7.08,96.7,75.7,7.79,0.61,7.8,0.45,0.45,0.36
Southampton,2,38.0,1.58,0.08,0.03,0.13,0.03,1.54,0.34,-0.01,-0.01,6.39,19.6,32.6,21.4,2.58,65.0,48.5,6.74,84.4,61.1,8.95,0.68,7.6,0.58,0.58,0.40
Tottenham,2,38.0,1.24,0.13,0.03,0.11,0.05,1.39,0.28,0.20,+0.20,5.63,15.1,37.3,20.9,3.68,47.9,39.8,7.61,66.4,50.8,9.39,0.53,5.6,0.42,0.42,0.33
Watford,1,38.0,1.68,0.21,0.08,0.18,0.08,1.53,0.31,-0.07,-0.07,8.47,25.7,33.0,23.9,3.21,77.4,54.3,7.68,92.8,67.6,9.66,0.97,10.1,1.16,1.16,0.41
West Ham,4,38.0,1.63,0.13,0.05,0.18,0.08,1.54,0.30,-0.01,-0.01,8.58,21.4,40.0,20.4,3.39,70.1,50.4,7.68,92.8,64.5,9.79,0.42,4.3,0.32,0.32,0.31
Wolves,1,38.0,1.05,0.03,0.03,0.18,0.03,1.06,0.32,0.03,+0.03,7.42,15.3,48.4,15.3,3.26,59.7,44.6,7.42,84.0,55.6,9.18,0.39,4.3,0.21,0.21,0.33
