Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,3,27,27,2427,27.0,1.04,1.04,3.67,2.78,72.7,0.41,0.19,0.41,0.30,29.6,0.07,0.04,0.04,0.00,50.0
Aston Villa,1,26,26,2340,26.0,1.04,1.04,4.58,3.54,79.0,0.46,0.15,0.38,0.54,53.8,0.12,0.08,0.04,0.00,33.3
Brighton,2,27,27,2430,27.0,1.30,1.30,2.93,1.93,63.3,0.19,0.41,0.41,0.30,29.6,0.26,0.22,0.00,0.04,0.0
Burnley,2,28,28,2520,28.0,1.29,1.29,4.75,3.57,75.2,0.25,0.32,0.43,0.32,32.1,0.11,0.11,0.00,0.00,0.0
Chelsea,3,28,28,2520,28.0,0.89,0.89,2.64,1.86,68.9,0.50,0.29,0.21,0.50,50.0,0.07,0.07,0.00,0.00,0.0
Crystal Palace,1,28,28,2520,28.0,1.68,1.68,4.61,2.96,65.9,0.32,0.25,0.43,0.21,21.4,0.14,0.11,0.04,0.00,25.0
Everton,2,27,27,2430,27.0,1.30,1.30,4.26,3.00,72.2,0.52,0.15,0.33,0.26,25.9,0.15,0.11,0.00,0.04,0.0
Fulham,2,28,28,2520,28.0,1.18,1.18,4.21,3.21,76.3,0.18,0.39,0.43,0.32,32.1,0.18,0.18,0.00,0.00,0.0
Leeds United,2,27,27,2430,27.0,1.70,1.70,5.04,3.63,71.3,0.41,0.07,0.52,0.30,29.6,0.30,0.26,0.04,0.00,12.5
Leicester City,1,28,28,2520,28.0,1.14,1.14,3.75,2.61,71.4,0.57,0.18,0.25,0.32,32.1,0.07,0.07,0.00,0.00,0.0
Liverpool,3,28,28,2520,28.0,1.29,1.29,3.54,2.36,67.7,0.43,0.25,0.32,0.25,25.0,0.29,0.14,0.04,0.11,20.0
Manchester City,2,28,28,2520,28.0,0.68,0.68,2.04,1.57,77.2,0.71,0.18,0.11,0.54,53.6,0.21,0.21,0.00,0.00,0.0
Manchester Utd,2,28,28,2520,28.0,1.14,1.14,3.54,2.57,71.7,0.54,0.32,0.14,0.39,39.3,0.14,0.14,0.00,0.00,0.0
Newcastle Utd,2,27,27,2430,27.0,1.63,1.63,4.67,3.19,67.5,0.26,0.22,0.52,0.19,18.5,0.15,0.11,0.04,0.00,25.0
Sheffield Utd,1,28,28,2520,28.0,1.61,1.61,5.11,3.61,70.6,0.14,0.07,0.79,0.07,7.1,0.14,0.11,0.00,0.04,0.0
Southampton,2,27,27,2430,27.0,1.63,1.63,3.96,2.52,63.6,0.33,0.22,0.44,0.33,33.3,0.19,0.19,0.00,0.00,0.0
Tottenham,1,27,27,2430,27.0,1.04,1.04,3.63,2.89,77.6,0.48,0.22,0.30,0.33,33.3,0.22,0.22,0.00,0.00,0.0
West Brom,2,28,28,2520,28.0,2.00,2.00,5.93,4.11,68.7,0.11,0.32,0.57,0.18,17.9,0.25,0.14,0.04,0.07,20.0
West Ham,2,27,27,2430,27.0,1.15,1.15,3.59,2.52,70.1,0.52,0.22,0.26,0.37,37.0,0.19,0.07,0.07,0.04,50.0
Wolves,1,28,28,2520,28.0,1.32,1.32,3.54,2.50,68.7,0.32,0.29,0.39,0.29,28.6,0.25,0.21,0.04,0.00,14.3
